r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,1,1,1,2024,-0.009
KENYA,BESS001,1,1,1,2027,-0.0389
KENYA,BESS001,1,1,1,2033,-0.0257
KENYA,BESS001,1,1,1,2034,-0.1108
KENYA,BESS001,1,1,1,2035,-0.0001
KENYA,BESS001,1,1,1,2036,-0.0275
KENYA,BESS001,1,1,1,2039,-0.0598
KENYA,BESS001,1,1,1,2040,-0.0166
KENYA,BESS001,1,1,1,2041,-0.103
KENYA,BESS001,1,1,1,2042,-0.0497
KENYA,BESS001,1,1,1,2046,-0.0798
KENYA,BESS001,1,1,1,2047,-0.2625
KENYA,BESS001,1,1,1,2048,-0.1176
KENYA,BESS001,1,1,2,2025,-0.0188
KENYA,BESS001,1,1,2,2027,-0.0012
KENYA,BESS001,1,1,2,2028,-0.0463
KENYA,BESS001,1,1,2,2029,-0.0599
KENYA,BESS001,1,1,2,2030,-0.0599
KENYA,BESS001,1,1,2,2033,-0.0321
KENYA,BESS001,1,1,2,2034,-0.0016
KENYA,BESS001,1,1,2,2037,-0.0246
KENYA,BESS001,1,1,2,2040,-0.0819
KENYA,BESS001,1,1,2,2043,-0.0928
KENYA,BESS001,1,1,2,2044,-0.0582
KENYA,BESS001,1,1,2,2045,-0.0033
KENYA,BESS001,1,1,2,2046,-0.0048
KENYA,BESS001,1,1,2,2047,-0.127
KENYA,BESS001,1,1,2,2048,-0.3124
KENYA,BESS001,1,1,2,2049,-0.3762
KENYA,BESS001,1,1,3,2024,-0.0001
KENYA,BESS001,1,1,3,2025,-0.0343
KENYA,BESS001,1,1,3,2026,-0.0416
KENYA,BESS001,1,1,3,2027,-0.0193
KENYA,BESS001,1,1,3,2029,-0.0217
KENYA,BESS001,1,1,3,2030,-0.0616
KENYA,BESS001,1,1,3,2032,0.0001
KENYA,BESS001,1,1,3,2033,-0.0298
KENYA,BESS001,1,1,3,2035,-0.0061
KENYA,BESS001,1,1,3,2037,-0.0141
KENYA,BESS001,1,1,3,2038,-0.029
KENYA,BESS001,1,1,3,2043,-0.0982
KENYA,BESS001,1,1,3,2044,-0.0468
KENYA,BESS001,1,1,3,2045,-0.2714
KENYA,BESS001,1,1,3,2049,-0.1331
KENYA,BESS001,1,1,3,2050,-0.3982
KENYA,BESS001,1,1,4,2024,0.006
KENYA,BESS001,1,1,4,2025,0.022
KENYA,BESS001,1,1,4,2026,0.0175
KENYA,BESS001,1,1,4,2027,0.0775
KENYA,BESS001,1,1,4,2028,0.0649
KENYA,BESS001,1,1,4,2029,0.0462
KENYA,BESS001,1,1,4,2030,0.08
KENYA,BESS001,1,1,4,2031,-0.0184
KENYA,BESS001,1,1,4,2032,-0.0013
KENYA,BESS001,1,1,4,2033,0.0506
KENYA,BESS001,1,1,4,2034,0.074
KENYA,BESS001,1,1,4,2035,0.004
KENYA,BESS001,1,1,4,2036,0.026
KENYA,BESS001,1,1,4,2037,0.0328
KENYA,BESS001,1,1,4,2038,0.0352
KENYA,BESS001,1,1,4,2039,0.043
KENYA,BESS001,1,1,4,2040,0.0828
KENYA,BESS001,1,1,4,2041,0.0961
KENYA,BESS001,1,1,4,2042,0.1423
KENYA,BESS001,1,1,4,2043,0.1757
KENYA,BESS001,1,1,4,2044,0.2245
KENYA,BESS001,1,1,4,2045,0.2642
KENYA,BESS001,1,1,4,2046,0.3278
KENYA,BESS001,1,1,4,2047,0.3968
KENYA,BESS001,1,1,4,2048,0.4175
KENYA,BESS001,1,1,4,2049,0.5027
KENYA,BESS001,1,1,4,2050,0.4811
KENYA,BESS001,1,1,5,2024,0.003
KENYA,BESS001,1,1,5,2025,0.0305
KENYA,BESS001,1,1,5,2026,0.0237
KENYA,BESS001,1,1,5,2027,0.04
KENYA,BESS001,1,1,5,2028,0.04
KENYA,BESS001,1,1,5,2029,0.04
KENYA,BESS001,1,1,5,2030,0.04
KENYA,BESS001,1,1,5,2031,0.006
KENYA,BESS001,1,1,5,2032,0.0012
KENYA,BESS001,1,1,5,2033,0.0359
KENYA,BESS001,1,1,5,2034,0.037
KENYA,BESS001,1,1,5,2035,0.002
KENYA,BESS001,1,1,5,2036,0.0012
KENYA,BESS001,1,1,5,2037,0.0053
KENYA,BESS001,1,1,5,2038,0.0174
KENYA,BESS001,1,1,5,2039,0.016
KENYA,BESS001,1,1,5,2040,0.0144
KENYA,BESS001,1,1,5,2041,0.0056
KENYA,BESS001,1,1,5,2042,0.0119
KENYA,BESS001,1,1,5,2043,0.013
KENYA,BESS001,1,1,5,2044,0.0125
KENYA,BESS001,1,1,5,2045,0.0072
KENYA,BESS001,1,1,5,2046,-0.002
KENYA,BESS001,1,1,5,2047,-0.012
KENYA,BESS001,1,1,5,2048,0.0072
KENYA,BESS001,1,1,5,2049,0.0003
KENYA,BESS001,1,1,5,2050,-0.0878
KENYA,BESS001,1,1,6,2027,-0.0596
KENYA,BESS001,1,1,6,2028,-0.0599
KENYA,BESS001,1,1,6,2029,-0.0057
KENYA,BESS001,1,1,6,2031,0.0126
KENYA,BESS001,1,1,6,2038,-0.0242
KENYA,BESS001,1,1,6,2042,-0.1064
KENYA,BESS001,1,1,6,2044,-0.135
KENYA,BESS001,1,1,6,2046,-0.2453
KENYA,BESS001,1,2,1,2025,0.0193
KENYA,BESS001,1,2,1,2026,0.0168
KENYA,BESS001,1,2,1,2027,0.0194
KENYA,BESS001,1,2,1,2029,0.0479
KENYA,BESS001,1,2,1,2030,0.012
KENYA,BESS001,1,2,1,2031,0.0479
KENYA,BESS001,1,2,1,2032,0.0335
KENYA,BESS001,1,2,1,2033,0.0328
KENYA,BESS001,1,2,1,2034,0.038
KENYA,BESS001,1,2,1,2035,0.0024
KENYA,BESS001,1,2,1,2036,0.0103
KENYA,BESS001,1,2,1,2037,0.013
KENYA,BESS001,1,2,1,2038,0.0139
KENYA,BESS001,1,2,1,2039,0.017
KENYA,BESS001,1,2,1,2040,0.0174
KENYA,BESS001,1,2,1,2041,0.0287
KENYA,BESS001,1,2,1,2042,0.0404
KENYA,BESS001,1,2,1,2043,0.0266
KENYA,BESS001,1,2,1,2044,0.0466
KENYA,BESS001,1,2,1,2045,0.027
KENYA,BESS001,1,2,1,2046,0.1008
KENYA,BESS001,1,2,1,2047,0.0824
KENYA,BESS001,1,2,1,2048,0.0634
KENYA,BESS001,1,2,1,2049,0.0571
KENYA,BESS001,1,2,1,2050,0.0453
KENYA,BESS001,1,2,2,2024,-0.0012
KENYA,BESS001,1,2,2,2025,-0.0023
KENYA,BESS001,1,2,2,2029,-0.0105
KENYA,BESS001,1,2,2,2031,-0.0185
KENYA,BESS001,1,2,2,2032,-0.019
KENYA,BESS001,1,2,2,2033,-0.0201
KENYA,BESS001,1,2,2,2034,-0.0208
KENYA,BESS001,1,2,2,2035,-0.0012
KENYA,BESS001,1,2,2,2036,-0.0078
KENYA,BESS001,1,2,2,2037,-0.0098
KENYA,BESS001,1,2,2,2038,-0.0105
KENYA,BESS001,1,2,2,2039,-0.0129
KENYA,BESS001,1,2,2,2040,-0.0328
KENYA,BESS001,1,2,2,2041,-0.0426
KENYA,BESS001,1,2,2,2042,-0.0426
KENYA,BESS001,1,2,2,2043,-0.0517
KENYA,BESS001,1,2,2,2044,-0.053
KENYA,BESS001,1,2,2,2045,-0.0478
KENYA,BESS001,1,2,2,2046,-0.0537
KENYA,BESS001,1,2,2,2047,-0.0534
KENYA,BESS001,1,2,2,2048,-0.06
KENYA,BESS001,1,2,2,2049,-0.0634
KENYA,BESS001,1,2,2,2050,-0.0639
KENYA,BESS001,1,2,3,2025,-0.0046
KENYA,BESS001,1,2,3,2029,-0.0217
KENYA,BESS001,1,2,3,2031,-0.0348
KENYA,BESS001,1,2,3,2032,-0.0292
KENYA,BESS001,1,2,3,2033,-0.0248
KENYA,BESS001,1,2,3,2034,-0.0257
KENYA,BESS001,1,2,3,2035,-0.0024
KENYA,BESS001,1,2,3,2036,-0.0156
KENYA,BESS001,1,2,3,2037,-0.0197
KENYA,BESS001,1,2,3,2038,-0.0211
KENYA,BESS001,1,2,3,2039,-0.0257
KENYA,BESS001,1,2,3,2040,-0.0396
KENYA,BESS001,1,2,3,2041,-0.0575
KENYA,BESS001,1,2,3,2042,-0.0266
KENYA,BESS001,1,2,3,2043,-0.0104
KENYA,BESS001,1,2,3,2044,-0.0021
KENYA,BESS001,1,2,3,2045,0.0296
KENYA,BESS001,1,2,3,2046,0.0273
KENYA,BESS001,1,2,3,2047,0.0461
KENYA,BESS001,1,2,3,2048,0.047
KENYA,BESS001,1,2,3,2049,0.0532
KENYA,BESS001,1,2,3,2050,0.0695
KENYA,BESS001,1,2,4,2024,0.0024
KENYA,BESS001,1,2,4,2025,0.0037
KENYA,BESS001,1,2,4,2026,-0.0315
KENYA,BESS001,1,2,4,2027,-0.0031
KENYA,BESS001,1,2,4,2028,-0.0131
KENYA,BESS001,1,2,4,2029,-0.0054
KENYA,BESS001,1,2,4,2030,-0.0113
KENYA,BESS001,1,2,4,2031,0.0084
KENYA,BESS001,1,2,4,2032,0.0068
KENYA,BESS001,1,2,4,2033,0.0042
KENYA,BESS001,1,2,4,2034,0.0231
KENYA,BESS001,1,2,4,2035,0.0008
KENYA,BESS001,1,2,4,2036,0.0103
KENYA,BESS001,1,2,4,2037,0.0131
KENYA,BESS001,1,2,4,2038,0.014
KENYA,BESS001,1,2,4,2039,0.0171
KENYA,BESS001,1,2,4,2040,0.0436
KENYA,BESS001,1,2,4,2041,0.0566
KENYA,BESS001,1,2,4,2042,0.0566
KENYA,BESS001,1,2,4,2043,0.0699
KENYA,BESS001,1,2,4,2044,-0.013
KENYA,BESS001,1,2,4,2045,-0.0338
KENYA,BESS001,1,2,4,2046,-0.1043
KENYA,BESS001,1,2,4,2047,-0.0931
KENYA,BESS001,1,2,4,2048,-0.059
KENYA,BESS001,1,2,4,2049,-0.0395
KENYA,BESS001,1,2,4,2050,-0.0379
KENYA,BESS001,1,2,5,2024,-0.0012
KENYA,BESS001,1,2,5,2025,-0.0161
KENYA,BESS001,1,2,5,2026,-0.0087
KENYA,BESS001,1,2,5,2027,-0.0161
KENYA,BESS001,1,2,5,2028,-0.003
KENYA,BESS001,1,2,5,2029,-0.0133
KENYA,BESS001,1,2,5,2030,-0.0005
KENYA,BESS001,1,2,5,2031,-0.0161
KENYA,BESS001,1,2,5,2032,-0.0161
KENYA,BESS001,1,2,5,2033,-0.0161
KENYA,BESS001,1,2,5,2034,-0.0149
KENYA,BESS001,1,2,5,2035,-0.0008
