r,s,y,CapitalInvestmentStorage
KENYA,PHS001,2034,17.272
KENYA,PHS001,2036,16.2109
KENYA,PHS001,2037,9.1872
KENYA,PHS001,2039,12.9091
KENYA,PHS002,2034,35.0669
KENYA,PHS002,2035,35.8401
KENYA,PHS002,2039,1.2191
