r,t,e,y,AnnualTechnologyEmission
KENYA,PWRNGS003,CO2,2050,0.1257
KENYA,PWRNGS004,CO2,2031,0.0006
KENYA,PWRNGS004,CO2,2032,0.0022
KENYA,PWRNGS004,CO2,2033,0.0039
KENYA,PWRNGS004,CO2,2034,0.0222
KENYA,PWRNGS004,CO2,2035,0.1019
KENYA,PWRNGS004,CO2,2036,0.1347
KENYA,PWRNGS004,CO2,2037,0.1298
KENYA,PWRNGS004,CO2,2038,0.1201
KENYA,PWRNGS004,CO2,2039,0.1287
KENYA,PWRNGS004,CO2,2040,0.1315
KENYA,PWRNGS004,CO2,2041,0.1377
KENYA,PWRNGS004,CO2,2042,0.1731
KENYA,PWRNGS004,CO2,2043,0.1759
KENYA,PWRNGS004,CO2,2044,0.1829
KENYA,PWRNGS004,CO2,2045,0.1388
KENYA,PWRNGS004,CO2,2046,0.1238
KENYA,PWRNGS004,CO2,2047,0.1264
KENYA,PWRNGS004,CO2,2048,0.1277
KENYA,PWRNGS004,CO2,2049,0.1305
KENYA,PWRNGS004,CO2,2050,0.1342
KENYA,PWRNGS005,CO2,2045,0.0157
KENYA,PWRNGS005,CO2,2046,0.0127
KENYA,PWRNGS005,CO2,2047,0.0106
KENYA,PWRNGS005,CO2,2048,0.0073
KENYA,PWRNGS005,CO2,2049,0.0127
KENYA,PWRNGS005,CO2,2050,0.0364
KENYA,PWRNGS009,CO2,2045,0.0084
KENYA,PWRNGS009,CO2,2046,0.0235
KENYA,PWRNGS009,CO2,2047,0.0367
KENYA,PWRNGS009,CO2,2048,0.0385
KENYA,PWRNGS009,CO2,2049,0.0312
KENYA,PWRNGS009,CO2,2050,0.0435
KENYA,PWRNGS010,CO2,2045,0.0339
KENYA,PWRNGS010,CO2,2046,0.0497
KENYA,PWRNGS010,CO2,2047,0.0614
KENYA,PWRNGS010,CO2,2048,0.0287
KENYA,PWRNGS010,CO2,2049,0.0479
KENYA,PWRNGS010,CO2,2050,0.0637
