r,s,y,DiscountedCapitalInvestmentStorage
KENYA,PHS001,2034,4.8075
KENYA,PHS001,2036,3.8048
KENYA,PHS001,2037,1.9801
KENYA,PHS001,2039,2.3461
KENYA,PHS002,2034,9.7607
KENYA,PHS002,2035,9.1606
KENYA,PHS002,2039,0.2215
