r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,2,1,2032,1.9038
KENYA,BESS001,1,2,1,2033,1.8641
KENYA,BESS001,1,2,1,2034,2.1583
KENYA,BESS001,1,2,1,2035,0.1377
KENYA,BESS001,1,2,1,2036,0.5851
KENYA,BESS001,1,2,1,2037,0.7391
KENYA,BESS001,1,2,1,2038,0.7917
KENYA,BESS001,1,2,1,2039,0.9679
KENYA,BESS001,1,2,1,2040,0.99
KENYA,BESS001,1,2,1,2041,1.6305
KENYA,BESS001,1,2,1,2042,2.2937
KENYA,BESS001,1,2,1,2043,1.5117
KENYA,BESS001,1,2,1,2044,2.6499
KENYA,BESS001,1,2,1,2045,1.535
KENYA,BESS001,1,2,1,2046,5.7289
KENYA,BESS001,1,2,1,2047,4.6808
KENYA,BESS001,1,2,1,2048,3.6001
KENYA,BESS001,1,2,1,2049,3.2445
KENYA,BESS001,1,2,1,2050,2.5754
KENYA,BESS001,1,2,2,2024,-0.1385
KENYA,BESS001,1,2,2,2025,-0.2653
KENYA,BESS001,1,2,2,2029,-1.1947
KENYA,BESS001,1,2,2,2031,-2.1065
KENYA,BESS001,1,2,2,2032,-2.1625
KENYA,BESS001,1,2,2,2033,-2.2831
KENYA,BESS001,1,2,2,2034,-2.3646
KENYA,BESS001,1,2,2,2035,-0.1377
KENYA,BESS001,1,2,2,2036,-0.8841
KENYA,BESS001,1,2,2,2037,-1.1169
KENYA,BESS001,1,2,2,2038,-1.1963
KENYA,BESS001,1,2,2,2039,-1.4626
KENYA,BESS001,1,2,2,2040,-3.7225
KENYA,BESS001,1,2,2,2041,-4.8386
KENYA,BESS001,1,2,2,2042,-4.8386
KENYA,BESS001,1,2,2,2043,-5.8805
KENYA,BESS001,1,2,2,2044,-6.0244
KENYA,BESS001,1,2,2,2045,-5.431
KENYA,BESS001,1,2,2,2046,-6.103
KENYA,BESS001,1,2,2,2047,-6.064
KENYA,BESS001,1,2,2,2048,-6.8209
KENYA,BESS001,1,2,2,2049,-7.2067
KENYA,BESS001,1,2,2,2050,-7.2584
KENYA,BESS001,1,2,3,2025,-0.2601
KENYA,BESS001,1,2,3,2029,-1.2317
KENYA,BESS001,1,2,3,2031,-1.9758
KENYA,BESS001,1,2,3,2032,-1.6566
KENYA,BESS001,1,2,3,2033,-1.4067
KENYA,BESS001,1,2,3,2034,-1.4603
KENYA,BESS001,1,2,3,2035,-0.1377
KENYA,BESS001,1,2,3,2036,-0.8841
KENYA,BESS001,1,2,3,2037,-1.1169
KENYA,BESS001,1,2,3,2038,-1.1963
KENYA,BESS001,1,2,3,2039,-1.4626
KENYA,BESS001,1,2,3,2040,-2.2491
KENYA,BESS001,1,2,3,2041,-3.2671
KENYA,BESS001,1,2,3,2042,-1.511
KENYA,BESS001,1,2,3,2043,-0.5925
KENYA,BESS001,1,2,3,2044,-0.1207
KENYA,BESS001,1,2,3,2045,1.6804
KENYA,BESS001,1,2,3,2046,1.5519
KENYA,BESS001,1,2,3,2047,2.6191
KENYA,BESS001,1,2,3,2048,2.6694
KENYA,BESS001,1,2,3,2049,3.0233
KENYA,BESS001,1,2,3,2050,3.9476
KENYA,BESS001,1,2,4,2024,0.2048
KENYA,BESS001,1,2,4,2025,0.3186
KENYA,BESS001,1,2,4,2026,-2.6901
KENYA,BESS001,1,2,4,2027,-0.2655
KENYA,BESS001,1,2,4,2028,-1.1156
KENYA,BESS001,1,2,4,2029,-0.4606
KENYA,BESS001,1,2,4,2030,-0.9666
KENYA,BESS001,1,2,4,2031,0.7214
KENYA,BESS001,1,2,4,2032,0.582
KENYA,BESS001,1,2,4,2033,0.3605
KENYA,BESS001,1,2,4,2034,1.9747
KENYA,BESS001,1,2,4,2035,0.0689
KENYA,BESS001,1,2,4,2036,0.8841
KENYA,BESS001,1,2,4,2037,1.1169
KENYA,BESS001,1,2,4,2038,1.1963
KENYA,BESS001,1,2,4,2039,1.4626
KENYA,BESS001,1,2,4,2040,3.7225
KENYA,BESS001,1,2,4,2041,4.8386
KENYA,BESS001,1,2,4,2042,4.8386
KENYA,BESS001,1,2,4,2043,5.9752
KENYA,BESS001,1,2,4,2044,-1.1121
KENYA,BESS001,1,2,4,2045,-2.8877
KENYA,BESS001,1,2,4,2046,-8.9178
KENYA,BESS001,1,2,4,2047,-7.9571
KENYA,BESS001,1,2,4,2048,-5.0447
KENYA,BESS001,1,2,4,2049,-3.3765
KENYA,BESS001,1,2,4,2050,-3.2361
KENYA,BESS001,1,2,5,2024,-0.2048
KENYA,BESS001,1,2,5,2025,-2.7221
KENYA,BESS001,1,2,5,2026,-1.4729
KENYA,BESS001,1,2,5,2027,-2.7221
KENYA,BESS001,1,2,5,2028,-0.505
KENYA,BESS001,1,2,5,2029,-2.2555
KENYA,BESS001,1,2,5,2030,-0.0802
KENYA,BESS001,1,2,5,2031,-2.7221
KENYA,BESS001,1,2,5,2032,-2.7221
KENYA,BESS001,1,2,5,2033,-2.7221
KENYA,BESS001,1,2,5,2034,-2.5174
KENYA,BESS001,1,2,5,2035,-0.1377
KENYA,BESS001,1,2,5,2036,-0.8841
KENYA,BESS001,1,2,5,2037,-1.1169
KENYA,BESS001,1,2,5,2038,-1.1963
KENYA,BESS001,1,2,5,2039,-1.4626
KENYA,BESS001,1,2,5,2040,-3.7225
KENYA,BESS001,1,2,5,2041,-4.8386
KENYA,BESS001,1,2,5,2042,-4.8386
KENYA,BESS001,1,2,5,2043,-5.9752
KENYA,BESS001,1,2,5,2044,-7.6367
KENYA,BESS001,1,2,5,2045,-8.9856
KENYA,BESS001,1,2,5,2046,-11.1483
KENYA,BESS001,1,2,5,2047,-13.4965
KENYA,BESS001,1,2,5,2048,-14.202
KENYA,BESS001,1,2,5,2049,-17.0989
KENYA,BESS001,1,2,5,2050,-17.7963
KENYA,BESS001,1,2,6,2026,2.7221
KENYA,BESS001,1,2,6,2028,1.8509
KENYA,BESS001,1,2,6,2029,0.3628
KENYA,BESS001,1,2,6,2031,1.4792
KENYA,BESS001,1,2,6,2032,2.7221
KENYA,BESS001,1,2,6,2033,2.7221
KENYA,BESS001,1,2,6,2035,0.1377
KENYA,BESS001,1,2,6,2036,0.8841
KENYA,BESS001,1,2,6,2037,1.1169
KENYA,BESS001,1,2,6,2038,1.1963
KENYA,BESS001,1,2,6,2039,1.4626
KENYA,BESS001,1,2,6,2040,3.7225
KENYA,BESS001,1,2,6,2041,4.8386
KENYA,BESS001,1,2,6,2044,7.6367
KENYA,BESS001,1,2,6,2045,8.9856
KENYA,BESS001,1,2,6,2046,11.1483
KENYA,BESS001,1,2,6,2047,11.3597
KENYA,BESS001,1,2,6,2048,10.7142
KENYA,BESS001,1,2,6,2049,10.8063
KENYA,BESS001,1,2,6,2050,10.6293
KENYA,BESS001,2,1,1,2025,0.5996
KENYA,BESS001,2,1,1,2026,1.5789
KENYA,BESS001,2,1,1,2028,2.1613
KENYA,BESS001,2,1,1,2029,0.8731
KENYA,BESS001,2,1,1,2030,1.9362
KENYA,BESS001,2,1,1,2031,2.7221
KENYA,BESS001,2,1,1,2032,2.0354
KENYA,BESS001,2,1,1,2033,2.7221
KENYA,BESS001,2,1,1,2034,2.5174
KENYA,BESS001,2,1,1,2035,0.1377
KENYA,BESS001,2,1,1,2036,0.8841
KENYA,BESS001,2,1,1,2037,1.1169
KENYA,BESS001,2,1,1,2038,1.1963
KENYA,BESS001,2,1,1,2039,1.4626
KENYA,BESS001,2,1,1,2040,3.7225
KENYA,BESS001,2,1,1,2041,4.8386
KENYA,BESS001,2,1,1,2042,4.8386
