r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2034,1.0027
KENYA,PHS001,2036,0.9653
KENYA,PHS001,2037,0.5531
KENYA,PHS001,2039,0.792
KENYA,PHS002,2034,2.0358
KENYA,PHS002,2035,2.1085
KENYA,PHS002,2039,0.0748
