r,s,y,SalvageValueStorage
KENYA,PHS001,2034,15.3484
KENYA,PHS001,2036,14.7753
KENYA,PHS001,2037,8.4658
KENYA,PHS001,2039,12.1234
KENYA,PHS002,2034,31.1615
KENYA,PHS002,2035,32.2748
KENYA,PHS002,2039,1.1449
