r,t,y,TotalTechnologyAnnualActivity
KENYA,IMPHFOMOM,2019,13.3439
KENYA,IMPHFOMOM,2020,14.896
KENYA,IMPHFOMOM,2021,15.1152
KENYA,IMPHFOMOM,2022,4.8424
KENYA,IMPHFOMOM,2023,5.0852
KENYA,IMPHFOMOM,2024,7.7088
KENYA,IMPHFOMOM,2025,5.1296
KENYA,IMPHFOMOM,2026,0.9495
KENYA,IMPHFOMOM,2027,2.0262
KENYA,IMPHFOMOM,2028,1.9596
KENYA,IMPHFOMOM,2029,1.4787
KENYA,IMPHFOMOM,2030,1.8393
KENYA,IMPHFONAI,2019,1.337
KENYA,IMPHFONAI,2020,1.8011
KENYA,IMPHFONAI,2021,2.0691
KENYA,IMPHFONAI,2022,0.1829
KENYA,IMPHFONAI,2023,0.2443
KENYA,IMPHFONAI,2024,0.9295
KENYA,IMPHFONAI,2025,0.7381
KENYA,IMPHFONAI,2027,0.075
KENYA,IMPHFONAI,2028,0.0752
KENYA,IMPHFONAI,2029,0.0576
KENYA,IMPHFONAI,2030,0.4822
KENYA,IMPHFONAI,2031,2.2269
KENYA,IMPHFONAI,2032,2.9879
KENYA,IMPHFONAI,2033,4.4268
KENYA,IMPHFONAI,2034,2.3494
KENYA,IMPHFONAI,2035,1.2644
KENYA,IMPNGS,2031,0.0197
KENYA,IMPNGS,2032,0.1299
KENYA,IMPNGS,2033,0.4304
KENYA,IMPNGS,2034,1.6964
KENYA,IMPNGS,2035,4.2562
KENYA,IMPNGS,2036,4.0604
KENYA,IMPNGS,2037,4.0927
KENYA,IMPNGS,2038,6.3417
KENYA,IMPNGS,2039,5.362
KENYA,IMPNGS,2040,4.7186
KENYA,IMPNGS,2041,5.2741
KENYA,IMPNGS,2042,6.1678
KENYA,IMPNGS,2043,7.6784
KENYA,IMPNGS,2044,7.52
KENYA,IMPNGS,2045,9.5272
KENYA,IMPNGS,2046,8.5399
KENYA,IMPNGS,2047,8.2192
KENYA,IMPNGS,2048,7.231
KENYA,IMPNGS,2049,7.594
KENYA,IMPNGS,2050,7.5723
KENYA,MINBIO,2019,0.0902
KENYA,MINBIO,2020,0.0902
KENYA,MINBIO,2021,0.0902
KENYA,MINBIO,2022,0.0902
KENYA,MINBIO,2023,0.1533
KENYA,MINBIO,2024,0.1533
KENYA,MINBIO,2025,0.1533
KENYA,MINBIO,2026,0.6042
KENYA,MINBIO,2027,0.6042
KENYA,MINBIO,2028,0.9649
KENYA,MINBIO,2029,0.9649
KENYA,MINBIO,2030,3.1381
KENYA,MINBIO,2031,4.0398
KENYA,MINBIO,2032,4.5268
KENYA,MINBIO,2033,4.662
KENYA,MINBIO,2034,4.9326
KENYA,MINBIO,2035,4.9461
KENYA,MINBIO,2036,5.3474
KENYA,MINBIO,2037,5.3474
KENYA,MINBIO,2038,6.1499
KENYA,MINBIO,2039,6.1499
KENYA,MINBIO,2040,6.1499
KENYA,MINBIO,2041,6.1499
KENYA,MINBIO,2042,7.755
KENYA,MINBIO,2043,8.1563
KENYA,MINBIO,2044,8.5576
KENYA,MINBIO,2045,8.9589
KENYA,MINBIO,2046,9.3602
KENYA,MINBIO,2047,9.7614
KENYA,MINBIO,2048,9.7614
KENYA,MINBIO,2049,9.7614
KENYA,MINBIO,2050,9.7614
KENYA,MINGEO,2019,70.0437
KENYA,MINGEO,2020,70.0437
KENYA,MINGEO,2021,70.0437
KENYA,MINGEO,2022,77.4191
KENYA,MINGEO,2023,80.5179
KENYA,MINGEO,2024,77.8618
KENYA,MINGEO,2025,88.3094
KENYA,MINGEO,2026,98.1242
KENYA,MINGEO,2027,102.4237
KENYA,MINGEO,2028,110.5002
KENYA,MINGEO,2029,125.5403
KENYA,MINGEO,2030,131.6378
KENYA,MINGEO,2031,142.4317
KENYA,MINGEO,2032,148.7514
KENYA,MINGEO,2033,152.915
KENYA,MINGEO,2034,169.6053
KENYA,MINGEO,2035,174.928
KENYA,MINGEO,2036,192.8013
KENYA,MINGEO,2037,207.2559
KENYA,MINGEO,2038,219.3638
KENYA,MINGEO,2039,243.0649
KENYA,MINGEO,2040,260.3231
KENYA,MINGEO,2041,278.1901
KENYA,MINGEO,2042,290.7507
KENYA,MINGEO,2043,295.6566
KENYA,MINGEO,2044,307.3989
KENYA,MINGEO,2045,306.3656
KENYA,MINGEO,2046,319.2272
KENYA,MINGEO,2047,322.4766
KENYA,MINGEO,2048,330.8878
KENYA,MINGEO,2049,344.1688
KENYA,MINGEO,2050,353.4654
KENYA,MINHYD,2019,12.0376
KENYA,MINHYD,2020,12.0376
KENYA,MINHYD,2021,12.0376
KENYA,MINHYD,2022,12.0376
KENYA,MINHYD,2023,12.1346
KENYA,MINHYD,2024,12.1678
KENYA,MINHYD,2025,12.1718
KENYA,MINHYD,2026,12.5015
KENYA,MINHYD,2027,12.6478
KENYA,MINHYD,2028,12.689
KENYA,MINHYD,2029,12.7873
KENYA,MINHYD,2030,13.2739
KENYA,MINHYD,2031,13.6474
KENYA,MINHYD,2032,13.8894
KENYA,MINHYD,2033,14.3174
KENYA,MINHYD,2034,14.6511
KENYA,MINHYD,2035,15.0725
KENYA,MINHYD,2036,15.4434
KENYA,MINHYD,2037,15.4913
KENYA,MINHYD,2038,15.5431
KENYA,MINHYD,2039,15.5989
KENYA,MINHYD,2040,15.6614
KENYA,MINHYD,2041,15.7292
KENYA,MINHYD,2042,14.1093
KENYA,MINHYD,2043,14.1904
KENYA,MINHYD,2044,14.2781
KENYA,MINHYD,2045,14.3751
KENYA,MINHYD,2046,14.4815
KENYA,MINHYD,2047,14.5972
KENYA,MINHYD,2048,14.7234
KENYA,MINHYD,2049,14.8617
KENYA,MINHYD,2050,15.0132
KENYA,MINSOL,2019,0.3111
KENYA,MINSOL,2020,0.3111
KENYA,MINSOL,2021,0.8065
KENYA,MINSOL,2022,1.0542
KENYA,MINSOL,2023,1.3112
KENYA,MINSOL,2024,1.5588
KENYA,MINSOL,2025,1.5588
KENYA,MINSOL,2026,1.8065
KENYA,MINSOL,2027,1.8065
KENYA,MINSOL,2028,1.8065
KENYA,MINSOL,2029,1.8065
KENYA,MINSOL,2030,1.8065
KENYA,MINSOL,2031,1.8065
KENYA,MINSOL,2032,1.8065
KENYA,MINSOL,2033,1.8065
KENYA,MINSOL,2034,1.8065
KENYA,MINSOL,2035,1.8065
KENYA,MINSOL,2036,1.8065
KENYA,MINSOL,2037,1.8065
KENYA,MINSOL,2038,2.183
KENYA,MINSOL,2039,2.183
KENYA,MINSOL,2040,2.183
KENYA,MINSOL,2041,1.6876
KENYA,MINSOL,2042,1.7585
KENYA,MINSOL,2043,1.5016
KENYA,MINSOL,2044,1.2539
KENYA,MINSOL,2045,1.2539
KENYA,MINSOL,2046,1.0062
KENYA,MINSOL,2047,1.0062
KENYA,MINSOL,2048,1.0062
KENYA,MINSOL,2049,1.0062
KENYA,MINSOL,2050,1.0062
KENYA,MINWND,2019,5.4829
KENYA,MINWND,2020,5.4829
KENYA,MINWND,2021,6.9304
KENYA,MINWND,2022,6.9304
KENYA,MINWND,2023,6.9304
KENYA,MINWND,2024,6.9304
KENYA,MINWND,2025,7.0512
KENYA,MINWND,2026,7.8084
KENYA,MINWND,2027,7.9637
KENYA,MINWND,2028,9.36
KENYA,MINWND,2029,9.5937
KENYA,MINWND,2030,9.8805
KENYA,MINWND,2031,10.2325
KENYA,MINWND,2032,11.1001
KENYA,MINWND,2033,11.63
KENYA,MINWND,2034,12.2801
KENYA,MINWND,2035,12.8536
KENYA,MINWND,2036,13.8324
KENYA,MINWND,2037,15.0334
KENYA,MINWND,2038,13.0385
