r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2034,1.0229
KENYA,PHS001,2035,1.4652
KENYA,PHS001,2036,1.5002
KENYA,PHS001,2040,0.0327
KENYA,PHS002,2035,0.3084
KENYA,PHS002,2037,0.3114
KENYA,PHS002,2038,0.427
KENYA,PHS002,2040,0.5259
