r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS01,2025,1.208
KENYA,BESS_TECH,TS01,2028,2.0127
KENYA,BESS_TECH,TS01,2029,1.3803
KENYA,BESS_TECH,TS01,2030,2.4642
KENYA,BESS_TECH,TS01,2031,0.1404
KENYA,BESS_TECH,TS01,2039,0.5618
KENYA,BESS_TECH,TS01,2042,1.8074
KENYA,BESS_TECH,TS01,2047,2.6768
KENYA,BESS_TECH,TS01,2048,3.2805
KENYA,BESS_TECH,TS02,2024,0.006
KENYA,BESS_TECH,TS02,2027,0.8924
KENYA,BESS_TECH,TS02,2029,2.7221
KENYA,BESS_TECH,TS02,2032,2.7221
KENYA,BESS_TECH,TS02,2033,2.7221
KENYA,BESS_TECH,TS02,2034,2.5174
KENYA,BESS_TECH,TS02,2038,0.485
KENYA,BESS_TECH,TS02,2039,1.0914
KENYA,BESS_TECH,TS02,2040,1.8473
KENYA,BESS_TECH,TS02,2041,0.9136
KENYA,BESS_TECH,TS02,2042,0.5004
KENYA,BESS_TECH,TS02,2043,2.0278
KENYA,BESS_TECH,TS02,2044,2.0278
KENYA,BESS_TECH,TS02,2045,6.2558
KENYA,BESS_TECH,TS02,2047,7.8589
KENYA,BESS_TECH,TS02,2048,7.8589
KENYA,BESS_TECH,TS02,2049,9.8361
KENYA,BESS_TECH,TS03,2024,0.2048
KENYA,BESS_TECH,TS03,2031,0.3971
KENYA,BESS_TECH,TS03,2032,1.4011
KENYA,BESS_TECH,TS03,2033,1.2154
KENYA,BESS_TECH,TS03,2038,0.6888
KENYA,BESS_TECH,TS03,2040,0.9508
KENYA,BESS_TECH,TS03,2041,1.4594
KENYA,BESS_TECH,TS03,2043,1.0437
KENYA,BESS_TECH,TS03,2044,0.0298
KENYA,BESS_TECH,TS03,2046,5.3407
KENYA,BESS_TECH,TS03,2049,4.044
KENYA,BESS_TECH,TS03,2050,11.6681
KENYA,BESS_TECH,TS04,2024,0.2048
KENYA,BESS_TECH,TS04,2025,0.7478
KENYA,BESS_TECH,TS04,2026,0.6197
KENYA,BESS_TECH,TS04,2027,1.4167
KENYA,BESS_TECH,TS04,2028,1.6166
KENYA,BESS_TECH,TS04,2029,2.6914
KENYA,BESS_TECH,TS04,2030,2.2817
KENYA,BESS_TECH,TS04,2031,1.0414
KENYA,BESS_TECH,TS04,2032,2.7221
KENYA,BESS_TECH,TS04,2033,2.4476
KENYA,BESS_TECH,TS04,2034,1.1038
KENYA,BESS_TECH,TS04,2036,0.1356
KENYA,BESS_TECH,TS04,2037,0.4945
KENYA,BESS_TECH,TS04,2038,0.9903
KENYA,BESS_TECH,TS04,2039,1.0914
KENYA,BESS_TECH,TS04,2040,1.8473
KENYA,BESS_TECH,TS04,2041,1.8188
KENYA,BESS_TECH,TS04,2042,2.0278
KENYA,BESS_TECH,TS04,2043,2.0278
KENYA,BESS_TECH,TS04,2044,2.0278
KENYA,BESS_TECH,TS04,2045,6.2558
KENYA,BESS_TECH,TS04,2046,6.1202
