r,t,y,AnnualFixedOperatingCost
KENYA,PWRGEO005,2033,4.1374
KENYA,PWRGEO005,2034,4.1374
KENYA,PWRGEO005,2035,4.1374
KENYA,PWRGEO005,2036,4.1374
KENYA,PWRGEO005,2037,4.1374
KENYA,PWRGEO006,2019,21.2632
KENYA,PWRGEO006,2020,21.2632
KENYA,PWRGEO006,2021,21.2632
KENYA,PWRGEO006,2022,21.2632
KENYA,PWRGEO006,2023,21.2632
KENYA,PWRGEO006,2024,21.2632
KENYA,PWRGEO006,2025,21.2632
KENYA,PWRGEO006,2026,21.2632
KENYA,PWRGEO006,2027,21.2632
KENYA,PWRGEO006,2028,21.2632
KENYA,PWRGEO006,2029,21.2632
KENYA,PWRGEO006,2030,21.2632
KENYA,PWRGEO006,2031,21.2632
KENYA,PWRGEO006,2032,21.2632
KENYA,PWRGEO006,2033,21.2632
KENYA,PWRGEO006,2034,21.2632
KENYA,PWRGEO006,2035,21.2632
KENYA,PWRGEO006,2036,21.2632
KENYA,PWRGEO006,2037,21.2632
KENYA,PWRGEO006,2038,21.2632
KENYA,PWRGEO006,2039,21.2632
KENYA,PWRGEO007,2019,6.7738
KENYA,PWRGEO007,2020,6.7738
KENYA,PWRGEO007,2021,6.7738
KENYA,PWRGEO007,2022,6.7738
KENYA,PWRGEO007,2023,6.7738
KENYA,PWRGEO007,2024,6.7738
KENYA,PWRGEO007,2025,6.7738
KENYA,PWRGEO007,2026,6.7738
KENYA,PWRGEO008,2019,3.0299
KENYA,PWRGEO008,2020,3.0299
KENYA,PWRGEO008,2021,3.0299
KENYA,PWRGEO008,2022,3.0299
KENYA,PWRGEO008,2023,3.0299
KENYA,PWRGEO008,2024,3.0299
KENYA,PWRGEO008,2025,3.0299
KENYA,PWRGEO008,2026,3.0299
KENYA,PWRGEO008,2027,3.0299
KENYA,PWRGEO008,2028,3.0299
KENYA,PWRGEO008,2029,3.0299
KENYA,PWRGEO008,2030,3.0299
KENYA,PWRGEO008,2031,3.0299
KENYA,PWRGEO008,2032,3.0299
KENYA,PWRGEO008,2033,3.0299
KENYA,PWRGEO008,2034,3.0299
KENYA,PWRGEO008,2035,3.0299
KENYA,PWRGEO008,2036,3.0299
KENYA,PWRGEO008,2037,3.0299
KENYA,PWRGEO008,2038,3.0299
KENYA,PWRGEO008,2039,3.0299
KENYA,PWRGEO008,2040,3.0299
KENYA,PWRGEO009,2019,4.1767
KENYA,PWRGEO009,2020,4.1767
KENYA,PWRGEO009,2021,4.1767
KENYA,PWRGEO009,2022,4.1767
KENYA,PWRGEO009,2023,4.1767
KENYA,PWRGEO009,2024,4.1767
KENYA,PWRGEO009,2025,4.1767
KENYA,PWRGEO009,2026,4.1767
KENYA,PWRGEO009,2027,4.1767
KENYA,PWRGEO009,2028,4.1767
KENYA,PWRGEO009,2029,4.1767
KENYA,PWRGEO009,2030,4.1767
KENYA,PWRGEO010,2023,3.8598
KENYA,PWRGEO010,2024,3.8598
KENYA,PWRGEO010,2025,3.8598
KENYA,PWRGEO010,2026,3.8598
KENYA,PWRGEO010,2027,3.8598
KENYA,PWRGEO010,2028,3.8598
KENYA,PWRGEO010,2029,3.8598
KENYA,PWRGEO010,2030,3.8598
KENYA,PWRGEO010,2031,3.8598
KENYA,PWRGEO010,2032,3.8598
KENYA,PWRGEO010,2033,3.8598
KENYA,PWRGEO010,2034,3.8598
KENYA,PWRGEO010,2035,3.8598
KENYA,PWRGEO010,2036,3.8598
KENYA,PWRGEO010,2037,3.8598
KENYA,PWRGEO010,2038,3.8598
KENYA,PWRGEO010,2039,3.8598
KENYA,PWRGEO010,2040,3.8598
KENYA,PWRGEO010,2041,3.8598
KENYA,PWRGEO010,2042,3.8598
KENYA,PWRGEO010,2043,3.8598
KENYA,PWRGEO010,2044,3.8598
KENYA,PWRGEO010,2045,3.8598
KENYA,PWRGEO010,2046,3.8598
KENYA,PWRGEO010,2047,3.8598
KENYA,PWRGEO011,2022,12.6516
KENYA,PWRGEO011,2023,12.6516
KENYA,PWRGEO011,2024,12.6516
KENYA,PWRGEO011,2025,12.6516
KENYA,PWRGEO011,2026,12.6516
KENYA,PWRGEO011,2027,12.6516
KENYA,PWRGEO011,2028,12.6516
KENYA,PWRGEO011,2029,12.6516
KENYA,PWRGEO011,2030,12.6516
KENYA,PWRGEO011,2031,12.6516
KENYA,PWRGEO011,2032,12.6516
KENYA,PWRGEO011,2033,12.6516
KENYA,PWRGEO011,2034,12.6516
KENYA,PWRGEO011,2035,12.6516
KENYA,PWRGEO011,2036,12.6516
KENYA,PWRGEO011,2037,12.6516
KENYA,PWRGEO011,2038,12.6516
KENYA,PWRGEO011,2039,12.6516
KENYA,PWRGEO011,2040,12.6516
KENYA,PWRGEO011,2041,12.6516
KENYA,PWRGEO011,2042,12.6516
KENYA,PWRGEO011,2043,12.6516
KENYA,PWRGEO011,2044,12.6516
KENYA,PWRGEO011,2045,12.6516
KENYA,PWRGEO011,2046,12.6516
KENYA,PWRGEO012,2019,23.997
KENYA,PWRGEO012,2020,23.997
KENYA,PWRGEO012,2021,23.997
KENYA,PWRGEO012,2022,23.997
KENYA,PWRGEO012,2023,23.997
KENYA,PWRGEO012,2024,23.997
KENYA,PWRGEO012,2025,23.997
KENYA,PWRGEO012,2026,23.997
KENYA,PWRGEO012,2027,23.997
KENYA,PWRGEO012,2028,23.997
KENYA,PWRGEO012,2029,23.997
KENYA,PWRGEO012,2030,23.997
KENYA,PWRGEO012,2031,23.997
KENYA,PWRGEO012,2032,23.997
KENYA,PWRGEO012,2033,23.997
KENYA,PWRGEO012,2034,23.997
KENYA,PWRGEO012,2035,23.997
KENYA,PWRGEO012,2036,23.997
KENYA,PWRGEO012,2037,23.997
KENYA,PWRGEO012,2038,23.997
KENYA,PWRGEO012,2039,23.997
KENYA,PWRGEO012,2040,23.997
KENYA,PWRGEO012,2041,23.997
KENYA,PWRGEO012,2042,23.997
KENYA,PWRGEO012,2043,23.997
KENYA,PWRGEO012,2044,23.997
KENYA,PWRGEO013,2029,18.0242
KENYA,PWRGEO013,2030,21.2632
KENYA,PWRGEO013,2031,21.2632
KENYA,PWRGEO013,2032,21.2632
KENYA,PWRGEO013,2033,21.2632
KENYA,PWRGEO013,2034,21.2632
KENYA,PWRGEO013,2035,21.2632
KENYA,PWRGEO013,2036,21.2632
KENYA,PWRGEO013,2037,21.2632
KENYA,PWRGEO013,2038,21.2632
KENYA,PWRGEO013,2039,21.2632
KENYA,PWRGEO013,2040,21.2632
KENYA,PWRGEO013,2041,21.2632
KENYA,PWRGEO013,2042,21.2632
KENYA,PWRGEO013,2043,21.2632
KENYA,PWRGEO013,2044,21.2632
KENYA,PWRGEO013,2045,21.2632
KENYA,PWRGEO013,2046,21.2632
KENYA,PWRGEO013,2047,21.2632
KENYA,PWRGEO013,2048,21.2632
KENYA,PWRGEO013,2049,21.2632
KENYA,PWRGEO013,2050,21.2632
KENYA,PWRGEO014,2029,21.2632
KENYA,PWRGEO014,2030,21.2632
KENYA,PWRGEO014,2031,21.2632
KENYA,PWRGEO014,2032,21.2632
KENYA,PWRGEO014,2033,21.2632
KENYA,PWRGEO014,2034,21.2632
KENYA,PWRGEO014,2035,21.2632
KENYA,PWRGEO014,2036,21.2632
KENYA,PWRGEO014,2037,21.2632
KENYA,PWRGEO014,2038,21.2632
KENYA,PWRGEO014,2039,21.2632
KENYA,PWRGEO014,2040,21.2632
KENYA,PWRGEO014,2041,21.2632
KENYA,PWRGEO014,2042,21.2632
KENYA,PWRGEO014,2043,21.2632
KENYA,PWRGEO014,2044,21.2632
KENYA,PWRGEO014,2045,21.2632
KENYA,PWRGEO014,2046,21.2632
KENYA,PWRGEO014,2047,21.2632
KENYA,PWRGEO014,2048,21.2632
KENYA,PWRGEO014,2049,21.2632
KENYA,PWRGEO014,2050,21.2632
KENYA,PWRGEO015,2034,21.2632
KENYA,PWRGEO015,2035,21.2632
KENYA,PWRGEO015,2036,21.2632
KENYA,PWRGEO015,2037,21.2632
KENYA,PWRGEO015,2038,21.2632
KENYA,PWRGEO015,2039,21.2632
KENYA,PWRGEO015,2040,21.2632
KENYA,PWRGEO015,2041,21.2632
KENYA,PWRGEO015,2042,21.2632
KENYA,PWRGEO015,2043,21.2632
KENYA,PWRGEO015,2044,21.2632
KENYA,PWRGEO015,2045,21.2632
KENYA,PWRGEO015,2046,21.2632
KENYA,PWRGEO015,2047,21.2632
KENYA,PWRGEO015,2048,21.2632
KENYA,PWRGEO015,2049,21.2632
KENYA,PWRGEO015,2050,21.2632
KENYA,PWRGEO016,2036,21.2632
KENYA,PWRGEO016,2037,21.2632
KENYA,PWRGEO016,2038,21.2632
KENYA,PWRGEO016,2039,21.2632
KENYA,PWRGEO016,2040,21.2632
KENYA,PWRGEO016,2041,21.2632
KENYA,PWRGEO016,2042,21.2632
KENYA,PWRGEO016,2043,21.2632
KENYA,PWRGEO016,2044,21.2632
KENYA,PWRGEO016,2045,21.2632
KENYA,PWRGEO016,2046,21.2632
KENYA,PWRGEO016,2047,21.2632
KENYA,PWRGEO016,2048,21.2632
KENYA,PWRGEO016,2049,21.2632
KENYA,PWRGEO016,2050,21.2632
KENYA,PWRGEO017,2028,4.092
KENYA,PWRGEO017,2029,4.092
KENYA,PWRGEO017,2030,4.092
KENYA,PWRGEO017,2031,4.092
KENYA,PWRGEO017,2032,4.092
KENYA,PWRGEO017,2033,4.092
KENYA,PWRGEO017,2034,4.092
KENYA,PWRGEO017,2035,4.092
KENYA,PWRGEO017,2036,4.092
KENYA,PWRGEO017,2037,4.092
KENYA,PWRGEO017,2038,4.092
KENYA,PWRGEO017,2039,4.092
KENYA,PWRGEO017,2040,4.092
KENYA,PWRGEO017,2041,4.092
KENYA,PWRGEO017,2042,4.092
KENYA,PWRGEO017,2043,4.092
KENYA,PWRGEO017,2044,4.092
KENYA,PWRGEO017,2045,4.092
KENYA,PWRGEO017,2046,4.092
KENYA,PWRGEO017,2047,4.092
KENYA,PWRGEO017,2048,4.092
KENYA,PWRGEO017,2049,4.092
KENYA,PWRGEO017,2050,4.092
