r,s,y,SalvageValueStorage
KENYA,PHS001,2034,15.6577
KENYA,PHS001,2035,22.4285
KENYA,PHS001,2036,22.964
KENYA,PHS001,2040,0.5007
KENYA,PHS002,2035,4.7213
KENYA,PHS002,2037,4.7672
KENYA,PHS002,2038,6.5356
KENYA,PHS002,2040,8.0501
