r,s,y,CapitalInvestmentStorage
KENYA,PHS001,2034,17.6201
KENYA,PHS001,2035,24.9061
KENYA,PHS001,2036,25.1952
KENYA,PHS001,2040,0.5288
KENYA,PHS002,2035,5.2428
KENYA,PHS002,2037,5.1734
KENYA,PHS002,2038,7.0224
KENYA,PHS002,2040,8.5015
