r,s,y,StorageLevelYearStart
KENYA,BESS001,2020,0.0921
KENYA,BESS001,2021,0.0921
KENYA,BESS001,2022,0.1628
KENYA,BESS001,2023,0.1628
KENYA,BESS001,2024,0.3321
KENYA,BESS001,2025,0.4978
KENYA,BESS001,2026,0.4978
KENYA,BESS001,2027,0.4978
KENYA,BESS001,2028,0.508
KENYA,BESS001,2029,0.6546
KENYA,BESS001,2030,0.5625
KENYA,BESS001,2031,0.5625
KENYA,BESS001,2032,0.556
KENYA,BESS001,2033,0.5945
KENYA,BESS001,2034,0.4252
KENYA,BESS001,2035,0.2594
KENYA,BESS001,2036,0.2594
KENYA,BESS001,2037,0.2752
KENYA,BESS001,2038,0.2802
KENYA,BESS001,2039,0.2309
KENYA,BESS001,2040,0.4782
KENYA,BESS001,2041,0.6006
KENYA,BESS001,2042,0.5364
KENYA,BESS001,2043,0.4979
KENYA,BESS001,2044,0.4979
KENYA,BESS001,2045,1.2403
KENYA,BESS001,2046,1.2455
KENYA,BESS001,2047,1.6377
KENYA,BESS001,2048,1.6225
KENYA,BESS001,2049,2.1317
KENYA,BESS001,2050,3.2325
KENYA,PHS001,2034,0.0004
KENYA,PHS001,2035,0.0009
KENYA,PHS001,2036,0.0015
KENYA,PHS001,2037,0.0015
KENYA,PHS001,2038,0.0015
KENYA,PHS001,2039,0.0015
KENYA,PHS001,2040,0.0015
KENYA,PHS001,2041,0.0015
KENYA,PHS001,2042,0.0015
KENYA,PHS001,2043,0.0015
KENYA,PHS001,2044,0.0015
KENYA,PHS001,2045,0.0015
KENYA,PHS001,2046,0.0015
KENYA,PHS001,2047,0.0015
KENYA,PHS001,2048,0.0015
KENYA,PHS001,2049,0.0015
KENYA,PHS001,2050,0.0015
KENYA,PHS002,2035,0.0001
KENYA,PHS002,2036,0.0001
KENYA,PHS002,2037,0.0002
KENYA,PHS002,2038,0.0004
KENYA,PHS002,2039,0.0004
KENYA,PHS002,2040,0.0006
KENYA,PHS002,2041,0.0006
KENYA,PHS002,2042,0.0006
KENYA,PHS002,2043,0.0006
KENYA,PHS002,2044,0.0006
KENYA,PHS002,2045,0.0006
KENYA,PHS002,2046,0.0006
KENYA,PHS002,2047,0.0006
KENYA,PHS002,2048,0.0006
KENYA,PHS002,2049,0.0006
KENYA,PHS002,2050,0.0006
