r,s,ls,ld,y,StorageLevelDayTypeStart
KENYA,BESS001,1,1,2020,0.0921
KENYA,BESS001,1,1,2021,0.0921
KENYA,BESS001,1,1,2022,0.1628
KENYA,BESS001,1,1,2023,0.1628
KENYA,BESS001,1,1,2024,0.3321
KENYA,BESS001,1,1,2025,0.4978
KENYA,BESS001,1,1,2026,0.4978
KENYA,BESS001,1,1,2027,0.4978
KENYA,BESS001,1,1,2028,0.508
KENYA,BESS001,1,1,2029,0.6546
KENYA,BESS001,1,1,2030,0.5625
KENYA,BESS001,1,1,2031,0.5625
KENYA,BESS001,1,1,2032,0.556
KENYA,BESS001,1,1,2033,0.5945
KENYA,BESS001,1,1,2034,0.4252
KENYA,BESS001,1,1,2035,0.2594
KENYA,BESS001,1,1,2036,0.2594
KENYA,BESS001,1,1,2037,0.2752
KENYA,BESS001,1,1,2038,0.2802
KENYA,BESS001,1,1,2039,0.2309
KENYA,BESS001,1,1,2040,0.4782
KENYA,BESS001,1,1,2041,0.6006
KENYA,BESS001,1,1,2042,0.5364
KENYA,BESS001,1,1,2043,0.4979
KENYA,BESS001,1,1,2044,0.4979
KENYA,BESS001,1,1,2045,1.2403
KENYA,BESS001,1,1,2046,1.2455
KENYA,BESS001,1,1,2047,1.6377
KENYA,BESS001,1,1,2048,1.6225
KENYA,BESS001,1,1,2049,2.1317
KENYA,BESS001,1,1,2050,3.2325
KENYA,BESS001,1,2,2020,0.0921
KENYA,BESS001,1,2,2021,0.0921
KENYA,BESS001,1,2,2022,0.1628
KENYA,BESS001,1,2,2023,0.1628
KENYA,BESS001,1,2,2024,0.3321
KENYA,BESS001,1,2,2025,0.4978
KENYA,BESS001,1,2,2026,0.4978
KENYA,BESS001,1,2,2027,0.4978
KENYA,BESS001,1,2,2028,0.508
KENYA,BESS001,1,2,2029,0.6546
KENYA,BESS001,1,2,2030,0.5625
KENYA,BESS001,1,2,2031,0.5625
KENYA,BESS001,1,2,2032,0.556
KENYA,BESS001,1,2,2033,0.5945
KENYA,BESS001,1,2,2034,0.4252
KENYA,BESS001,1,2,2035,0.2594
KENYA,BESS001,1,2,2036,0.2594
KENYA,BESS001,1,2,2037,0.2752
KENYA,BESS001,1,2,2038,0.2802
KENYA,BESS001,1,2,2039,0.2309
KENYA,BESS001,1,2,2040,0.4782
KENYA,BESS001,1,2,2041,0.6006
KENYA,BESS001,1,2,2042,0.5364
KENYA,BESS001,1,2,2043,0.4979
