r,s,y,DiscountedCapitalInvestmentStorage
KENYA,PHS001,2034,4.9045
KENYA,PHS001,2035,6.3659
KENYA,PHS001,2036,5.9135
KENYA,PHS001,2040,0.0882
KENYA,PHS002,2035,1.34
KENYA,PHS002,2037,1.115
KENYA,PHS002,2038,1.3898
KENYA,PHS002,2040,1.4188
