r,s,y,StorageUpperLimit
KENYA,BESS001,2020,0.1842
KENYA,BESS001,2021,0.1842
KENYA,BESS001,2022,0.3256
KENYA,BESS001,2023,0.3256
KENYA,BESS001,2024,0.6642
KENYA,BESS001,2025,0.9956
KENYA,BESS001,2026,0.9956
KENYA,BESS001,2027,0.9956
KENYA,BESS001,2028,1.0161
KENYA,BESS001,2029,1.3091
KENYA,BESS001,2030,1.1249
KENYA,BESS001,2031,1.1249
KENYA,BESS001,2032,1.112
KENYA,BESS001,2033,1.189
KENYA,BESS001,2034,0.8503
KENYA,BESS001,2035,0.5189
KENYA,BESS001,2036,0.5189
KENYA,BESS001,2037,0.5504
KENYA,BESS001,2038,0.5603
KENYA,BESS001,2039,0.4618
KENYA,BESS001,2040,0.9564
KENYA,BESS001,2041,1.2011
KENYA,BESS001,2042,1.0727
KENYA,BESS001,2043,0.9957
KENYA,BESS001,2044,0.9957
KENYA,BESS001,2045,2.4806
KENYA,BESS001,2046,2.491
KENYA,BESS001,2047,3.2754
KENYA,BESS001,2048,3.245
KENYA,BESS001,2049,4.2633
KENYA,BESS001,2050,6.4649
KENYA,PHS001,2034,0.0008
KENYA,PHS001,2035,0.0019
KENYA,PHS001,2036,0.003
KENYA,PHS001,2037,0.003
KENYA,PHS001,2038,0.003
KENYA,PHS001,2039,0.003
KENYA,PHS001,2040,0.003
KENYA,PHS001,2041,0.003
KENYA,PHS001,2042,0.003
KENYA,PHS001,2043,0.003
KENYA,PHS001,2044,0.003
KENYA,PHS001,2045,0.003
KENYA,PHS001,2046,0.003
KENYA,PHS001,2047,0.003
KENYA,PHS001,2048,0.003
KENYA,PHS001,2049,0.003
KENYA,PHS001,2050,0.003
KENYA,PHS002,2035,0.0002
KENYA,PHS002,2036,0.0002
KENYA,PHS002,2037,0.0005
KENYA,PHS002,2038,0.0008
KENYA,PHS002,2039,0.0008
KENYA,PHS002,2040,0.0012
KENYA,PHS002,2041,0.0012
KENYA,PHS002,2042,0.0012
KENYA,PHS002,2043,0.0012
KENYA,PHS002,2044,0.0012
KENYA,PHS002,2045,0.0012
KENYA,PHS002,2046,0.0012
KENYA,PHS002,2047,0.0012
KENYA,PHS002,2048,0.0012
KENYA,PHS002,2049,0.0012
KENYA,PHS002,2050,0.0012
