r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2037,0.4708
KENYA,PHS001,2038,1.2314
KENYA,PHS001,2040,1.2908
KENYA,PHS002,2038,1.8247
KENYA,PHS002,2040,2.6096
