r,s,y,DiscountedCapitalInvestmentStorage
KENYA,PHS001,2037,1.6856
KENYA,PHS001,2038,4.0083
KENYA,PHS001,2040,3.4824
KENYA,PHS002,2038,5.9394
KENYA,PHS002,2040,7.0399
