r,s,y,SalvageValueStorage
KENYA,PHS001,2037,7.2066
KENYA,PHS001,2038,18.849
KENYA,PHS001,2040,19.759
KENYA,PHS002,2038,27.9302
KENYA,PHS002,2040,39.9447
