r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,BESS_TECH,1,2043,4.9248
KENYA,BESS_TECH,1,2044,6.366
KENYA,BESS_TECH,1,2045,8.342
KENYA,BESS_TECH,1,2046,9.4296
KENYA,BESS_TECH,1,2047,11.2784
KENYA,BESS_TECH,1,2048,10.916
KENYA,BESS_TECH,1,2049,9.3225
KENYA,BESS_TECH,1,2050,8.8725
KENYA,DEMCOMELC,1,2019,6.2591
KENYA,DEMCOMELC,1,2020,6.3686
KENYA,DEMCOMELC,1,2021,6.6578
KENYA,DEMCOMELC,1,2022,6.8802
KENYA,DEMCOMELC,1,2023,7.0903
KENYA,DEMCOMELC,1,2024,7.3334
KENYA,DEMCOMELC,1,2025,7.5982
KENYA,DEMCOMELC,1,2026,8.2896
KENYA,DEMCOMELC,1,2027,9.0439
KENYA,DEMCOMELC,1,2028,9.8669
KENYA,DEMCOMELC,1,2029,10.7647
KENYA,DEMCOMELC,1,2030,11.7442
KENYA,DEMCOMELC,1,2031,12.8129
KENYA,DEMCOMELC,1,2032,13.9788
KENYA,DEMCOMELC,1,2033,15.2508
KENYA,DEMCOMELC,1,2034,16.6385
KENYA,DEMCOMELC,1,2035,18.1525
KENYA,DEMCOMELC,1,2036,19.8043
KENYA,DEMCOMELC,1,2037,21.6064
KENYA,DEMCOMELC,1,2038,23.5724
KENYA,DEMCOMELC,1,2039,25.7174
KENYA,DEMCOMELC,1,2040,28.0576
KENYA,DEMCOMELC,1,2041,30.6106
KENYA,DEMCOMELC,1,2042,33.1545
KENYA,DEMCOMELC,1,2043,35.858
KENYA,DEMCOMELC,1,2044,38.7819
KENYA,DEMCOMELC,1,2045,41.9442
KENYA,DEMCOMELC,1,2046,45.3644
KENYA,DEMCOMELC,1,2047,49.0635
KENYA,DEMCOMELC,1,2048,53.0642
KENYA,DEMCOMELC,1,2049,57.3912
KENYA,DEMCOMELC,1,2050,62.0709
KENYA,DEMINDELC,1,2019,21.5631
KENYA,DEMINDELC,1,2020,21.9401
KENYA,DEMINDELC,1,2021,22.9364
KENYA,DEMINDELC,1,2022,23.7027
KENYA,DEMINDELC,1,2023,24.4266
KENYA,DEMINDELC,1,2024,25.264
KENYA,DEMINDELC,1,2025,26.1763
KENYA,DEMINDELC,1,2026,28.5582
KENYA,DEMINDELC,1,2027,31.1568
KENYA,DEMINDELC,1,2028,33.9919
KENYA,DEMINDELC,1,2029,37.085
KENYA,DEMINDELC,1,2030,40.4595
KENYA,DEMINDELC,1,2031,44.1411
KENYA,DEMINDELC,1,2032,48.1577
KENYA,DEMINDELC,1,2033,52.5398
KENYA,DEMINDELC,1,2034,57.3206
KENYA,DEMINDELC,1,2035,62.5364
KENYA,DEMINDELC,1,2036,68.2269
KENYA,DEMINDELC,1,2037,74.4352
KENYA,DEMINDELC,1,2038,81.2084
KENYA,DEMINDELC,1,2039,88.5979
KENYA,DEMINDELC,1,2040,96.6598
KENYA,DEMINDELC,1,2041,105.4553
KENYA,DEMINDELC,1,2042,114.2192
KENYA,DEMINDELC,1,2043,123.5328
KENYA,DEMINDELC,1,2044,133.6058
KENYA,DEMINDELC,1,2045,144.5002
KENYA,DEMINDELC,1,2046,156.283
KENYA,DEMINDELC,1,2047,169.0265
KENYA,DEMINDELC,1,2048,182.8092
KENYA,DEMINDELC,1,2049,197.7157
KENYA,DEMINDELC,1,2050,213.8377
KENYA,DEMRESELC,1,2019,13.7907
KENYA,DEMRESELC,1,2020,14.0318
KENYA,DEMRESELC,1,2021,14.669
KENYA,DEMRESELC,1,2022,15.1591
KENYA,DEMRESELC,1,2023,15.6221
KENYA,DEMRESELC,1,2024,16.1577
KENYA,DEMRESELC,1,2025,16.7411
KENYA,DEMRESELC,1,2026,18.2645
KENYA,DEMRESELC,1,2027,19.9264
KENYA,DEMRESELC,1,2028,21.7396
KENYA,DEMRESELC,1,2029,23.7178
KENYA,DEMRESELC,1,2030,25.876
KENYA,DEMRESELC,1,2031,28.2306
KENYA,DEMRESELC,1,2032,30.7994
KENYA,DEMRESELC,1,2033,33.602
KENYA,DEMRESELC,1,2034,36.6596
KENYA,DEMRESELC,1,2035,39.9954
KENYA,DEMRESELC,1,2036,43.6348
KENYA,DEMRESELC,1,2037,47.6053
KENYA,DEMRESELC,1,2038,51.9371
KENYA,DEMRESELC,1,2039,56.6631
KENYA,DEMRESELC,1,2040,61.8191
KENYA,DEMRESELC,1,2041,67.4443
KENYA,DEMRESELC,1,2042,73.0493
KENYA,DEMRESELC,1,2043,79.0058
KENYA,DEMRESELC,1,2044,85.4481
KENYA,DEMRESELC,1,2045,92.4156
KENYA,DEMRESELC,1,2046,99.9513
KENYA,DEMRESELC,1,2047,108.1015
KENYA,DEMRESELC,1,2048,116.9162
KENYA,DEMRESELC,1,2049,126.4497
KENYA,DEMRESELC,1,2050,136.7606
KENYA,IMPELC001,1,2022,3.811
KENYA,IMPELC001,1,2023,3.6641
KENYA,IMPELC001,1,2024,4.9848
KENYA,IMPELC001,1,2025,3.7329
KENYA,IMPELC001,1,2026,3.4632
KENYA,IMPELC001,1,2027,7.2183
KENYA,IMPELC001,1,2028,7.984
KENYA,IMPELC001,1,2029,7.3332
KENYA,IMPELC001,1,2030,9.5826
KENYA,IMPELC001,1,2031,9.5914
KENYA,IMPELC001,1,2032,9.9697
KENYA,IMPELC001,1,2033,9.9697
KENYA,IMPELC001,1,2034,9.9697
KENYA,IMPELC001,1,2035,9.9697
KENYA,IMPELC001,1,2036,9.9697
KENYA,IMPELC001,1,2037,9.9697
KENYA,IMPELC001,1,2038,9.9697
KENYA,IMPELC001,1,2039,9.9697
KENYA,IMPELC001,1,2040,4.6968
KENYA,IMPELC001,1,2041,9.7371
KENYA,IMPELC001,1,2042,4.4655
KENYA,IMPELC001,1,2043,5.3041
KENYA,IMPELC001,1,2044,5.748
KENYA,IMPELC001,1,2045,9.1103
KENYA,IMPELC001,1,2046,9.9697
KENYA,IMPELC001,1,2047,9.4904
KENYA,IMPELC001,1,2048,5.6731
KENYA,IMPELC001,1,2049,4.2138
KENYA,IMPELC001,1,2050,3.9242
KENYA,IMPHFOMOM,1,2019,13.3439
KENYA,IMPHFOMOM,1,2020,14.896
KENYA,IMPHFOMOM,1,2021,14.8715
KENYA,IMPHFOMOM,1,2022,4.6476
KENYA,IMPHFOMOM,1,2023,4.78
KENYA,IMPHFOMOM,1,2024,6.3492
KENYA,IMPHFOMOM,1,2025,4.8236
KENYA,IMPHFOMOM,1,2026,1.1128
KENYA,IMPHFOMOM,1,2027,3.7532
KENYA,IMPHFOMOM,1,2028,3.8785
KENYA,IMPHFOMOM,1,2029,3.8785
KENYA,IMPHFOMOM,1,2030,2.2908
KENYA,IMPHFONAI,1,2019,1.337
KENYA,IMPHFONAI,1,2020,1.8011
KENYA,IMPHFONAI,1,2021,1.9919
KENYA,IMPHFONAI,1,2022,0.1545
KENYA,IMPHFONAI,1,2023,0.1986
KENYA,IMPHFONAI,1,2024,0.7456
KENYA,IMPHFONAI,1,2025,0.6283
KENYA,IMPHFONAI,1,2026,0.0214
KENYA,IMPHFONAI,1,2027,1.0821
KENYA,IMPHFONAI,1,2028,2.2636
KENYA,IMPHFONAI,1,2029,2.3703
KENYA,IMPHFONAI,1,2030,5.7922
KENYA,IMPHFONAI,1,2031,5.7934
KENYA,IMPHFONAI,1,2032,9.9259
KENYA,IMPHFONAI,1,2033,14.3729
KENYA,IMPHFONAI,1,2034,2.9151
KENYA,IMPHFONAI,1,2035,3.4198
KENYA,IMPNGS,1,2030,1.4287
KENYA,IMPNGS,1,2031,3.9903
KENYA,IMPNGS,1,2032,7.8619
KENYA,IMPNGS,1,2033,12.8112
KENYA,IMPNGS,1,2034,28.2217
KENYA,IMPNGS,1,2035,42.6462
KENYA,IMPNGS,1,2036,29.4066
KENYA,IMPNGS,1,2037,36.2372
KENYA,IMPNGS,1,2038,54.8338
KENYA,IMPNGS,1,2039,38.8692
KENYA,IMPNGS,1,2040,33.9693
KENYA,IMPNGS,1,2041,45.6702
KENYA,IMPNGS,1,2042,46.0982
KENYA,IMPNGS,1,2043,53.9457
KENYA,IMPNGS,1,2044,59.4587
KENYA,IMPNGS,1,2045,68.6048
KENYA,IMPNGS,1,2046,70.733
KENYA,IMPNGS,1,2047,70.9284
KENYA,IMPNGS,1,2048,66.7257
KENYA,IMPNGS,1,2049,61.8547
KENYA,IMPNGS,1,2050,55.363
KENYA,IMPURN,1,2036,28.4269
KENYA,IMPURN,1,2037,28.4269
KENYA,IMPURN,1,2038,28.4269
KENYA,IMPURN,1,2039,56.8538
KENYA,IMPURN,1,2040,56.8538
KENYA,IMPURN,1,2041,56.8538
KENYA,IMPURN,1,2042,85.2808
KENYA,IMPURN,1,2043,85.2808
KENYA,IMPURN,1,2044,85.2808
KENYA,IMPURN,1,2045,85.2808
KENYA,IMPURN,1,2046,85.2808
KENYA,IMPURN,1,2047,85.2808
KENYA,IMPURN,1,2048,85.2808
KENYA,IMPURN,1,2049,74.99
KENYA,IMPURN,1,2050,54.971
KENYA,MINBIO,1,2019,0.0902
KENYA,MINBIO,1,2020,0.0902
KENYA,MINBIO,1,2021,0.0902
KENYA,MINBIO,1,2022,0.0902
KENYA,MINBIO,1,2023,0.1533
KENYA,MINBIO,1,2024,0.1533
KENYA,MINBIO,1,2025,0.1533
KENYA,MINBIO,1,2026,0.6042
KENYA,MINBIO,1,2027,0.6042
KENYA,MINBIO,1,2028,0.9649
KENYA,MINBIO,1,2029,0.9649
KENYA,MINBIO,1,2030,3.1381
KENYA,MINBIO,1,2031,4.0398
KENYA,MINBIO,1,2032,4.5268
KENYA,MINBIO,1,2033,4.662
KENYA,MINBIO,1,2034,4.9326
KENYA,MINBIO,1,2035,4.9461
KENYA,MINBIO,1,2036,5.3474
KENYA,MINBIO,1,2037,5.7487
KENYA,MINBIO,1,2038,6.1499
KENYA,MINBIO,1,2039,6.5512
KENYA,MINBIO,1,2040,6.9525
KENYA,MINBIO,1,2041,7.3538
KENYA,MINBIO,1,2042,7.755
KENYA,MINBIO,1,2043,8.1563
KENYA,MINBIO,1,2044,8.5576
KENYA,MINBIO,1,2045,8.9589
KENYA,MINBIO,1,2046,9.3602
KENYA,MINBIO,1,2047,9.7614
KENYA,MINBIO,1,2048,9.7614
KENYA,MINBIO,1,2049,9.7614
KENYA,MINBIO,1,2050,9.7614
KENYA,MINGEO,1,2019,70.0437
KENYA,MINGEO,1,2020,70.0437
KENYA,MINGEO,1,2021,70.0437
KENYA,MINGEO,1,2022,77.4191
KENYA,MINGEO,1,2023,80.5179
KENYA,MINGEO,1,2024,77.8618
KENYA,MINGEO,1,2025,88.3094
KENYA,MINGEO,1,2026,104.2466
KENYA,MINGEO,1,2027,103.0752
KENYA,MINGEO,1,2028,111.303
KENYA,MINGEO,1,2029,130.2238
