r,t,y,AnnualVariableOperatingCost
KENYA,MINSOL,2035,0.0065
KENYA,MINSOL,2036,0.0079
KENYA,MINSOL,2037,0.0098
KENYA,MINSOL,2038,0.0121
KENYA,MINSOL,2039,0.0157
KENYA,MINSOL,2040,0.0205
KENYA,MINSOL,2041,0.0267
KENYA,MINSOL,2042,0.032
KENYA,MINSOL,2043,0.037
KENYA,MINSOL,2044,0.0397
KENYA,MINSOL,2045,0.0413
KENYA,MINSOL,2046,0.041
KENYA,MINSOL,2047,0.0409
KENYA,MINSOL,2048,0.0408
KENYA,MINSOL,2049,0.0406
KENYA,MINSOL,2050,0.0404
KENYA,MINWND,2019,0.0055
KENYA,MINWND,2020,0.0055
KENYA,MINWND,2021,0.0069
KENYA,MINWND,2022,0.0069
KENYA,MINWND,2023,0.0069
KENYA,MINWND,2024,0.0069
KENYA,MINWND,2025,0.0071
KENYA,MINWND,2026,0.0078
KENYA,MINWND,2027,0.008
KENYA,MINWND,2028,0.0094
KENYA,MINWND,2029,0.0096
KENYA,MINWND,2030,0.0104
KENYA,MINWND,2031,0.0113
KENYA,MINWND,2032,0.0119
KENYA,MINWND,2033,0.0129
KENYA,MINWND,2034,0.0138
KENYA,MINWND,2035,0.0148
KENYA,MINWND,2036,0.0162
KENYA,MINWND,2037,0.0181
KENYA,MINWND,2038,0.017
KENYA,MINWND,2039,0.0183
KENYA,MINWND,2040,0.0222
KENYA,MINWND,2041,0.0257
KENYA,MINWND,2042,0.032
KENYA,MINWND,2043,0.0401
KENYA,MINWND,2044,0.0504
KENYA,MINWND,2045,0.0635
KENYA,MINWND,2046,0.0796
KENYA,MINWND,2047,0.1008
KENYA,MINWND,2048,0.128
KENYA,MINWND,2049,0.1607
KENYA,MINWND,2050,0.1994
KENYA,PWRBIO001,2019,0.0
KENYA,PWRBIO001,2020,0.0
KENYA,PWRBIO001,2021,0.0
KENYA,PWRBIO001,2022,0.0
KENYA,PWRBIO001,2023,0.0001
KENYA,PWRBIO001,2024,0.0001
KENYA,PWRBIO001,2025,0.0001
KENYA,PWRBIO001,2026,0.0002
KENYA,PWRBIO001,2027,0.0002
KENYA,PWRBIO001,2028,0.0003
KENYA,PWRBIO001,2029,0.0003
KENYA,PWRBIO001,2030,0.0011
KENYA,PWRBIO001,2031,0.0014
KENYA,PWRBIO001,2032,0.0016
KENYA,PWRBIO001,2033,0.0016
KENYA,PWRBIO001,2034,0.0017
KENYA,PWRBIO001,2035,0.0017
KENYA,PWRBIO001,2036,0.0019
KENYA,PWRBIO001,2037,0.002
KENYA,PWRBIO001,2038,0.0022
KENYA,PWRBIO001,2039,0.0023
KENYA,PWRBIO001,2040,0.0024
KENYA,PWRBIO001,2041,0.0026
KENYA,PWRBIO001,2042,0.0027
KENYA,PWRBIO001,2043,0.0029
KENYA,PWRBIO001,2044,0.003
KENYA,PWRBIO001,2045,0.0031
KENYA,PWRBIO001,2046,0.0033
KENYA,PWRBIO001,2047,0.0034
KENYA,PWRBIO001,2048,0.0034
KENYA,PWRBIO001,2049,0.0034
KENYA,PWRBIO001,2050,0.0034
KENYA,PWRDIST,2019,0.0453
KENYA,PWRDIST,2020,0.0461
KENYA,PWRDIST,2021,0.0481
KENYA,PWRDIST,2022,0.0497
KENYA,PWRDIST,2023,0.0511
KENYA,PWRDIST,2024,0.0527
KENYA,PWRDIST,2025,0.0546
KENYA,PWRDIST,2026,0.0592
KENYA,PWRDIST,2027,0.0644
KENYA,PWRDIST,2028,0.0702
KENYA,PWRDIST,2029,0.0765
KENYA,PWRDIST,2030,0.083
KENYA,PWRDIST,2031,0.0901
KENYA,PWRDIST,2032,0.0982
KENYA,PWRDIST,2033,0.1067
KENYA,PWRDIST,2034,0.1162
KENYA,PWRDIST,2035,0.1264
KENYA,PWRDIST,2036,0.1377
KENYA,PWRDIST,2037,0.1504
KENYA,PWRDIST,2038,0.1642
KENYA,PWRDIST,2039,0.1792
KENYA,PWRDIST,2040,0.1956
KENYA,PWRDIST,2041,0.2135
KENYA,PWRDIST,2042,0.2313
KENYA,PWRDIST,2043,0.2501
KENYA,PWRDIST,2044,0.2705
KENYA,PWRDIST,2045,0.2925
KENYA,PWRDIST,2046,0.3162
KENYA,PWRDIST,2047,0.3419
KENYA,PWRDIST,2048,0.3696
KENYA,PWRDIST,2049,0.3996
KENYA,PWRDIST,2050,0.4319
KENYA,PWRGEO001,2019,0.0894
KENYA,PWRGEO001,2020,0.0894
KENYA,PWRGEO001,2021,0.0894
KENYA,PWRGEO001,2022,0.0894
KENYA,PWRGEO001,2023,0.0894
KENYA,PWRGEO002,2019,0.8347
KENYA,PWRGEO002,2020,0.8347
KENYA,PWRGEO002,2021,0.8347
KENYA,PWRGEO002,2022,0.8347
KENYA,PWRGEO002,2023,0.8347
KENYA,PWRGEO002,2024,0.8347
KENYA,PWRGEO002,2025,0.8347
KENYA,PWRGEO002,2026,0.8347
KENYA,PWRGEO002,2027,0.8347
KENYA,PWRGEO002,2028,0.8347
KENYA,PWRGEO002,2029,0.8347
KENYA,PWRGEO002,2030,0.8347
KENYA,PWRGEO002,2031,0.8347
KENYA,PWRGEO002,2032,0.8347
KENYA,PWRGEO002,2033,0.8347
KENYA,PWRGEO002,2034,0.8347
KENYA,PWRGEO002,2035,0.8347
KENYA,PWRGEO002,2036,0.8347
KENYA,PWRGEO002,2037,0.8347
KENYA,PWRGEO002,2038,0.8347
KENYA,PWRGEO002,2039,0.8347
KENYA,PWRGEO002,2040,0.8347
KENYA,PWRGEO003,2019,0.6022
KENYA,PWRGEO003,2020,0.6022
KENYA,PWRGEO003,2021,0.6022
KENYA,PWRGEO003,2022,0.6022
KENYA,PWRGEO003,2023,0.6022
KENYA,PWRGEO003,2024,0.6022
KENYA,PWRGEO003,2025,0.6022
KENYA,PWRGEO003,2026,0.6022
KENYA,PWRGEO003,2027,0.6022
KENYA,PWRGEO003,2028,0.6022
KENYA,PWRGEO004,2019,0.3804
KENYA,PWRGEO004,2020,0.3804
KENYA,PWRGEO004,2021,0.3804
KENYA,PWRGEO004,2022,0.3804
KENYA,PWRGEO004,2023,0.3804
