r,t,e,m,y,AnnualTechnologyEmissionByMode
KENYA,PWRNGS010,CO2,1,2048,0.135
KENYA,PWRNGS010,CO2,1,2049,0.1472
KENYA,PWRNGS010,CO2,1,2050,0.1062
KENYA,PWRNGS011,CO2,1,2034,0.1054
KENYA,PWRNGS011,CO2,1,2035,0.1231
KENYA,PWRNGS011,CO2,1,2036,0.1106
KENYA,PWRNGS011,CO2,1,2037,0.1342
KENYA,PWRNGS011,CO2,1,2038,0.1787
KENYA,PWRNGS011,CO2,1,2039,0.0873
KENYA,PWRNGS011,CO2,1,2040,0.1108
KENYA,PWRNGS011,CO2,1,2041,0.13
KENYA,PWRNGS011,CO2,1,2042,0.1125
KENYA,PWRNGS011,CO2,1,2043,0.1618
KENYA,PWRNGS011,CO2,1,2044,0.135
KENYA,PWRNGS011,CO2,1,2045,0.1249
KENYA,PWRNGS011,CO2,1,2046,0.1668
KENYA,PWRNGS011,CO2,1,2047,0.1553
KENYA,PWRNGS011,CO2,1,2048,0.1407
KENYA,PWRNGS011,CO2,1,2049,0.1183
KENYA,PWRNGS011,CO2,1,2050,0.1323
KENYA,PWRNGS018,CO2,1,2033,0.0081
KENYA,PWRNGS018,CO2,1,2034,0.0993
KENYA,PWRNGS018,CO2,1,2035,0.3561
KENYA,PWRNGS018,CO2,1,2036,0.2897
KENYA,PWRNGS018,CO2,1,2037,0.4158
KENYA,PWRNGS018,CO2,1,2038,0.7664
KENYA,PWRNGS018,CO2,1,2039,0.9184
KENYA,PWRNGS018,CO2,1,2040,0.8782
KENYA,PWRNGS018,CO2,1,2041,0.8784
KENYA,PWRNGS018,CO2,1,2042,1.0767
KENYA,PWRNGS018,CO2,1,2043,1.2454
KENYA,PWRNGS018,CO2,1,2044,1.5674
KENYA,PWRNGS018,CO2,1,2045,1.9978
KENYA,PWRNGS018,CO2,1,2046,2.1221
KENYA,PWRNGS018,CO2,1,2047,2.1098
KENYA,PWRNGS018,CO2,1,2048,1.9317
KENYA,PWRNGS018,CO2,1,2049,1.7333
KENYA,PWRNGS018,CO2,1,2050,1.5728
