r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,3,1,3,2049,-0.6933
KENYA,BESS001,3,1,3,2050,-0.9329
KENYA,BESS001,3,1,4,2024,-0.0081
KENYA,BESS001,3,1,4,2025,-0.0711
KENYA,BESS001,3,1,4,2026,-0.0029
KENYA,BESS001,3,1,4,2027,-0.0483
KENYA,BESS001,3,1,4,2028,-0.0632
KENYA,BESS001,3,1,4,2029,-0.0271
KENYA,BESS001,3,1,4,2030,-0.0446
KENYA,BESS001,3,1,4,2031,0.0221
KENYA,BESS001,3,1,4,2032,0.0149
KENYA,BESS001,3,1,4,2033,0.0081
KENYA,BESS001,3,1,4,2034,0.0344
KENYA,BESS001,3,1,4,2044,-0.0184
KENYA,BESS001,3,1,4,2045,0.0129
KENYA,BESS001,3,1,4,2046,0.0298
KENYA,BESS001,3,1,4,2047,0.0922
KENYA,BESS001,3,1,4,2048,0.2065
KENYA,BESS001,3,1,4,2049,0.3127
KENYA,BESS001,3,1,4,2050,0.3072
KENYA,BESS001,3,1,5,2024,0.0041
KENYA,BESS001,3,1,5,2025,0.0542
KENYA,BESS001,3,1,5,2026,0.0542
KENYA,BESS001,3,1,5,2027,0.0542
KENYA,BESS001,3,1,5,2028,0.0542
KENYA,BESS001,3,1,5,2029,0.0542
KENYA,BESS001,3,1,5,2030,0.0542
KENYA,BESS001,3,1,5,2031,0.0542
KENYA,BESS001,3,1,5,2032,0.0542
KENYA,BESS001,3,1,5,2033,0.0542
KENYA,BESS001,3,1,5,2034,0.0501
KENYA,BESS001,3,1,5,2044,0.0267
KENYA,BESS001,3,1,5,2045,0.0559
KENYA,BESS001,3,1,5,2046,0.096
KENYA,BESS001,3,1,5,2047,0.1452
KENYA,BESS001,3,1,5,2048,0.1881
KENYA,BESS001,3,1,5,2049,0.2311
KENYA,BESS001,3,1,5,2050,0.311
KENYA,BESS001,3,1,6,2024,0.0061
KENYA,BESS001,3,1,6,2025,0.0811
KENYA,BESS001,3,1,6,2026,0.0811
KENYA,BESS001,3,1,6,2027,0.0811
KENYA,BESS001,3,1,6,2028,0.0811
