r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,2,3,2046,-0.2535
KENYA,BESS001,1,2,3,2047,-0.0814
KENYA,BESS001,1,2,4,2024,0.2048
KENYA,BESS001,1,2,4,2025,0.3186
KENYA,BESS001,1,2,4,2026,-2.6901
KENYA,BESS001,1,2,4,2027,-0.2655
KENYA,BESS001,1,2,4,2028,-1.1156
KENYA,BESS001,1,2,4,2029,-0.4606
KENYA,BESS001,1,2,4,2030,-0.9666
KENYA,BESS001,1,2,4,2031,0.7214
KENYA,BESS001,1,2,4,2032,0.582
KENYA,BESS001,1,2,4,2033,0.3851
KENYA,BESS001,1,2,4,2034,-2.5174
KENYA,BESS001,1,2,4,2044,1.3421
KENYA,BESS001,1,2,4,2045,2.808
KENYA,BESS001,1,2,4,2046,4.8234
KENYA,BESS001,1,2,4,2047,7.2966
KENYA,BESS001,1,2,4,2048,6.9262
KENYA,BESS001,1,2,4,2049,5.8535
KENYA,BESS001,1,2,4,2050,6.7361
KENYA,BESS001,1,2,5,2024,-0.2048
KENYA,BESS001,1,2,5,2025,-2.7221
KENYA,BESS001,1,2,5,2026,-1.4729
KENYA,BESS001,1,2,5,2027,-2.7221
KENYA,BESS001,1,2,5,2028,-0.505
KENYA,BESS001,1,2,5,2029,-2.2555
KENYA,BESS001,1,2,5,2030,-0.0802
KENYA,BESS001,1,2,5,2031,-2.7221
KENYA,BESS001,1,2,5,2032,-2.7221
KENYA,BESS001,1,2,5,2033,-2.7221
KENYA,BESS001,1,2,5,2034,-2.5174
KENYA,BESS001,1,2,5,2044,-1.3421
KENYA,BESS001,1,2,5,2045,-2.808
KENYA,BESS001,1,2,5,2046,-4.8234
KENYA,BESS001,1,2,5,2047,-7.2966
KENYA,BESS001,1,2,5,2048,-9.4502
KENYA,BESS001,1,2,5,2049,-11.6138
KENYA,BESS001,1,2,5,2050,-15.6268
KENYA,BESS001,1,2,6,2024,-0.1385
KENYA,BESS001,1,2,6,2026,2.7221
KENYA,BESS001,1,2,6,2027,1.5797
KENYA,BESS001,1,2,6,2028,1.8509
KENYA,BESS001,1,2,6,2029,0.3628
KENYA,BESS001,1,2,6,2031,1.4792
KENYA,BESS001,1,2,6,2032,2.7221
KENYA,BESS001,1,2,6,2033,2.7221
KENYA,BESS001,1,2,6,2034,2.4049
KENYA,BESS001,1,2,6,2044,0.4342
KENYA,BESS001,1,2,6,2046,-0.1224
KENYA,BESS001,1,2,6,2048,-0.0192
KENYA,BESS001,1,2,6,2049,-0.0531
KENYA,BESS001,1,2,6,2050,-0.5139
KENYA,BESS001,2,1,1,2025,0.5996
KENYA,BESS001,2,1,1,2026,1.5789
KENYA,BESS001,2,1,1,2028,2.1613
KENYA,BESS001,2,1,1,2029,0.8731
KENYA,BESS001,2,1,1,2030,1.9362
KENYA,BESS001,2,1,1,2031,2.7221
KENYA,BESS001,2,1,1,2032,2.0354
KENYA,BESS001,2,1,1,2033,2.7221
KENYA,BESS001,2,1,1,2034,2.5174
KENYA,BESS001,2,1,1,2044,1.3421
KENYA,BESS001,2,1,1,2045,2.808
KENYA,BESS001,2,1,1,2046,4.8234
KENYA,BESS001,2,1,1,2047,5.6775
KENYA,BESS001,2,1,1,2048,9.4502
KENYA,BESS001,2,1,1,2049,11.6138
KENYA,BESS001,2,1,1,2050,13.7376
KENYA,BESS001,2,1,2,2025,-0.1169
KENYA,BESS001,2,1,2,2029,-1.7257
KENYA,BESS001,2,1,2,2031,-2.2478
KENYA,BESS001,2,1,2,2032,-2.7221
