y,Capital costs,Fixed costs,Variable costs,Fuel costs
2019,0.875624095470817,2.054186151079136,0.2415445143884892,0.9483109265082389
2020,0.957007555442828,2.01749668581529,0.25984865223155107,1.06337317744336
2021,1.4679591559716152,2.030521196743842,0.2539613066920393,1.160746802221936
2022,1.9537630341036782,2.10338792221085,0.1235916069600819,0.4351948825196823
2023,2.256844237952983,2.093219259848786,0.12535316354954237,0.43790809115425566
2024,2.4134879161301663,1.9886245066897683,0.15221676773510448,0.6563209787941526
2025,2.8139700755340256,2.0638027514407886,0.12715281650864474,0.4187599925636735
2026,3.633884945406715,2.1097992979929794,0.084879848798488,0.07110489626358903
2027,4.378529817217114,2.0613337310380087,0.0879307993863985,0.10775549425846224
2028,4.911625401710842,2.098724107358749,0.08930281292818575,0.12196614817559046
2029,5.897978170666026,2.181614397448554,0.08913281190675072,0.09215329507628564
2030,6.430071001304054,2.1522762478485378,0.09110226620768794,0.1511901893150317
2031,6.982162713873066,2.1752176578786018,0.0918870495265345,0.16574902922542406
2032,7.415866791685675,2.194828564062903,0.08989623614333592,0.1749142820314514
2033,7.818856181041405,2.2109428536465985,0.08837187958883996,0.1834571708350892
2034,8.301778489592285,2.220813913244116,0.07759171665897552,0.06775519151601521
2035,8.759867778032167,2.241215101349506,0.07809594055619296,0.08639479866246673
2036,9.10463068891142,2.2450018126262363,0.07831891863897661,0.06446237505407468
2037,9.350082105947191,2.2466224614631756,0.0794382187423538,0.07492312210466076
2038,9.938431236969922,2.288229359496483,0.07804378008145131,0.07382478710835795
2039,10.228424385672454,2.286470072736833,0.0810411006923144,0.07504933835060024
2040,10.573136069669111,2.365471059367517,0.08168235488398974,0.05543332506966387
2041,11.188714157375145,2.3205264596758446,0.07957273969927746,0.05542378441075565
2042,11.456476095054782,2.5329577568987207,0.07731486276540651,0.06041414514453646
2043,11.752131018548372,2.5430521526076304,0.07357507875393768,0.05620945047714448
2044,11.9102652248606,2.533630309455967,0.07135444967198991,0.05170937969604714
2045,12.280765127776672,2.524998118296431,0.06689017123502476,0.05183922412435256
2046,12.435468888645163,2.512194354575406,0.06495978154403252,0.045493025058709564
2047,12.721739659044925,2.4971566285377027,0.061994603861611514,0.041362637366347696
2048,12.892935269657942,2.4780939586603177,0.06037322763427415,0.05044452129499082
2049,12.76811970405635,2.4525155474985523,0.05976307374675832,0.05783981670317498
2050,12.983122259222206,2.4281846344485754,0.05871580402249547,0.06104991175131127
