r,s,y,NewStorageCapacity
KENYA,PHS001,2034,0.0004
KENYA,PHS001,2035,0.0015
KENYA,PHS001,2036,0.0008
KENYA,PHS001,2037,0.0001
KENYA,PHS001,2038,0.0002
KENYA,PHS001,2040,0.0001
KENYA,PHS002,2038,0.0004
KENYA,BESS001,2020,0.0491
KENYA,BESS001,2022,0.2407
KENYA,BESS001,2024,0.3382
KENYA,BESS001,2025,0.363
KENYA,BESS001,2028,0.1273
KENYA,BESS001,2029,0.0557
KENYA,BESS001,2032,0.2392
KENYA,BESS001,2033,0.0803
KENYA,BESS001,2037,0.0929
KENYA,BESS001,2039,0.2453
KENYA,BESS001,2040,0.3265
KENYA,BESS001,2041,0.2311
KENYA,BESS001,2045,1.631
KENYA,BESS001,2046,0.3754
KENYA,BESS001,2047,0.8279
KENYA,BESS001,2048,0.3744
KENYA,BESS001,2050,1.3128
