r,l,f,y,Demand
KENYA,TS02,INDELC,2036,1.0818
KENYA,TS02,INDELC,2037,1.1445
KENYA,TS02,INDELC,2038,1.2099
KENYA,TS02,INDELC,2039,1.2793
KENYA,TS02,INDELC,2040,1.3528
KENYA,TS02,INDELC,2041,1.4304
KENYA,TS02,INDELC,2042,1.5111
KENYA,TS02,INDELC,2043,1.597
KENYA,TS02,INDELC,2044,1.6878
KENYA,TS02,INDELC,2045,1.7837
KENYA,TS02,INDELC,2046,1.8852
KENYA,TS02,INDELC,2047,1.9923
KENYA,TS02,INDELC,2048,2.1056
KENYA,TS02,INDELC,2049,2.2253
KENYA,TS02,INDELC,2050,2.3519
KENYA,TS02,RESELC,2019,0.313
KENYA,TS02,RESELC,2020,0.3185
KENYA,TS02,RESELC,2021,0.333
KENYA,TS02,RESELC,2022,0.3441
KENYA,TS02,RESELC,2023,0.3546
KENYA,TS02,RESELC,2024,0.3668
KENYA,TS02,RESELC,2025,0.38
KENYA,TS02,RESELC,2026,0.394
KENYA,TS02,RESELC,2027,0.4167
KENYA,TS02,RESELC,2028,0.4408
KENYA,TS02,RESELC,2029,0.4683
KENYA,TS02,RESELC,2030,0.4979
KENYA,TS02,RESELC,2031,0.5257
KENYA,TS02,RESELC,2032,0.5565
KENYA,TS02,RESELC,2033,0.5877
KENYA,TS02,RESELC,2034,0.6211
KENYA,TS02,RESELC,2035,0.6562
KENYA,TS02,RESELC,2036,0.6919
KENYA,TS02,RESELC,2037,0.732
KENYA,TS02,RESELC,2038,0.7738
KENYA,TS02,RESELC,2039,0.8182
KENYA,TS02,RESELC,2040,0.8652
KENYA,TS02,RESELC,2041,0.9148
KENYA,TS02,RESELC,2042,0.9664
KENYA,TS02,RESELC,2043,1.0213
KENYA,TS02,RESELC,2044,1.0794
KENYA,TS02,RESELC,2045,1.1408
KENYA,TS02,RESELC,2046,1.2057
KENYA,TS02,RESELC,2047,1.2742
KENYA,TS02,RESELC,2048,1.3467
KENYA,TS02,RESELC,2049,1.4232
KENYA,TS02,RESELC,2050,1.5041
KENYA,TS03,COMELC,2019,0.281
KENYA,TS03,COMELC,2020,0.286
KENYA,TS03,COMELC,2021,0.2989
KENYA,TS03,COMELC,2022,0.3089
KENYA,TS03,COMELC,2023,0.3184
KENYA,TS03,COMELC,2024,0.3293
KENYA,TS03,COMELC,2025,0.3412
KENYA,TS03,COMELC,2026,0.3537
KENYA,TS03,COMELC,2027,0.3741
KENYA,TS03,COMELC,2028,0.3957
KENYA,TS03,COMELC,2029,0.4205
KENYA,TS03,COMELC,2030,0.447
KENYA,TS03,COMELC,2031,0.4719
KENYA,TS03,COMELC,2032,0.4996
KENYA,TS03,COMELC,2033,0.5276
KENYA,TS03,COMELC,2034,0.5576
KENYA,TS03,COMELC,2035,0.5891
KENYA,TS03,COMELC,2036,0.6211
KENYA,TS03,COMELC,2037,0.6571
KENYA,TS03,COMELC,2038,0.6947
KENYA,TS03,COMELC,2039,0.7345
KENYA,TS03,COMELC,2040,0.7767
KENYA,TS03,COMELC,2041,0.8213
KENYA,TS03,COMELC,2042,0.8676
KENYA,TS03,COMELC,2043,0.9169
KENYA,TS03,COMELC,2044,0.969
KENYA,TS03,COMELC,2045,1.0241
KENYA,TS03,COMELC,2046,1.0824
KENYA,TS03,COMELC,2047,1.1439
KENYA,TS03,COMELC,2048,1.2089
KENYA,TS03,COMELC,2049,1.2777
KENYA,TS03,COMELC,2050,1.3503
KENYA,TS03,INDELC,2019,0.9682
KENYA,TS03,INDELC,2020,0.9851
KENYA,TS03,INDELC,2021,1.0298
KENYA,TS03,INDELC,2022,1.0643
KENYA,TS03,INDELC,2023,1.0968
KENYA,TS03,INDELC,2024,1.1344
KENYA,TS03,INDELC,2025,1.1753
KENYA,TS03,INDELC,2026,1.2184
KENYA,TS03,INDELC,2027,1.2887
KENYA,TS03,INDELC,2028,1.3633
KENYA,TS03,INDELC,2029,1.4485
KENYA,TS03,INDELC,2030,1.54
KENYA,TS03,INDELC,2031,1.6259
KENYA,TS03,INDELC,2032,1.721
KENYA,TS03,INDELC,2033,1.8177
KENYA,TS03,INDELC,2034,1.9209
KENYA,TS03,INDELC,2035,2.0293
KENYA,TS03,INDELC,2036,2.1398
KENYA,TS03,INDELC,2037,2.2638
KENYA,TS03,INDELC,2038,2.3932
KENYA,TS03,INDELC,2039,2.5304
KENYA,TS03,INDELC,2040,2.6759
KENYA,TS03,INDELC,2041,2.8294
KENYA,TS03,INDELC,2042,2.9888
KENYA,TS03,INDELC,2043,3.1588
KENYA,TS03,INDELC,2044,3.3384
KENYA,TS03,INDELC,2045,3.5282
KENYA,TS03,INDELC,2046,3.7288
KENYA,TS03,INDELC,2047,3.9408
KENYA,TS03,INDELC,2048,4.1649
KENYA,TS03,INDELC,2049,4.4017
KENYA,TS03,INDELC,2050,4.6519
