r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS07,2042,2.0437
KENYA,BESS_TECH,TS07,2043,0.9443
KENYA,BESS_TECH,TS07,2049,3.7494
KENYA,BESS_TECH,TS07,2050,0.8876
KENYA,BESS_TECH,TS08,2024,0.1385
KENYA,BESS_TECH,TS08,2025,0.2653
KENYA,BESS_TECH,TS08,2028,2.7221
KENYA,BESS_TECH,TS08,2031,2.1938
KENYA,BESS_TECH,TS08,2037,1.1806
KENYA,BESS_TECH,TS08,2039,0.7986
KENYA,BESS_TECH,TS08,2040,1.8923
KENYA,BESS_TECH,TS08,2041,2.0437
KENYA,BESS_TECH,TS08,2042,0.2956
KENYA,BESS_TECH,TS08,2043,0.6841
KENYA,BESS_TECH,TS08,2044,0.3773
KENYA,BESS_TECH,TS08,2045,3.3288
KENYA,BESS_TECH,TS08,2046,3.0164
KENYA,BESS_TECH,TS08,2047,1.967
KENYA,BESS_TECH,TS08,2048,4.3757
KENYA,BESS_TECH,TS08,2049,7.8158
KENYA,BESS_TECH,TS08,2050,7.5103
KENYA,BESS_TECH,TS09,2025,0.2601
KENYA,BESS_TECH,TS09,2026,0.1667
KENYA,BESS_TECH,TS09,2027,0.5473
KENYA,BESS_TECH,TS09,2031,2.1922
KENYA,BESS_TECH,TS09,2033,0.6069
KENYA,BESS_TECH,TS09,2034,0.2015
KENYA,BESS_TECH,TS09,2037,1.1806
KENYA,BESS_TECH,TS09,2038,0.3993
KENYA,BESS_TECH,TS09,2040,1.8923
KENYA,BESS_TECH,TS09,2041,2.0437
KENYA,BESS_TECH,TS09,2042,2.0437
KENYA,BESS_TECH,TS09,2044,0.5026
KENYA,BESS_TECH,TS09,2045,0.6131
KENYA,BESS_TECH,TS09,2046,0.0313
KENYA,BESS_TECH,TS09,2047,2.2187
KENYA,BESS_TECH,TS09,2049,1.3951
KENYA,BESS_TECH,TS09,2050,3.0324
KENYA,BESS_TECH,TS10,2024,0.2048
KENYA,BESS_TECH,TS10,2025,0.3186
KENYA,BESS_TECH,TS10,2026,2.6772
KENYA,BESS_TECH,TS10,2027,1.46
KENYA,BESS_TECH,TS10,2028,1.7073
KENYA,BESS_TECH,TS10,2029,1.0285
KENYA,BESS_TECH,TS10,2030,0.0255
KENYA,BESS_TECH,TS10,2031,0.4209
KENYA,BESS_TECH,TS10,2032,1.5187
KENYA,BESS_TECH,TS10,2033,2.7221
KENYA,BESS_TECH,TS10,2034,0.5714
KENYA,BESS_TECH,TS10,2037,1.1806
KENYA,BESS_TECH,TS10,2038,1.1806
KENYA,BESS_TECH,TS10,2039,1.1806
KENYA,BESS_TECH,TS10,2040,1.8923
KENYA,BESS_TECH,TS10,2041,2.0437
KENYA,BESS_TECH,TS10,2042,0.2703
KENYA,BESS_TECH,TS10,2043,0.0139
KENYA,BESS_TECH,TS10,2044,2.0437
KENYA,BESS_TECH,TS10,2045,6.7335
KENYA,BESS_TECH,TS10,2046,5.9942
KENYA,BESS_TECH,TS10,2047,8.7258
KENYA,BESS_TECH,TS10,2048,6.9236
KENYA,BESS_TECH,TS10,2049,4.0814
KENYA,BESS_TECH,TS10,2050,0.8561
KENYA,BESS_TECH,TS11,2024,0.2048
KENYA,BESS_TECH,TS11,2025,2.7221
KENYA,BESS_TECH,TS11,2026,1.4989
KENYA,BESS_TECH,TS11,2027,2.7221
KENYA,BESS_TECH,TS11,2028,0.8028
KENYA,BESS_TECH,TS11,2029,2.6012
KENYA,BESS_TECH,TS11,2030,0.2096
KENYA,BESS_TECH,TS11,2031,2.7221
KENYA,BESS_TECH,TS11,2032,2.7221
KENYA,BESS_TECH,TS11,2033,2.7221
KENYA,BESS_TECH,TS11,2034,2.0911
KENYA,BESS_TECH,TS11,2037,1.1806
KENYA,BESS_TECH,TS11,2038,1.1806
KENYA,BESS_TECH,TS11,2039,1.1806
KENYA,BESS_TECH,TS11,2040,1.8923
KENYA,BESS_TECH,TS11,2041,2.0437
KENYA,BESS_TECH,TS11,2042,2.0437
KENYA,BESS_TECH,TS11,2043,2.0437
KENYA,BESS_TECH,TS11,2044,2.0437
KENYA,BESS_TECH,TS11,2045,6.7335
KENYA,BESS_TECH,TS11,2046,7.437
KENYA,BESS_TECH,TS11,2047,7.9843
KENYA,BESS_TECH,TS11,2048,7.3788
KENYA,BESS_TECH,TS11,2049,9.4235
KENYA,BESS_TECH,TS11,2050,12.1771
KENYA,BESS_TECH,TS12,2025,0.0596
KENYA,BESS_TECH,TS12,2026,0.3856
KENYA,BESS_TECH,TS12,2027,2.7221
KENYA,BESS_TECH,TS12,2029,2.7221
KENYA,BESS_TECH,TS12,2030,0.1762
KENYA,BESS_TECH,TS12,2031,2.7221
KENYA,BESS_TECH,TS12,2037,1.1806
KENYA,BESS_TECH,TS12,2040,1.8923
KENYA,BESS_TECH,TS12,2041,0.6612
KENYA,BESS_TECH,TS12,2042,2.0437
KENYA,BESS_TECH,TS12,2043,0.1968
KENYA,BESS_TECH,TS12,2049,9.4235
KENYA,BESS_TECH,TS12,2050,6.7493
KENYA,BESS_TECH,TS13,2025,1.9607
KENYA,BESS_TECH,TS13,2027,2.2382
KENYA,BESS_TECH,TS13,2028,2.1824
KENYA,BESS_TECH,TS13,2029,0.8291
KENYA,BESS_TECH,TS13,2031,2.7221
KENYA,BESS_TECH,TS13,2032,0.9968
KENYA,BESS_TECH,TS13,2033,2.5284
KENYA,BESS_TECH,TS13,2037,1.1806
KENYA,BESS_TECH,TS13,2038,0.0129
KENYA,BESS_TECH,TS13,2040,1.8923
KENYA,BESS_TECH,TS13,2041,2.0437
KENYA,BESS_TECH,TS13,2042,2.0437
KENYA,BESS_TECH,TS13,2043,1.1571
KENYA,BESS_TECH,TS13,2044,1.2648
KENYA,BESS_TECH,TS13,2045,4.5834
KENYA,BESS_TECH,TS13,2046,0.7732
KENYA,BESS_TECH,TS13,2047,9.4235
KENYA,BESS_TECH,TS13,2048,9.4235
KENYA,BESS_TECH,TS13,2049,9.4235
KENYA,BESS_TECH,TS13,2050,12.1771
KENYA,BESS_TECH,TS14,2025,0.1169
KENYA,BESS_TECH,TS14,2026,2.4639
KENYA,BESS_TECH,TS14,2029,1.682
KENYA,BESS_TECH,TS14,2031,2.0608
KENYA,BESS_TECH,TS14,2037,1.1806
KENYA,BESS_TECH,TS14,2040,1.8923
KENYA,BESS_TECH,TS14,2041,2.0437
