r,t,y,AnnualVariableOperatingCost
KENYA,IMPNGS,2046,96.8092
KENYA,IMPNGS,2047,93.3537
KENYA,IMPNGS,2048,83.4632
KENYA,IMPNGS,2049,78.9829
KENYA,IMPNGS,2050,62.9011
KENYA,MINBIO,2019,0.1443
KENYA,MINBIO,2020,0.1443
KENYA,MINBIO,2021,0.1443
KENYA,MINBIO,2022,0.1443
KENYA,MINBIO,2023,0.2453
KENYA,MINBIO,2024,0.2453
KENYA,MINBIO,2025,0.2453
KENYA,MINBIO,2026,0.9667
KENYA,MINBIO,2027,0.9667
KENYA,MINBIO,2028,1.5438
KENYA,MINBIO,2029,1.5438
KENYA,MINBIO,2030,5.0209
KENYA,MINBIO,2031,6.4637
KENYA,MINBIO,2032,7.2428
KENYA,MINBIO,2033,7.4593
KENYA,MINBIO,2034,7.8921
KENYA,MINBIO,2035,7.9138
KENYA,MINBIO,2036,8.5558
KENYA,MINBIO,2037,8.5558
KENYA,MINBIO,2038,9.8399
KENYA,MINBIO,2039,9.8399
KENYA,MINBIO,2040,9.8399
KENYA,MINBIO,2041,9.8399
KENYA,MINBIO,2042,12.4081
KENYA,MINBIO,2043,13.0501
KENYA,MINBIO,2044,13.6922
KENYA,MINBIO,2045,14.3342
KENYA,MINBIO,2046,14.9763
KENYA,MINBIO,2047,15.6183
KENYA,MINBIO,2048,15.6183
KENYA,MINBIO,2049,15.6183
KENYA,MINBIO,2050,8.3259
KENYA,MINGEO,2019,0.07
KENYA,MINGEO,2020,0.07
KENYA,MINGEO,2021,0.07
KENYA,MINGEO,2022,0.0774
KENYA,MINGEO,2023,0.0805
KENYA,MINGEO,2024,0.0779
KENYA,MINGEO,2025,0.0883
KENYA,MINGEO,2026,0.0981
KENYA,MINGEO,2027,0.1022
KENYA,MINGEO,2028,0.1102
KENYA,MINGEO,2029,0.1253
KENYA,MINGEO,2030,0.1317
KENYA,MINGEO,2031,0.1424
KENYA,MINGEO,2032,0.1484
KENYA,MINGEO,2033,0.1525
KENYA,MINGEO,2034,0.1692
KENYA,MINGEO,2035,0.1744
KENYA,MINGEO,2036,0.1923
KENYA,MINGEO,2037,0.207
KENYA,MINGEO,2038,0.2187
KENYA,MINGEO,2039,0.2424
KENYA,MINGEO,2040,0.2598
KENYA,MINGEO,2041,0.2776
KENYA,MINGEO,2042,0.2899
KENYA,MINGEO,2043,0.2947
KENYA,MINGEO,2044,0.3064
KENYA,MINGEO,2045,0.3052
KENYA,MINGEO,2046,0.315
KENYA,MINGEO,2047,0.3182
KENYA,MINGEO,2048,0.321
KENYA,MINGEO,2049,0.321
KENYA,MINGEO,2050,0.3161
KENYA,MINHYD,2019,0.012
KENYA,MINHYD,2020,0.012
KENYA,MINHYD,2021,0.012
KENYA,MINHYD,2022,0.012
KENYA,MINHYD,2023,0.0121
KENYA,MINHYD,2024,0.0122
KENYA,MINHYD,2025,0.0122
KENYA,MINHYD,2026,0.0125
KENYA,MINHYD,2027,0.0126
KENYA,MINHYD,2028,0.0127
KENYA,MINHYD,2029,0.0128
KENYA,MINHYD,2030,0.0133
KENYA,MINHYD,2031,0.0136
KENYA,MINHYD,2032,0.0139
KENYA,MINHYD,2033,0.0143
KENYA,MINHYD,2034,0.0147
KENYA,MINHYD,2035,0.0151
KENYA,MINHYD,2036,0.0154
KENYA,MINHYD,2037,0.0155
KENYA,MINHYD,2038,0.0155
KENYA,MINHYD,2039,0.0156
KENYA,MINHYD,2040,0.0157
KENYA,MINHYD,2041,0.0157
KENYA,MINHYD,2042,0.0141
KENYA,MINHYD,2043,0.0142
KENYA,MINHYD,2044,0.0143
KENYA,MINHYD,2045,0.0144
KENYA,MINHYD,2046,0.0145
KENYA,MINHYD,2047,0.0146
KENYA,MINHYD,2048,0.0147
KENYA,MINHYD,2049,0.0149
KENYA,MINHYD,2050,0.015
KENYA,MINSOL,2019,0.0003
KENYA,MINSOL,2020,0.0003
KENYA,MINSOL,2021,0.0008
KENYA,MINSOL,2022,0.0011
KENYA,MINSOL,2023,0.0013
KENYA,MINSOL,2024,0.0016
KENYA,MINSOL,2025,0.0016
KENYA,MINSOL,2026,0.0018
KENYA,MINSOL,2027,0.0018
KENYA,MINSOL,2028,0.0018
KENYA,MINSOL,2029,0.0018
KENYA,MINSOL,2030,0.0018
KENYA,MINSOL,2031,0.0018
KENYA,MINSOL,2032,0.0018
KENYA,MINSOL,2033,0.0018
KENYA,MINSOL,2034,0.0018
KENYA,MINSOL,2035,0.0018
KENYA,MINSOL,2036,0.0018
KENYA,MINSOL,2037,0.0018
KENYA,MINSOL,2038,0.0022
KENYA,MINSOL,2039,0.0022
KENYA,MINSOL,2040,0.0022
KENYA,MINSOL,2041,0.0017
KENYA,MINSOL,2042,0.0018
KENYA,MINSOL,2043,0.0015
KENYA,MINSOL,2044,0.0013
KENYA,MINSOL,2045,0.0013
KENYA,MINSOL,2046,0.001
KENYA,MINSOL,2047,0.001
KENYA,MINSOL,2048,0.001
KENYA,MINSOL,2049,0.001
KENYA,MINSOL,2050,0.001
KENYA,MINWND,2019,0.0055
KENYA,MINWND,2020,0.0055
KENYA,MINWND,2021,0.0069
KENYA,MINWND,2022,0.0069
KENYA,MINWND,2023,0.0069
KENYA,MINWND,2024,0.0069
KENYA,MINWND,2025,0.0071
KENYA,MINWND,2026,0.0078
KENYA,MINWND,2027,0.008
KENYA,MINWND,2028,0.0094
KENYA,MINWND,2029,0.0096
KENYA,MINWND,2030,0.0099
KENYA,MINWND,2031,0.0102
KENYA,MINWND,2032,0.0111
KENYA,MINWND,2033,0.0116
KENYA,MINWND,2034,0.0123
KENYA,MINWND,2035,0.0129
KENYA,MINWND,2036,0.0138
KENYA,MINWND,2037,0.015
KENYA,MINWND,2038,0.013
KENYA,MINWND,2039,0.0131
KENYA,MINWND,2040,0.0153
KENYA,MINWND,2041,0.0166
KENYA,MINWND,2042,0.0204
KENYA,MINWND,2043,0.0245
KENYA,MINWND,2044,0.0295
KENYA,MINWND,2045,0.0356
KENYA,MINWND,2046,0.0424
KENYA,MINWND,2047,0.0515
KENYA,MINWND,2048,0.0626
KENYA,MINWND,2049,0.0751
KENYA,MINWND,2050,0.0907
KENYA,PWRBIO001,2019,0.0
KENYA,PWRBIO001,2020,0.0
KENYA,PWRBIO001,2021,0.0
KENYA,PWRBIO001,2022,0.0
KENYA,PWRBIO001,2023,0.0001
KENYA,PWRBIO001,2024,0.0001
KENYA,PWRBIO001,2025,0.0001
KENYA,PWRBIO001,2026,0.0002
KENYA,PWRBIO001,2027,0.0002
KENYA,PWRBIO001,2028,0.0003
KENYA,PWRBIO001,2029,0.0003
KENYA,PWRBIO001,2030,0.0011
KENYA,PWRBIO001,2031,0.0014
KENYA,PWRBIO001,2032,0.0016
KENYA,PWRBIO001,2033,0.0016
KENYA,PWRBIO001,2034,0.0017
KENYA,PWRBIO001,2035,0.0017
KENYA,PWRBIO001,2036,0.0019
KENYA,PWRBIO001,2037,0.0019
KENYA,PWRBIO001,2038,0.0022
KENYA,PWRBIO001,2039,0.0022
KENYA,PWRBIO001,2040,0.0022
KENYA,PWRBIO001,2041,0.0022
KENYA,PWRBIO001,2042,0.0027
KENYA,PWRBIO001,2043,0.0029
KENYA,PWRBIO001,2044,0.003
KENYA,PWRBIO001,2045,0.0031
KENYA,PWRBIO001,2046,0.0033
KENYA,PWRBIO001,2047,0.0034
KENYA,PWRBIO001,2048,0.0034
KENYA,PWRBIO001,2049,0.0034
KENYA,PWRBIO001,2050,0.0018
KENYA,PWRDIST,2019,0.0453
KENYA,PWRDIST,2020,0.0461
KENYA,PWRDIST,2021,0.0481
KENYA,PWRDIST,2022,0.0497
KENYA,PWRDIST,2023,0.0511
KENYA,PWRDIST,2024,0.0527
KENYA,PWRDIST,2025,0.0546
KENYA,PWRDIST,2026,0.0562
KENYA,PWRDIST,2027,0.0593
KENYA,PWRDIST,2028,0.0626
KENYA,PWRDIST,2029,0.0664
KENYA,PWRDIST,2030,0.0701
KENYA,PWRDIST,2031,0.0736
KENYA,PWRDIST,2032,0.0777
KENYA,PWRDIST,2033,0.0816
KENYA,PWRDIST,2034,0.0859
KENYA,PWRDIST,2035,0.0904
KENYA,PWRDIST,2036,0.095
KENYA,PWRDIST,2037,0.1006
KENYA,PWRDIST,2038,0.1064
KENYA,PWRDIST,2039,0.1125
KENYA,PWRDIST,2040,0.119
KENYA,PWRDIST,2041,0.1259
KENYA,PWRDIST,2042,0.133
KENYA,PWRDIST,2043,0.1406
KENYA,PWRDIST,2044,0.1485
KENYA,PWRDIST,2045,0.157
KENYA,PWRDIST,2046,0.1659
KENYA,PWRDIST,2047,0.1752
KENYA,PWRDIST,2048,0.1851
KENYA,PWRDIST,2049,0.1956
KENYA,PWRDIST,2050,0.2066
KENYA,PWRGEO001,2019,0.0894
KENYA,PWRGEO001,2020,0.0894
KENYA,PWRGEO001,2021,0.0894
KENYA,PWRGEO001,2022,0.0894
KENYA,PWRGEO001,2023,0.0894
KENYA,PWRGEO002,2019,0.8347
KENYA,PWRGEO002,2020,0.8347
KENYA,PWRGEO002,2021,0.8347
KENYA,PWRGEO002,2022,0.8347
KENYA,PWRGEO002,2023,0.8347
KENYA,PWRGEO002,2024,0.8347
KENYA,PWRGEO002,2025,0.8347
KENYA,PWRGEO002,2026,0.8347
KENYA,PWRGEO002,2027,0.8347
KENYA,PWRGEO002,2028,0.8347
KENYA,PWRGEO002,2029,0.8347
KENYA,PWRGEO002,2030,0.8347
KENYA,PWRGEO002,2031,0.8347
KENYA,PWRGEO002,2032,0.8347
KENYA,PWRGEO002,2033,0.8347
KENYA,PWRGEO002,2034,0.8347
KENYA,PWRGEO002,2035,0.8347
KENYA,PWRGEO002,2036,0.8347
KENYA,PWRGEO002,2037,0.8347
KENYA,PWRGEO002,2038,0.8347
KENYA,PWRGEO002,2039,0.8347
KENYA,PWRGEO002,2040,0.8347
KENYA,PWRGEO003,2019,0.6022
KENYA,PWRGEO003,2020,0.6022
KENYA,PWRGEO003,2021,0.6022
KENYA,PWRGEO003,2022,0.6022
KENYA,PWRGEO003,2023,0.6022
KENYA,PWRGEO003,2024,0.6022
KENYA,PWRGEO003,2025,0.6022
KENYA,PWRGEO003,2026,0.6022
KENYA,PWRGEO003,2027,0.6022
KENYA,PWRGEO003,2028,0.6022
KENYA,PWRGEO004,2019,0.3804
