r,t,e,y,AnnualTechnologyEmission
KENYA,PWRNGS003,CO2,2042,0.014
KENYA,PWRNGS003,CO2,2043,0.1575
KENYA,PWRNGS003,CO2,2044,0.1701
KENYA,PWRNGS003,CO2,2045,0.201
KENYA,PWRNGS003,CO2,2046,0.2221
KENYA,PWRNGS003,CO2,2047,0.199
KENYA,PWRNGS003,CO2,2048,0.1725
KENYA,PWRNGS003,CO2,2049,0.1587
KENYA,PWRNGS003,CO2,2050,0.1133
KENYA,PWRNGS004,CO2,2031,0.0012
KENYA,PWRNGS004,CO2,2032,0.0084
KENYA,PWRNGS004,CO2,2033,0.0277
KENYA,PWRNGS004,CO2,2034,0.0988
KENYA,PWRNGS004,CO2,2035,0.1546
KENYA,PWRNGS004,CO2,2036,0.1652
KENYA,PWRNGS004,CO2,2037,0.1588
KENYA,PWRNGS004,CO2,2038,0.1778
KENYA,PWRNGS004,CO2,2039,0.135
KENYA,PWRNGS004,CO2,2040,0.1127
KENYA,PWRNGS004,CO2,2041,0.1311
KENYA,PWRNGS004,CO2,2042,0.169
KENYA,PWRNGS004,CO2,2043,0.1556
KENYA,PWRNGS004,CO2,2044,0.1292
KENYA,PWRNGS004,CO2,2045,0.1738
KENYA,PWRNGS004,CO2,2046,0.1735
KENYA,PWRNGS004,CO2,2047,0.1575
KENYA,PWRNGS004,CO2,2048,0.1508
KENYA,PWRNGS004,CO2,2049,0.1037
KENYA,PWRNGS004,CO2,2050,0.0899
KENYA,PWRNGS005,CO2,2038,0.0062
KENYA,PWRNGS005,CO2,2040,0.0045
KENYA,PWRNGS005,CO2,2049,0.0276
KENYA,PWRNGS005,CO2,2050,0.0083
KENYA,PWRNGS006,CO2,2039,0.0016
KENYA,PWRNGS006,CO2,2042,0.0054
KENYA,PWRNGS006,CO2,2045,0.0049
KENYA,PWRNGS006,CO2,2047,0.0098
KENYA,PWRNGS006,CO2,2049,0.0076
KENYA,PWRNGS006,CO2,2050,0.0076
KENYA,PWRNGS009,CO2,2036,0.0044
KENYA,PWRNGS009,CO2,2042,0.0053
KENYA,PWRNGS009,CO2,2043,0.002
KENYA,PWRNGS009,CO2,2045,0.017
KENYA,PWRNGS009,CO2,2046,0.0124
KENYA,PWRNGS009,CO2,2047,0.0124
KENYA,PWRNGS009,CO2,2049,0.014
KENYA,PWRNGS009,CO2,2050,0.0003
KENYA,PWRNGS010,CO2,2035,0.0057
KENYA,PWRNGS010,CO2,2037,0.0058
KENYA,PWRNGS010,CO2,2044,0.0049
KENYA,PWRNGS010,CO2,2046,0.0017
KENYA,PWRNGS010,CO2,2049,0.0079
KENYA,PWRNGS010,CO2,2050,0.0122
KENYA,PWRNGS011,CO2,2034,0.0073
KENYA,PWRNGS011,CO2,2041,0.0084
KENYA,PWRNGS011,CO2,2042,0.0068
KENYA,PWRNGS011,CO2,2043,0.0084
KENYA,PWRNGS011,CO2,2046,0.0009
KENYA,PWRNGS011,CO2,2047,0.0013
KENYA,PWRNGS011,CO2,2049,0.0111
KENYA,PWRNGS011,CO2,2050,0.0035
