r,s,y,DiscountedCapitalInvestmentStorage
KENYA,PHS001,2034,2.5709
KENYA,PHS001,2035,8.8686
KENYA,PHS001,2036,4.4541
KENYA,PHS001,2037,0.5816
KENYA,PHS001,2038,0.7693
KENYA,PHS001,2040,0.2914
KENYA,PHS002,2038,1.6214
