r,s,y,SalvageValueStorage
KENYA,PHS001,2034,8.2077
KENYA,PHS001,2035,31.2462
KENYA,PHS001,2036,17.2969
KENYA,PHS001,2037,2.4868
KENYA,PHS001,2038,3.6176
KENYA,PHS001,2040,1.6531
KENYA,PHS002,2038,7.6249
