r,t,y,TotalCapacityAnnual
KENYA,IMPHFOMOM,2038,9999.0
KENYA,IMPHFOMOM,2039,9999.0
KENYA,IMPHFOMOM,2040,9999.0
KENYA,IMPHFOMOM,2041,9999.0
KENYA,IMPHFOMOM,2042,9999.0
KENYA,IMPHFOMOM,2043,9999.0
KENYA,IMPHFOMOM,2044,9999.0
KENYA,IMPHFOMOM,2045,9999.0
KENYA,IMPHFOMOM,2046,9999.0
KENYA,IMPHFOMOM,2047,9999.0
KENYA,IMPHFOMOM,2048,9999.0
KENYA,IMPHFOMOM,2049,9999.0
KENYA,IMPHFOMOM,2050,9999.0
KENYA,IMPHFONAI,2019,9999.0
KENYA,IMPHFONAI,2020,9999.0
KENYA,IMPHFONAI,2021,9999.0
KENYA,IMPHFONAI,2022,9999.0
KENYA,IMPHFONAI,2023,9999.0
KENYA,IMPHFONAI,2024,9999.0
KENYA,IMPHFONAI,2025,9999.0
KENYA,IMPHFONAI,2026,9999.0
KENYA,IMPHFONAI,2027,9999.0
KENYA,IMPHFONAI,2028,9999.0
KENYA,IMPHFONAI,2029,9999.0
KENYA,IMPHFONAI,2030,9999.0
KENYA,IMPHFONAI,2031,9999.0
KENYA,IMPHFONAI,2032,9999.0
KENYA,IMPHFONAI,2033,9999.0
KENYA,IMPHFONAI,2034,9999.0
KENYA,IMPHFONAI,2035,9999.0
KENYA,IMPHFONAI,2036,9999.0
KENYA,IMPHFONAI,2037,9999.0
KENYA,IMPHFONAI,2038,9999.0
KENYA,IMPHFONAI,2039,9999.0
KENYA,IMPHFONAI,2040,9999.0
KENYA,IMPHFONAI,2041,9999.0
KENYA,IMPHFONAI,2042,9999.0
KENYA,IMPHFONAI,2043,9999.0
KENYA,IMPHFONAI,2044,9999.0
KENYA,IMPHFONAI,2045,9999.0
KENYA,IMPHFONAI,2046,9999.0
KENYA,IMPHFONAI,2047,9999.0
KENYA,IMPHFONAI,2048,9999.0
KENYA,IMPHFONAI,2049,9999.0
KENYA,IMPHFONAI,2050,9999.0
KENYA,IMPLFOELD,2019,9999.0
KENYA,IMPLFOELD,2020,9999.0
KENYA,IMPLFOELD,2021,9999.0
