r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2034,0.5362
KENYA,PHS001,2035,2.0413
KENYA,PHS001,2036,1.13
KENYA,PHS001,2037,0.1625
KENYA,PHS001,2038,0.2363
KENYA,PHS001,2040,0.108
KENYA,PHS002,2038,0.4981
