r,t,y,DiscountedSalvageValue
KENYA,PWRNGS006,2034,0.2652
KENYA,PWRNGS006,2041,1.6503
KENYA,PWRNGS006,2043,0.6036
KENYA,PWRNGS010,2032,0.1267
KENYA,PWRNGS010,2033,1.2589
KENYA,PWRNGS011,2034,1.2315
KENYA,PWRNGS011,2041,0.4546
KENYA,PWRPHS001,2034,3.1704
KENYA,PWRPHS001,2035,10.789
KENYA,PWRPHS001,2036,3.577
KENYA,PWRPHS001,2037,0.7698
KENYA,PWRPHS001,2038,1.6228
KENYA,PWRPHS002,2038,2.3603
KENYA,PWRSOL003,2038,0.7567
KENYA,PWRSOL004,2038,0.9888
KENYA,PWRSOL005,2038,1.0296
KENYA,PWRSOL013,2038,0.2627
KENYA,PWRSOL014,2042,1.4621
KENYA,PWRTRN,2019,7.1794
KENYA,PWRTRN,2020,0.6672
KENYA,PWRTRN,2021,1.7537
KENYA,PWRTRN,2022,1.3597
KENYA,PWRTRN,2023,1.2128
KENYA,PWRTRN,2024,1.5021
KENYA,PWRTRN,2025,1.6873
KENYA,PWRTRN,2026,1.5029
KENYA,PWRTRN,2027,2.8671
KENYA,PWRTRN,2028,3.1673
KENYA,PWRTRN,2029,3.609
KENYA,PWRTRN,2030,3.5586
KENYA,PWRTRN,2031,3.4239
KENYA,PWRTRN,2032,3.986
KENYA,PWRTRN,2033,3.8976
KENYA,PWRTRN,2034,4.2853
KENYA,PWRTRN,2035,4.4674
KENYA,PWRTRN,2036,4.606
KENYA,PWRTRN,2037,5.5543
KENYA,PWRTRN,2038,5.8088
KENYA,PWRTRN,2039,6.1642
KENYA,PWRTRN,2040,6.5572
KENYA,PWRTRN,2041,6.9299
KENYA,PWRTRN,2042,7.1924
KENYA,PWRTRN,2043,7.6903
KENYA,PWRTRN,2044,8.1196
KENYA,PWRTRN,2045,8.6028
KENYA,PWRTRN,2046,9.0964
KENYA,PWRTRN,2047,9.5986
KENYA,PWRTRN,2048,10.1657
KENYA,PWRTRN,2049,10.7441
KENYA,PWRTRN,2050,11.3309
KENYA,PWRWND012,2042,3.9799
KENYA,PWRWND018,2048,10.0102
KENYA,PWRWND026,2032,0.4365
KENYA,PWRWND101,2032,0.3828
KENYA,PWRWND101,2033,0.8852
KENYA,PWRWND101,2034,1.5385
KENYA,PWRWND101,2035,2.3779
KENYA,PWRWND101,2036,3.4508
KENYA,PWRWND101,2037,4.8122
KENYA,PWRWND101,2038,6.5268
KENYA,PWRWND101,2039,8.6861
KENYA,PWRWND101,2040,11.376
KENYA,PWRWND101,2041,14.7399
KENYA,PWRWND101,2042,18.9149
KENYA,PWRWND101,2043,24.081
KENYA,PWRWND101,2044,30.4775
KENYA,PWRWND101,2045,38.3593
KENYA,PWRWND101,2046,48.0851
KENYA,PWRWND101,2047,59.8457
KENYA,PWRWND101,2048,74.2178
KENYA,PWRWND101,2049,84.207
KENYA,PWRWND101,2050,106.6826
