r,s,y,CapitalInvestmentStorage
KENYA,PHS001,2037,16.5112
KENYA,PHS001,2038,4.0245
KENYA,PHS001,2041,33.4016
KENYA,PHS001,2042,1.182
KENYA,PHS001,2043,82.8853
KENYA,PHS001,2044,7.0039
KENYA,PHS001,2045,482.4357
KENYA,PHS001,2046,100.8628
KENYA,PHS002,2038,68.3275
KENYA,PHS002,2041,3.8753
KENYA,PHS002,2043,6.8328
KENYA,PHS002,2044,159.59
KENYA,PHS002,2045,343.6189
KENYA,PHS002,2046,110.314
KENYA,PHS002,2047,35.5106
