r,s,y,SalvageValueStorage
KENYA,PHS001,2037,15.2146
KENYA,PHS001,2038,3.7455
KENYA,PHS001,2041,31.8663
KENYA,PHS001,2042,1.1354
KENYA,PHS001,2043,80.1166
KENYA,PHS001,2044,6.8086
KENYA,PHS001,2045,471.43
KENYA,PHS001,2046,99.0314
KENYA,PHS002,2038,63.5911
KENYA,PHS002,2041,3.6972
KENYA,PHS002,2043,6.6046
KENYA,PHS002,2044,155.1402
KENYA,PHS002,2045,335.78
KENYA,PHS002,2046,108.311
KENYA,PHS002,2047,35.0177
