r,t,y,TotalCapacityAnnual
KENYA,IMPBIO,2032,9999.0
KENYA,IMPBIO,2033,9999.0
KENYA,IMPBIO,2034,9999.0
KENYA,IMPBIO,2035,9999.0
KENYA,IMPBIO,2036,9999.0
KENYA,IMPBIO,2037,9999.0
KENYA,IMPBIO,2038,9999.0
KENYA,IMPBIO,2039,9999.0
KENYA,IMPBIO,2040,9999.0
KENYA,IMPBIO,2041,9999.0
KENYA,IMPBIO,2042,9999.0
KENYA,IMPBIO,2043,9999.0
KENYA,IMPBIO,2044,9999.0
KENYA,IMPBIO,2045,9999.0
KENYA,IMPBIO,2046,9999.0
KENYA,IMPBIO,2047,9999.0
KENYA,IMPBIO,2048,9999.0
KENYA,IMPBIO,2049,9999.0
KENYA,IMPBIO,2050,9999.0
KENYA,IMPCOA,2019,9999.0
KENYA,IMPCOA,2020,9999.0
KENYA,IMPCOA,2021,9999.0
KENYA,IMPCOA,2022,9999.0
KENYA,IMPCOA,2023,9999.0
KENYA,IMPCOA,2024,9999.0
KENYA,IMPCOA,2025,9999.0
KENYA,IMPCOA,2026,9999.0
KENYA,IMPCOA,2027,9999.0
KENYA,IMPCOA,2028,9999.0
KENYA,IMPCOA,2029,9999.0
KENYA,IMPCOA,2030,9999.0
KENYA,IMPCOA,2031,9999.0
KENYA,IMPCOA,2032,9999.0
KENYA,IMPCOA,2033,9999.0
KENYA,IMPCOA,2034,9999.0
KENYA,IMPCOA,2035,9999.0
KENYA,IMPCOA,2036,9999.0
KENYA,IMPCOA,2037,9999.0
KENYA,IMPCOA,2038,9999.0
KENYA,IMPCOA,2039,9999.0
KENYA,IMPCOA,2040,9999.0
KENYA,IMPCOA,2041,9999.0
KENYA,IMPCOA,2042,9999.0
KENYA,IMPCOA,2043,9999.0
KENYA,IMPCOA,2044,9999.0
KENYA,IMPCOA,2045,9999.0
KENYA,IMPCOA,2046,9999.0
KENYA,IMPCOA,2047,9999.0
KENYA,IMPCOA,2048,9999.0
KENYA,IMPCOA,2049,9999.0
KENYA,IMPCOA,2050,9999.0
KENYA,IMPELC001,2022,0.2
KENYA,IMPELC001,2023,0.2
KENYA,IMPELC001,2024,0.2
KENYA,IMPELC001,2025,0.2
KENYA,IMPELC001,2026,0.4
KENYA,IMPELC001,2027,0.4
KENYA,IMPELC001,2028,0.4
KENYA,IMPELC001,2029,0.4
KENYA,IMPELC001,2030,0.4
KENYA,IMPELC001,2031,0.4
KENYA,IMPELC001,2032,0.4
KENYA,IMPELC001,2033,0.4
KENYA,IMPELC001,2034,0.4
KENYA,IMPELC001,2035,0.4
KENYA,IMPELC001,2036,0.4
KENYA,IMPELC001,2037,0.4
KENYA,IMPELC001,2038,0.4
KENYA,IMPELC001,2039,0.4
KENYA,IMPELC001,2040,0.4
KENYA,IMPELC001,2041,0.4
KENYA,IMPELC001,2042,0.4
KENYA,IMPELC001,2043,0.4
KENYA,IMPELC001,2044,0.4
KENYA,IMPELC001,2045,0.4
KENYA,IMPELC001,2046,0.4
KENYA,IMPELC001,2047,0.4
KENYA,IMPELC001,2048,0.4
KENYA,IMPELC001,2049,0.4
KENYA,IMPELC001,2050,0.4
KENYA,IMPELC002,2019,0.05
KENYA,IMPELC002,2020,0.05
KENYA,IMPELC002,2021,0.05
KENYA,IMPELC002,2022,0.05
KENYA,IMPELC002,2023,0.05
KENYA,IMPELC002,2024,0.05
KENYA,IMPELC002,2025,0.05
KENYA,IMPHFOMOM,2019,9999.0
KENYA,IMPHFOMOM,2020,9999.0
KENYA,IMPHFOMOM,2021,9999.0
KENYA,IMPHFOMOM,2022,9999.0
KENYA,IMPHFOMOM,2023,9999.0
KENYA,IMPHFOMOM,2024,9999.0
KENYA,IMPHFOMOM,2025,9999.0
KENYA,IMPHFOMOM,2026,9999.0
KENYA,IMPHFOMOM,2027,9999.0
KENYA,IMPHFOMOM,2028,9999.0
KENYA,IMPHFOMOM,2029,9999.0
KENYA,IMPHFOMOM,2030,9999.0
KENYA,IMPHFOMOM,2031,9999.0
KENYA,IMPHFOMOM,2032,9999.0
KENYA,IMPHFOMOM,2033,9999.0
KENYA,IMPHFOMOM,2034,9999.0
KENYA,IMPHFOMOM,2035,9999.0
KENYA,IMPHFOMOM,2036,9999.0
KENYA,IMPHFOMOM,2037,9999.0
KENYA,IMPHFOMOM,2038,9999.0
KENYA,IMPHFOMOM,2039,9999.0
KENYA,IMPHFOMOM,2040,9999.0
KENYA,IMPHFOMOM,2041,9999.0
KENYA,IMPHFOMOM,2042,9999.0
KENYA,IMPHFOMOM,2043,9999.0
KENYA,IMPHFOMOM,2044,9999.0
KENYA,IMPHFOMOM,2045,9999.0
KENYA,IMPHFOMOM,2046,9999.0
KENYA,IMPHFOMOM,2047,9999.0
KENYA,IMPHFOMOM,2048,9999.0
KENYA,IMPHFOMOM,2049,9999.0
KENYA,IMPHFOMOM,2050,9999.0
KENYA,IMPHFONAI,2019,9999.0
KENYA,IMPHFONAI,2020,9999.0
KENYA,IMPHFONAI,2021,9999.0
KENYA,IMPHFONAI,2022,9999.0
KENYA,IMPHFONAI,2023,9999.0
KENYA,IMPHFONAI,2024,9999.0
KENYA,IMPHFONAI,2025,9999.0
KENYA,IMPHFONAI,2026,9999.0
KENYA,IMPHFONAI,2027,9999.0
KENYA,IMPHFONAI,2028,9999.0
KENYA,IMPHFONAI,2029,9999.0
KENYA,IMPHFONAI,2030,9999.0
KENYA,IMPHFONAI,2031,9999.0
KENYA,IMPHFONAI,2032,9999.0
KENYA,IMPHFONAI,2033,9999.0
KENYA,IMPHFONAI,2034,9999.0
KENYA,IMPHFONAI,2035,9999.0
KENYA,IMPHFONAI,2036,9999.0
KENYA,IMPHFONAI,2037,9999.0
KENYA,IMPHFONAI,2038,9999.0
KENYA,IMPHFONAI,2039,9999.0
KENYA,IMPHFONAI,2040,9999.0
KENYA,IMPHFONAI,2041,9999.0
KENYA,IMPHFONAI,2042,9999.0
KENYA,IMPHFONAI,2043,9999.0
KENYA,IMPHFONAI,2044,9999.0
KENYA,IMPHFONAI,2045,9999.0
KENYA,IMPHFONAI,2046,9999.0
KENYA,IMPHFONAI,2047,9999.0
KENYA,IMPHFONAI,2048,9999.0
KENYA,IMPHFONAI,2049,9999.0
KENYA,IMPHFONAI,2050,9999.0
KENYA,IMPLFOELD,2019,9999.0
KENYA,IMPLFOELD,2020,9999.0
KENYA,IMPLFOELD,2021,9999.0
KENYA,IMPLFOELD,2022,9999.0
KENYA,IMPLFOELD,2023,9999.0
KENYA,IMPLFOELD,2024,9999.0
KENYA,IMPLFOELD,2025,9999.0
KENYA,IMPLFOELD,2026,9999.0
