r,s,ls,ld,lh,y,NetChargeWithinYear
KENYA,BESS001,1,2,2,2031,-0.0168
KENYA,BESS001,1,2,2,2034,-0.0016
KENYA,BESS001,1,2,2,2035,-0.033
KENYA,BESS001,1,2,2,2037,-0.0216
KENYA,BESS001,1,2,2,2043,0.0088
KENYA,BESS001,1,2,2,2044,0.1665
KENYA,BESS001,1,2,2,2045,0.2482
KENYA,BESS001,1,2,2,2046,0.3061
KENYA,BESS001,1,2,2,2047,0.4828
KENYA,BESS001,1,2,2,2048,0.6237
KENYA,BESS001,1,2,2,2049,0.6237
KENYA,BESS001,1,2,2,2050,0.6362
KENYA,BESS001,1,2,3,2028,0.0007
KENYA,BESS001,1,2,3,2029,0.0318
KENYA,BESS001,1,2,3,2030,-0.0083
KENYA,BESS001,1,2,3,2031,-0.0174
KENYA,BESS001,1,2,3,2035,-0.0153
KENYA,BESS001,1,2,3,2037,0.025
KENYA,BESS001,1,2,3,2038,0.0221
KENYA,BESS001,1,2,3,2043,0.2317
KENYA,BESS001,1,2,3,2044,0.333
KENYA,BESS001,1,2,3,2045,0.4963
KENYA,BESS001,1,2,3,2046,0.6122
KENYA,BESS001,1,2,3,2047,0.9655
KENYA,BESS001,1,2,3,2048,1.2474
KENYA,BESS001,1,2,3,2049,1.2474
KENYA,BESS001,1,2,3,2050,1.2725
KENYA,BESS001,1,2,4,2028,-0.0329
KENYA,BESS001,1,2,4,2029,-0.0464
KENYA,BESS001,1,2,4,2030,-0.0189
KENYA,BESS001,1,2,4,2031,-0.0306
KENYA,BESS001,1,2,4,2032,-0.0378
KENYA,BESS001,1,2,4,2033,-0.0114
KENYA,BESS001,1,2,4,2034,-0.0035
KENYA,BESS001,1,2,4,2035,-0.0122
KENYA,BESS001,1,2,4,2036,-0.002
KENYA,BESS001,1,2,4,2038,-0.0529
KENYA,BESS001,1,2,4,2039,-0.008
KENYA,BESS001,1,2,4,2041,0.0464
KENYA,BESS001,1,2,4,2042,0.0488
KENYA,BESS001,1,2,4,2043,0.0051
KENYA,BESS001,1,2,4,2044,-0.042
KENYA,BESS001,1,2,4,2045,-0.1266
KENYA,BESS001,1,2,4,2046,-0.1497
KENYA,BESS001,1,2,4,2047,-0.151
KENYA,BESS001,1,2,4,2048,-0.1243
KENYA,BESS001,1,2,4,2049,-0.0977
KENYA,BESS001,1,2,4,2050,-0.0523
KENYA,BESS001,1,2,5,2028,-0.0166
KENYA,BESS001,1,2,5,2029,-0.021
KENYA,BESS001,1,2,5,2030,-0.0112
KENYA,BESS001,1,2,5,2031,-0.0135
KENYA,BESS001,1,2,5,2032,-0.0148
KENYA,BESS001,1,2,5,2033,-0.0433
KENYA,BESS001,1,2,5,2034,-0.0433
KENYA,BESS001,1,2,5,2035,-0.0433
KENYA,BESS001,1,2,5,2036,-0.0433
KENYA,BESS001,1,2,5,2037,-0.0433
KENYA,BESS001,1,2,5,2038,-0.0132
KENYA,BESS001,1,2,5,2039,-0.0187
KENYA,BESS001,1,2,5,2041,-0.0234
KENYA,BESS001,1,2,5,2042,-0.0246
KENYA,BESS001,1,2,5,2043,-0.0429
KENYA,BESS001,1,2,5,2044,-0.0749
KENYA,BESS001,1,2,5,2045,-0.0562
KENYA,BESS001,1,2,5,2046,-0.0471
KENYA,BESS001,1,2,5,2047,-0.1867
KENYA,BESS001,1,2,5,2048,-0.2017
KENYA,BESS001,1,2,5,2049,-0.084
KENYA,BESS001,1,2,5,2050,-0.0706
KENYA,BESS001,1,2,6,2029,0.0367
KENYA,BESS001,1,2,6,2030,0.016
KENYA,BESS001,1,2,6,2032,0.0263
KENYA,BESS001,1,2,6,2033,0.0005
KENYA,BESS001,1,2,6,2034,0.0488
KENYA,BESS001,1,2,6,2035,0.0206
KENYA,BESS001,1,2,6,2036,0.0354
KENYA,BESS001,1,2,6,2037,0.0403
KENYA,BESS001,1,2,6,2039,0.027
KENYA,BESS001,1,2,6,2043,-0.031
KENYA,BESS001,1,2,6,2044,-0.0979
KENYA,BESS001,1,2,6,2045,-0.1522
KENYA,BESS001,1,2,6,2046,-0.1671
KENYA,BESS001,1,2,6,2047,-0.3236
KENYA,BESS001,1,2,6,2048,-0.4679
KENYA,BESS001,1,2,6,2049,-0.5441
KENYA,BESS001,1,2,6,2050,-0.5739
KENYA,BESS001,2,1,1,2028,0.0428
KENYA,BESS001,2,1,1,2029,0.0725
KENYA,BESS001,2,1,1,2030,0.0172
KENYA,BESS001,2,1,1,2032,0.03
KENYA,BESS001,2,1,1,2033,0.0174
KENYA,BESS001,2,1,1,2034,0.2186
KENYA,BESS001,2,1,1,2035,0.0863
KENYA,BESS001,2,1,1,2037,0.2186
KENYA,BESS001,2,1,1,2039,0.0421
KENYA,BESS001,2,1,1,2042,0.0446
KENYA,BESS001,2,1,1,2043,0.0494
KENYA,BESS001,2,1,1,2046,-0.8618
KENYA,BESS001,2,1,1,2047,-1.3978
KENYA,BESS001,2,1,1,2048,-1.7918
KENYA,BESS001,2,1,1,2049,-1.6118
KENYA,BESS001,2,1,1,2050,-1.8478
KENYA,BESS001,2,1,2,2035,0.0131
KENYA,BESS001,2,1,2,2036,0.0757
KENYA,BESS001,2,1,2,2041,0.0085
