r,l,t,m,y,RateOfActivity
KENYA,TS29,BESS_TECH,1,2031,7.3364
KENYA,TS30,BESS_TECH,1,2031,7.3364
KENYA,TS31,BESS_TECH,1,2031,7.3364
KENYA,TS36,BESS_TECH,1,2031,7.3364
KENYA,TS41,BESS_TECH,1,2031,3.8196
KENYA,TS47,BESS_TECH,1,2031,4.3538
KENYA,TS02,BESS_TECH,2,2031,2.783
KENYA,TS08,BESS_TECH,2,2031,1.914
KENYA,TS09,BESS_TECH,2,2031,0.9878
KENYA,TS10,BESS_TECH,2,2031,2.6142
KENYA,TS11,BESS_TECH,2,2031,2.2918
KENYA,TS16,BESS_TECH,2,2031,3.6258
KENYA,TS20,BESS_TECH,2,2031,7.3364
KENYA,TS24,BESS_TECH,2,2031,7.3364
KENYA,TS27,BESS_TECH,2,2031,4.7814
KENYA,TS28,BESS_TECH,2,2031,2.7898
KENYA,TS32,BESS_TECH,2,2031,2.8633
KENYA,TS33,BESS_TECH,2,2031,5.4184
KENYA,TS34,BESS_TECH,2,2031,6.116
KENYA,TS35,BESS_TECH,2,2031,0.051
KENYA,TS38,BESS_TECH,2,2031,0.287
KENYA,TS40,BESS_TECH,2,2031,1.6976
KENYA,TS46,BESS_TECH,2,2031,2.1769
KENYA,TS04,BESS_TECH,1,2032,0.9658
KENYA,TS05,BESS_TECH,1,2032,2.899
KENYA,TS07,BESS_TECH,1,2032,1.5383
KENYA,TS12,BESS_TECH,1,2032,2.9909
KENYA,TS13,BESS_TECH,1,2032,1.0063
KENYA,TS17,BESS_TECH,1,2032,4.516
KENYA,TS19,BESS_TECH,1,2032,3.3755
KENYA,TS22,BESS_TECH,1,2032,2.1871
KENYA,TS23,BESS_TECH,1,2032,7.3364
KENYA,TS26,BESS_TECH,1,2032,7.3364
KENYA,TS29,BESS_TECH,1,2032,7.3364
KENYA,TS30,BESS_TECH,1,2032,7.3364
KENYA,TS31,BESS_TECH,1,2032,0.8943
KENYA,TS32,BESS_TECH,1,2032,7.3364
KENYA,TS36,BESS_TECH,1,2032,7.3364
KENYA,TS39,BESS_TECH,1,2032,0.1158
KENYA,TS41,BESS_TECH,1,2032,4.1944
KENYA,TS43,BESS_TECH,1,2032,1.7565
KENYA,TS47,BESS_TECH,1,2032,0.3991
KENYA,TS02,BESS_TECH,2,2032,3.2677
KENYA,TS10,BESS_TECH,2,2032,3.2292
KENYA,TS11,BESS_TECH,2,2032,2.5108
KENYA,TS16,BESS_TECH,2,2032,3.7456
KENYA,TS20,BESS_TECH,2,2032,7.3364
KENYA,TS24,BESS_TECH,2,2032,7.3364
KENYA,TS25,BESS_TECH,2,2032,0.5482
KENYA,TS27,BESS_TECH,2,2032,7.3364
KENYA,TS28,BESS_TECH,2,2032,2.8579
KENYA,TS33,BESS_TECH,2,2032,3.4041
KENYA,TS34,BESS_TECH,2,2032,7.1035
KENYA,TS35,BESS_TECH,2,2032,0.063
KENYA,TS40,BESS_TECH,2,2032,2.2684
KENYA,TS46,BESS_TECH,2,2032,2.796
KENYA,TS04,BESS_TECH,1,2033,1.7079
KENYA,TS05,BESS_TECH,1,2033,3.5015
KENYA,TS07,BESS_TECH,1,2033,3.1143
KENYA,TS12,BESS_TECH,1,2033,0.0581
KENYA,TS13,BESS_TECH,1,2033,0.5846
KENYA,TS15,BESS_TECH,1,2033,2.0694
KENYA,TS19,BESS_TECH,1,2033,7.3364
KENYA,TS21,BESS_TECH,1,2033,0.4686
KENYA,TS23,BESS_TECH,1,2033,5.1376
KENYA,TS26,BESS_TECH,1,2033,7.3364
KENYA,TS29,BESS_TECH,1,2033,7.3364
KENYA,TS30,BESS_TECH,1,2033,7.3364
KENYA,TS32,BESS_TECH,1,2033,6.0491
