r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2037,0.994
KENYA,PHS001,2038,0.2447
KENYA,PHS001,2041,2.0818
KENYA,PHS001,2042,0.0742
KENYA,PHS001,2043,5.234
KENYA,PHS001,2044,0.4448
KENYA,PHS001,2045,30.7982
KENYA,PHS001,2046,6.4697
KENYA,PHS002,2038,4.1544
KENYA,PHS002,2041,0.2415
KENYA,PHS002,2043,0.4315
KENYA,PHS002,2044,10.1352
KENYA,PHS002,2045,21.9363
KENYA,PHS002,2046,7.0759
KENYA,PHS002,2047,2.2877
