r,l,f,y,Demand
KENYA,TS02,COMELC,2050,1.409
KENYA,TS02,INDELC,2019,0.4895
KENYA,TS02,INDELC,2020,0.498
KENYA,TS02,INDELC,2021,0.5207
KENYA,TS02,INDELC,2022,0.5381
KENYA,TS02,INDELC,2023,0.5545
KENYA,TS02,INDELC,2024,0.5735
KENYA,TS02,INDELC,2025,0.5942
KENYA,TS02,INDELC,2026,0.6483
KENYA,TS02,INDELC,2027,0.7073
KENYA,TS02,INDELC,2028,0.7716
KENYA,TS02,INDELC,2029,0.8418
KENYA,TS02,INDELC,2030,0.9184
KENYA,TS02,INDELC,2031,1.002
KENYA,TS02,INDELC,2032,1.0932
KENYA,TS02,INDELC,2033,1.1927
KENYA,TS02,INDELC,2034,1.3012
KENYA,TS02,INDELC,2035,1.4196
KENYA,TS02,INDELC,2036,1.5488
KENYA,TS02,INDELC,2037,1.6897
KENYA,TS02,INDELC,2038,1.8434
KENYA,TS02,INDELC,2039,2.0112
KENYA,TS02,INDELC,2040,2.1942
KENYA,TS02,INDELC,2041,2.3938
KENYA,TS02,INDELC,2042,2.5928
KENYA,TS02,INDELC,2043,2.8042
KENYA,TS02,INDELC,2044,3.0329
KENYA,TS02,INDELC,2045,3.2802
KENYA,TS02,INDELC,2046,3.5476
KENYA,TS02,INDELC,2047,3.8369
KENYA,TS02,INDELC,2048,4.1498
KENYA,TS02,INDELC,2049,4.4881
KENYA,TS02,INDELC,2050,4.8541
KENYA,TS02,RESELC,2019,0.313
KENYA,TS02,RESELC,2020,0.3185
KENYA,TS02,RESELC,2021,0.333
KENYA,TS02,RESELC,2022,0.3441
KENYA,TS02,RESELC,2023,0.3546
KENYA,TS02,RESELC,2024,0.3668
KENYA,TS02,RESELC,2025,0.38
KENYA,TS02,RESELC,2026,0.4146
KENYA,TS02,RESELC,2027,0.4523
KENYA,TS02,RESELC,2028,0.4935
KENYA,TS02,RESELC,2029,0.5384
KENYA,TS02,RESELC,2030,0.5874
KENYA,TS02,RESELC,2031,0.6408
KENYA,TS02,RESELC,2032,0.6991
KENYA,TS02,RESELC,2033,0.7628
KENYA,TS02,RESELC,2034,0.8322
KENYA,TS02,RESELC,2035,0.9079
KENYA,TS02,RESELC,2036,0.9905
KENYA,TS02,RESELC,2037,1.0806
KENYA,TS02,RESELC,2038,1.179
KENYA,TS02,RESELC,2039,1.2863
KENYA,TS02,RESELC,2040,1.4033
KENYA,TS02,RESELC,2041,1.531
KENYA,TS02,RESELC,2042,1.6582
KENYA,TS02,RESELC,2043,1.7934
KENYA,TS02,RESELC,2044,1.9397
KENYA,TS02,RESELC,2045,2.0978
KENYA,TS02,RESELC,2046,2.2689
KENYA,TS02,RESELC,2047,2.4539
KENYA,TS02,RESELC,2048,2.654
KENYA,TS02,RESELC,2049,2.8704
KENYA,TS02,RESELC,2050,3.1045
