r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,DEMRESELC,1,2048,116.9162
KENYA,DEMRESELC,1,2049,126.4497
KENYA,DEMRESELC,1,2050,136.7606
KENYA,IMPELC001,1,2022,3.1194
KENYA,IMPELC001,1,2023,2.9176
KENYA,IMPELC001,1,2024,4.2817
KENYA,IMPELC001,1,2025,2.852
KENYA,IMPELC001,1,2026,2.9108
KENYA,IMPELC001,1,2027,6.1956
KENYA,IMPELC001,1,2028,6.9537
KENYA,IMPELC001,1,2029,6.359
KENYA,IMPELC001,1,2030,8.6896
KENYA,IMPELC001,1,2031,8.8802
KENYA,IMPELC001,1,2032,9.9697
KENYA,IMPELC001,1,2033,9.9697
KENYA,IMPELC001,1,2034,9.9697
KENYA,IMPELC001,1,2035,9.9697
KENYA,IMPELC001,1,2036,9.9697
KENYA,IMPELC001,1,2037,9.9697
KENYA,IMPELC001,1,2038,9.9697
KENYA,IMPELC001,1,2039,9.9697
KENYA,IMPELC001,1,2040,9.9697
KENYA,IMPELC001,1,2041,9.9697
KENYA,IMPELC001,1,2042,9.9697
KENYA,IMPELC001,1,2043,9.9697
KENYA,IMPELC001,1,2044,9.9697
KENYA,IMPELC001,1,2045,9.9697
KENYA,IMPELC001,1,2046,9.9697
KENYA,IMPELC001,1,2047,5.2696
KENYA,IMPELC001,1,2048,4.4487
KENYA,IMPELC001,1,2049,5.1485
KENYA,IMPELC001,1,2050,6.3578
KENYA,IMPHFOMOM,1,2019,12.0478
KENYA,IMPHFOMOM,1,2020,13.2743
KENYA,IMPHFOMOM,1,2021,13.1277
KENYA,IMPHFOMOM,1,2022,3.9717
KENYA,IMPHFOMOM,1,2023,4.0645
KENYA,IMPHFOMOM,1,2024,5.6232
KENYA,IMPHFOMOM,1,2025,4.2129
KENYA,IMPHFOMOM,1,2026,1.171
KENYA,IMPHFOMOM,1,2027,3.0542
KENYA,IMPHFOMOM,1,2028,3.7507
KENYA,IMPHFOMOM,1,2029,3.7897
KENYA,IMPHFOMOM,1,2030,2.2908
KENYA,IMPHFONAI,1,2019,1.0568
KENYA,IMPHFONAI,1,2020,1.3744
KENYA,IMPHFONAI,1,2021,1.5003
KENYA,IMPHFONAI,1,2022,0.0697
KENYA,IMPHFONAI,1,2023,0.0933
KENYA,IMPHFONAI,1,2024,0.3662
KENYA,IMPHFONAI,1,2025,0.373
KENYA,IMPHFONAI,1,2026,0.0816
KENYA,IMPHFONAI,1,2027,0.9995
KENYA,IMPHFONAI,1,2028,1.6305
KENYA,IMPHFONAI,1,2029,1.6994
KENYA,IMPHFONAI,1,2030,5.7795
KENYA,IMPHFONAI,1,2031,5.8536
KENYA,IMPHFONAI,1,2032,9.0798
KENYA,IMPHFONAI,1,2033,14.3729
KENYA,IMPHFONAI,1,2034,2.9151
KENYA,IMPHFONAI,1,2035,5.6671
KENYA,IMPNGS,1,2030,0.643
KENYA,IMPNGS,1,2031,3.4987
KENYA,IMPNGS,1,2032,7.3416
KENYA,IMPNGS,1,2033,12.7429
KENYA,IMPNGS,1,2034,29.9254
KENYA,IMPNGS,1,2035,43.8552
KENYA,IMPNGS,1,2036,35.7953
KENYA,IMPNGS,1,2037,46.38
KENYA,IMPNGS,1,2038,74.9299
KENYA,IMPNGS,1,2039,58.6372
KENYA,IMPNGS,1,2040,50.3354
KENYA,IMPNGS,1,2041,82.5287
KENYA,IMPNGS,1,2042,80.2283
KENYA,IMPNGS,1,2043,94.946
KENYA,IMPNGS,1,2044,101.1079
KENYA,IMPNGS,1,2045,110.5268
KENYA,IMPNGS,1,2046,107.2177
KENYA,IMPNGS,1,2047,113.3876
KENYA,IMPNGS,1,2048,120.7624
KENYA,IMPNGS,1,2049,135.0777
KENYA,IMPNGS,1,2050,152.9742
KENYA,IMPURN,1,2036,28.4269
KENYA,IMPURN,1,2037,28.4269
KENYA,IMPURN,1,2038,28.4269
KENYA,IMPURN,1,2039,56.8538
KENYA,IMPURN,1,2040,56.8538
KENYA,IMPURN,1,2041,56.8538
KENYA,IMPURN,1,2042,85.2808
KENYA,IMPURN,1,2043,85.2808
KENYA,IMPURN,1,2044,85.2808
KENYA,IMPURN,1,2045,85.2808
KENYA,IMPURN,1,2046,85.2808
KENYA,IMPURN,1,2047,73.418
KENYA,IMPURN,1,2048,52.1716
KENYA,IMPURN,1,2049,65.8372
KENYA,IMPURN,1,2050,81.3402
KENYA,MINBIO,1,2019,0.0902
KENYA,MINBIO,1,2020,0.0902
KENYA,MINBIO,1,2021,0.0902
KENYA,MINBIO,1,2022,0.0902
KENYA,MINBIO,1,2023,0.1533
KENYA,MINBIO,1,2024,0.1533
KENYA,MINBIO,1,2025,0.1533
