r,s,y,CapitalInvestmentStorage
KENYA,PHS001,2037,16.5112
KENYA,PHS001,2038,44.8734
KENYA,PHS001,2043,14.8363
KENYA,PHS001,2044,162.467
KENYA,PHS001,2045,343.6189
KENYA,PHS001,2046,110.314
KENYA,PHS001,2047,35.5106
KENYA,PHS002,2038,27.4785
KENYA,PHS002,2041,37.2769
KENYA,PHS002,2042,1.182
KENYA,PHS002,2043,74.8818
KENYA,PHS002,2044,4.1269
KENYA,PHS002,2045,482.4357
KENYA,PHS002,2046,100.8628
