r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2037,0.994
KENYA,PHS001,2038,2.7283
KENYA,PHS001,2043,0.9369
KENYA,PHS001,2044,10.3179
KENYA,PHS001,2045,21.9363
KENYA,PHS001,2046,7.0759
KENYA,PHS001,2047,2.2877
KENYA,PHS002,2038,1.6707
KENYA,PHS002,2041,2.3233
KENYA,PHS002,2042,0.0742
KENYA,PHS002,2043,4.7286
KENYA,PHS002,2044,0.2621
KENYA,PHS002,2045,30.7982
KENYA,PHS002,2046,6.4697
