r,s,ls,ld,y,StorageLevelDayTypeFinish
KENYA,BESS001,1,1,2028,0.0004
KENYA,BESS001,1,1,2029,0.0005
KENYA,BESS001,1,1,2030,0.0011
KENYA,BESS001,1,1,2031,0.0009
KENYA,BESS001,1,1,2032,0.0011
KENYA,BESS001,1,1,2033,0.0016
KENYA,BESS001,1,1,2034,0.0025
KENYA,BESS001,1,1,2035,0.0025
KENYA,BESS001,1,1,2036,0.0028
KENYA,BESS001,1,1,2037,0.0051
KENYA,BESS001,1,1,2038,0.0031
KENYA,BESS001,1,1,2041,0.0027
KENYA,BESS001,1,1,2042,0.0029
KENYA,BESS001,1,1,2043,0.0056
KENYA,BESS001,1,1,2044,0.004
KENYA,BESS001,1,1,2045,0.0077
KENYA,BESS001,1,1,2046,0.0276
KENYA,BESS001,1,1,2047,0.056
KENYA,BESS001,1,1,2048,0.073
KENYA,BESS001,1,1,2049,0.0742
KENYA,BESS001,1,1,2050,0.0749
KENYA,BESS001,1,2,2028,0.0
KENYA,BESS001,1,2,2029,0.0026
KENYA,BESS001,1,2,2032,0.0009
KENYA,BESS001,1,2,2033,0.0
KENYA,BESS001,1,2,2034,0.0019
KENYA,BESS001,1,2,2035,0.0008
KENYA,BESS001,1,2,2036,0.0016
KENYA,BESS001,1,2,2038,0.0026
KENYA,BESS001,1,2,2041,0.0018
KENYA,BESS001,1,2,2042,0.0019
KENYA,BESS001,1,2,2043,0.0095
KENYA,BESS001,1,2,2044,0.0193
KENYA,BESS001,1,2,2045,0.0288
KENYA,BESS001,1,2,2046,0.0355
KENYA,BESS001,1,2,2047,0.056
KENYA,BESS001,1,2,2048,0.073
KENYA,BESS001,1,2,2049,0.073
KENYA,BESS001,1,2,2050,0.0739
KENYA,BESS001,2,1,2028,0.0002
KENYA,BESS001,2,1,2029,0.0019
KENYA,BESS001,2,1,2030,0.0014
KENYA,BESS001,2,1,2031,0.0009
KENYA,BESS001,2,1,2032,0.0012
KENYA,BESS001,2,1,2033,0.0014
KENYA,BESS001,2,1,2034,0.0051
KENYA,BESS001,2,1,2035,0.0041
KENYA,BESS001,2,1,2036,0.0025
KENYA,BESS001,2,1,2037,0.0025
KENYA,BESS001,2,1,2038,0.0016
KENYA,BESS001,2,1,2041,0.001
KENYA,BESS001,2,1,2042,0.001
KENYA,BESS001,2,1,2043,0.0067
KENYA,BESS001,2,1,2044,0.0058
KENYA,BESS001,2,1,2045,0.0074
KENYA,BESS001,2,1,2046,0.0352
KENYA,BESS001,2,1,2047,0.056
KENYA,BESS001,2,1,2048,0.0706
KENYA,BESS001,2,1,2049,0.073
KENYA,BESS001,2,1,2050,0.0739
KENYA,BESS001,2,2,2028,0.0022
KENYA,BESS001,2,2,2029,0.0015
KENYA,BESS001,2,2,2030,0.0026
KENYA,BESS001,2,2,2031,0.0022
KENYA,BESS001,2,2,2032,0.0027
KENYA,BESS001,2,2,2033,0.0043
KENYA,BESS001,2,2,2034,0.004
KENYA,BESS001,2,2,2035,0.005
KENYA,BESS001,2,2,2036,0.005
KENYA,BESS001,2,2,2037,0.005
KENYA,BESS001,2,2,2038,0.0031
KENYA,BESS001,2,2,2039,0.0022
KENYA,BESS001,2,2,2041,0.0027
KENYA,BESS001,2,2,2042,0.0028
