r,t,f,y,UseByTechnologyAnnual
KENYA,DEMRESELC,ELC003,2039,56.6631
KENYA,DEMRESELC,ELC003,2040,61.8191
KENYA,DEMRESELC,ELC003,2041,67.4443
KENYA,DEMRESELC,ELC003,2042,73.0493
KENYA,DEMRESELC,ELC003,2043,79.0058
KENYA,DEMRESELC,ELC003,2044,85.4481
KENYA,DEMRESELC,ELC003,2045,92.4156
KENYA,DEMRESELC,ELC003,2046,99.9513
KENYA,DEMRESELC,ELC003,2047,108.1015
KENYA,DEMRESELC,ELC003,2048,116.9162
KENYA,DEMRESELC,ELC003,2049,126.4497
KENYA,DEMRESELC,ELC003,2050,136.7606
KENYA,PWRBIO001,BIO,2019,0.0901
KENYA,PWRBIO001,BIO,2020,0.0901
KENYA,PWRBIO001,BIO,2021,0.0901
KENYA,PWRBIO001,BIO,2022,0.0901
KENYA,PWRBIO001,BIO,2023,0.1533
KENYA,PWRBIO001,BIO,2024,0.1533
KENYA,PWRBIO001,BIO,2025,0.1533
KENYA,PWRBIO001,BIO,2026,0.6042
KENYA,PWRBIO001,BIO,2027,0.6042
KENYA,PWRBIO001,BIO,2028,0.9648
KENYA,PWRBIO001,BIO,2029,0.9648
KENYA,PWRBIO001,BIO,2030,3.1382
KENYA,PWRBIO001,BIO,2031,4.0398
KENYA,PWRBIO001,BIO,2032,4.5268
KENYA,PWRBIO001,BIO,2033,4.662
KENYA,PWRBIO001,BIO,2034,4.9325
KENYA,PWRBIO001,BIO,2035,4.946
KENYA,PWRBIO001,BIO,2036,5.3474
KENYA,PWRBIO001,BIO,2037,5.7486
KENYA,PWRBIO001,BIO,2038,6.1501
KENYA,PWRBIO001,BIO,2039,6.5512
KENYA,PWRBIO001,BIO,2040,6.9524
KENYA,PWRBIO001,BIO,2041,7.3539
KENYA,PWRBIO001,BIO,2042,7.7551
KENYA,PWRBIO001,BIO,2043,8.1562
KENYA,PWRBIO001,BIO,2044,8.5577
KENYA,PWRBIO001,BIO,2045,8.9589
KENYA,PWRBIO001,BIO,2046,9.3601
KENYA,PWRBIO001,BIO,2047,9.7615
KENYA,PWRBIO001,BIO,2048,7.2541
KENYA,PWRBIO001,BIO,2049,10.5639
KENYA,PWRBIO001,BIO,2050,10.9653
KENYA,PWRDIST,ELC002,2019,45.2992
KENYA,PWRDIST,ELC002,2020,46.0963
KENYA,PWRDIST,ELC002,2021,48.1497
KENYA,PWRDIST,ELC002,2022,49.7134
KENYA,PWRDIST,ELC002,2023,51.0729
KENYA,PWRDIST,ELC002,2024,52.7433
KENYA,PWRDIST,ELC002,2025,54.5992
KENYA,PWRDIST,ELC002,2026,59.1765
KENYA,PWRDIST,ELC002,2027,64.4035
KENYA,PWRDIST,ELC002,2028,70.2212
KENYA,PWRDIST,ELC002,2029,76.5111
KENYA,PWRDIST,ELC002,2030,82.9551
KENYA,PWRDIST,ELC002,2031,90.139
KENYA,PWRDIST,ELC002,2032,98.1572
KENYA,PWRDIST,ELC002,2033,106.7187
KENYA,PWRDIST,ELC002,2034,116.1806
KENYA,PWRDIST,ELC002,2035,126.4435
KENYA,PWRDIST,ELC002,2036,137.7094
KENYA,PWRDIST,ELC002,2037,150.3858
KENYA,PWRDIST,ELC002,2038,164.2009
KENYA,PWRDIST,ELC002,2039,179.2385
KENYA,PWRDIST,ELC002,2040,195.6442
KENYA,PWRDIST,ELC002,2041,213.5238
KENYA,PWRDIST,ELC002,2042,231.2682
KENYA,PWRDIST,ELC002,2043,250.123
KENYA,PWRDIST,ELC002,2044,270.4645
KENYA,PWRDIST,ELC002,2045,292.4678
KENYA,PWRDIST,ELC002,2046,316.2387
KENYA,PWRDIST,ELC002,2047,341.8836
KENYA,PWRDIST,ELC002,2048,369.6253
KENYA,PWRDIST,ELC002,2049,399.5958
KENYA,PWRDIST,ELC002,2050,431.9279
KENYA,PWRGEO001,GEO,2019,1.328
