r,e,y,AnnualEmissions
KENYA,CO2,2019,0.9654
KENYA,CO2,2020,1.0787
KENYA,CO2,2021,1.0771
KENYA,CO2,2022,0.3014
KENYA,CO2,2023,0.3136
KENYA,CO2,2024,0.4479
KENYA,CO2,2025,0.3451
KENYA,CO2,2026,0.1268
KENYA,CO2,2027,0.3321
KENYA,CO2,2028,0.4503
KENYA,CO2,2029,0.4582
KENYA,CO2,2030,0.8129
KENYA,CO2,2031,0.9535
KENYA,CO2,2032,1.5743
KENYA,CO2,2033,2.3289
KENYA,CO2,2034,2.7895
KENYA,CO2,2035,3.9076
KENYA,CO2,2036,2.8379
KENYA,CO2,2037,3.5983
KENYA,CO2,2038,5.2979
KENYA,CO2,2039,4.3757
KENYA,CO2,2040,3.6739
KENYA,CO2,2041,6.3918
KENYA,CO2,2042,6.0546
KENYA,CO2,2043,7.0286
KENYA,CO2,2044,7.2586
KENYA,CO2,2045,7.7948
KENYA,CO2,2046,7.0871
KENYA,CO2,2047,7.2809
KENYA,CO2,2048,7.4331
KENYA,CO2,2049,8.4434
KENYA,CO2,2050,9.4833
