r,s,y,SalvageValueStorage
KENYA,PHS001,2037,15.2146
KENYA,PHS001,2038,41.7629
KENYA,PHS001,2043,14.3407
KENYA,PHS001,2044,157.937
KENYA,PHS001,2045,335.78
KENYA,PHS001,2046,108.311
KENYA,PHS001,2047,35.0177
KENYA,PHS002,2038,25.5737
KENYA,PHS002,2041,35.5635
KENYA,PHS002,2042,1.1354
KENYA,PHS002,2043,72.3804
KENYA,PHS002,2044,4.0119
KENYA,PHS002,2045,471.43
KENYA,PHS002,2046,99.0314
