r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,1,1,2031,-1.1536
KENYA,BESS001,1,1,1,2033,-0.8266
KENYA,BESS001,1,1,1,2034,3.0687
KENYA,BESS001,1,1,1,2035,3.7761
KENYA,BESS001,1,1,1,2036,3.3614
KENYA,BESS001,1,1,1,2039,0.6694
KENYA,BESS001,1,1,1,2043,-8.2709
KENYA,BESS001,1,1,1,2044,-4.4046
KENYA,BESS001,1,1,1,2045,-7.1816
KENYA,BESS001,1,1,1,2046,-25.8825
KENYA,BESS001,1,1,1,2047,-54.8593
KENYA,BESS001,1,1,1,2048,-71.5202
KENYA,BESS001,1,1,1,2049,-71.5202
KENYA,BESS001,1,1,1,2050,-72.4099
KENYA,BESS001,1,1,2,2028,0.0417
KENYA,BESS001,1,1,2,2031,-0.4757
KENYA,BESS001,1,1,2,2038,-4.5206
KENYA,BESS001,1,1,2,2041,1.1104
KENYA,BESS001,1,1,2,2042,0.1228
KENYA,BESS001,1,1,2,2045,18.5506
KENYA,BESS001,1,1,2,2046,3.8473
KENYA,BESS001,1,1,2,2047,35.813
KENYA,BESS001,1,1,2,2048,44.4964
KENYA,BESS001,1,1,2,2049,47.4366
KENYA,BESS001,1,1,2,2050,72.4099
KENYA,BESS001,1,1,3,2029,0.4895
KENYA,BESS001,1,1,3,2032,-1.6338
KENYA,BESS001,1,1,3,2036,4.0829
KENYA,BESS001,1,1,3,2037,7.3364
KENYA,BESS001,1,1,3,2038,-2.2991
KENYA,BESS001,1,1,3,2041,1.4875
KENYA,BESS001,1,1,3,2042,4.1739
KENYA,BESS001,1,1,3,2046,34.7826
KENYA,BESS001,1,1,3,2047,54.8593
KENYA,BESS001,1,1,3,2048,71.5202
KENYA,BESS001,1,1,3,2049,71.5202
KENYA,BESS001,1,1,3,2050,72.4099
KENYA,BESS001,1,1,4,2028,-0.8965
KENYA,BESS001,1,1,4,2029,-1.1092
KENYA,BESS001,1,1,4,2030,0.9887
KENYA,BESS001,1,1,4,2031,0.7238
KENYA,BESS001,1,1,4,2032,0.9658
KENYA,BESS001,1,1,4,2033,1.7079
KENYA,BESS001,1,1,4,2034,-7.298
KENYA,BESS001,1,1,4,2035,-7.3364
