r,s,ls,ld,y,StorageLevelDayTypeStart
KENYA,BESS001,4,1,2035,3.1579
KENYA,BESS001,4,1,2036,3.182
KENYA,BESS001,4,1,2037,3.2676
KENYA,BESS001,4,1,2038,1.7877
KENYA,BESS001,4,1,2039,1.4992
KENYA,BESS001,4,1,2040,0.897
KENYA,BESS001,4,1,2041,1.7932
KENYA,BESS001,4,1,2042,1.9458
KENYA,BESS001,4,1,2043,5.1922
KENYA,BESS001,4,1,2044,6.527
KENYA,BESS001,4,1,2045,9.8278
KENYA,BESS001,4,1,2046,16.3454
KENYA,BESS001,4,1,2047,25.153
KENYA,BESS001,4,1,2048,36.9255
KENYA,BESS001,4,1,2049,35.9182
KENYA,BESS001,4,1,2050,36.12
KENYA,BESS001,4,2,2028,1.044
KENYA,BESS001,4,2,2029,1.4739
KENYA,BESS001,4,2,2030,1.8389
KENYA,BESS001,4,2,2031,1.9161
KENYA,BESS001,4,2,2032,2.1331
KENYA,BESS001,4,2,2033,2.196
KENYA,BESS001,4,2,2034,3.0711
KENYA,BESS001,4,2,2035,3.1579
KENYA,BESS001,4,2,2036,3.182
KENYA,BESS001,4,2,2037,3.2676
KENYA,BESS001,4,2,2038,1.7877
KENYA,BESS001,4,2,2039,1.4992
KENYA,BESS001,4,2,2040,0.897
KENYA,BESS001,4,2,2041,1.7932
KENYA,BESS001,4,2,2042,1.9458
KENYA,BESS001,4,2,2043,5.1922
KENYA,BESS001,4,2,2044,6.527
KENYA,BESS001,4,2,2045,9.8278
KENYA,BESS001,4,2,2046,16.3454
KENYA,BESS001,4,2,2047,25.153
KENYA,BESS001,4,2,2048,36.9255
KENYA,BESS001,4,2,2049,35.9182
KENYA,BESS001,4,2,2050,36.12
KENYA,PHS001,1,1,2037,0.0004
KENYA,PHS001,1,1,2038,0.0014
KENYA,PHS001,1,1,2039,0.0014
KENYA,PHS001,1,1,2040,0.0014
KENYA,PHS001,1,1,2041,0.0014
KENYA,PHS001,1,1,2042,0.0014
KENYA,PHS001,1,1,2043,0.0017
KENYA,PHS001,1,1,2044,0.0053
KENYA,PHS001,1,1,2045,0.0129
KENYA,PHS001,1,1,2046,0.0153
KENYA,PHS001,1,1,2047,0.0161
KENYA,PHS001,1,1,2048,0.0161
KENYA,PHS001,1,1,2049,0.0161
KENYA,PHS001,1,1,2050,0.0161
KENYA,PHS001,1,2,2037,0.0004
KENYA,PHS001,1,2,2038,0.0014
KENYA,PHS001,1,2,2039,0.0014
KENYA,PHS001,1,2,2040,0.0014
KENYA,PHS001,1,2,2041,0.0014
KENYA,PHS001,1,2,2042,0.0014
KENYA,PHS001,1,2,2043,0.0017
KENYA,PHS001,1,2,2044,0.0053
KENYA,PHS001,1,2,2045,0.0129
KENYA,PHS001,1,2,2046,0.0153
KENYA,PHS001,1,2,2047,0.0161
KENYA,PHS001,1,2,2048,0.0161
KENYA,PHS001,1,2,2049,0.0161
KENYA,PHS001,1,2,2050,0.0161
KENYA,PHS001,2,1,2037,0.0004
KENYA,PHS001,2,1,2038,0.0014
KENYA,PHS001,2,1,2039,0.0014
KENYA,PHS001,2,1,2040,0.0014
KENYA,PHS001,2,1,2041,0.0014
KENYA,PHS001,2,1,2042,0.0014
KENYA,PHS001,2,1,2043,0.0017
KENYA,PHS001,2,1,2044,0.0053
KENYA,PHS001,2,1,2045,0.0129
KENYA,PHS001,2,1,2046,0.0153
KENYA,PHS001,2,1,2047,0.0161
KENYA,PHS001,2,1,2048,0.0161
KENYA,PHS001,2,1,2049,0.0161
KENYA,PHS001,2,1,2050,0.0161
KENYA,PHS001,2,2,2037,0.0004
KENYA,PHS001,2,2,2038,0.0014
KENYA,PHS001,2,2,2039,0.0014
KENYA,PHS001,2,2,2040,0.0014
KENYA,PHS001,2,2,2041,0.0014
KENYA,PHS001,2,2,2042,0.0014
KENYA,PHS001,2,2,2043,0.0017
KENYA,PHS001,2,2,2044,0.0053
KENYA,PHS001,2,2,2045,0.0129
KENYA,PHS001,2,2,2046,0.0153
KENYA,PHS001,2,2,2047,0.0161
KENYA,PHS001,2,2,2048,0.0161
KENYA,PHS001,2,2,2049,0.0161
KENYA,PHS001,2,2,2050,0.0161
KENYA,PHS001,3,1,2037,0.0004
KENYA,PHS001,3,1,2038,0.0014
KENYA,PHS001,3,1,2039,0.0014
KENYA,PHS001,3,1,2040,0.0014
