r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,2,1,2034,2.5174
KENYA,BESS001,1,2,1,2036,0.0001
KENYA,BESS001,1,2,1,2037,0.0001
KENYA,BESS001,1,2,1,2038,0.0
KENYA,BESS001,1,2,1,2039,-0.0001
KENYA,BESS001,1,2,1,2040,-0.0001
KENYA,BESS001,1,2,1,2041,-0.0
KENYA,BESS001,1,2,1,2042,0.0002
KENYA,BESS001,1,2,1,2043,-0.0
KENYA,BESS001,1,2,1,2047,-1.3899
KENYA,BESS001,1,2,1,2049,1.6334
KENYA,BESS001,1,2,1,2050,2.7934
KENYA,BESS001,1,2,2,2025,-0.2653
KENYA,BESS001,1,2,2,2026,0.6032
KENYA,BESS001,1,2,2,2029,-1.1947
KENYA,BESS001,1,2,2,2031,-2.1065
KENYA,BESS001,1,2,2,2032,-2.1625
KENYA,BESS001,1,2,2,2033,-2.2619
KENYA,BESS001,1,2,2,2034,-1.4116
KENYA,BESS001,1,2,2,2035,-0.0001
KENYA,BESS001,1,2,2,2036,-0.0002
KENYA,BESS001,1,2,2,2037,-0.0002
KENYA,BESS001,1,2,2,2041,-0.0
KENYA,BESS001,1,2,2,2042,-0.0
KENYA,BESS001,1,2,2,2044,-1.3421
KENYA,BESS001,1,2,2,2045,-1.7615
KENYA,BESS001,1,2,2,2046,-3.2629
KENYA,BESS001,1,2,2,2047,-2.1562
KENYA,BESS001,1,2,2,2048,-2.6423
KENYA,BESS001,1,2,2,2049,-3.2766
KENYA,BESS001,1,2,2,2050,-3.6154
KENYA,BESS001,1,2,3,2025,-0.2601
KENYA,BESS001,1,2,3,2029,-1.2317
KENYA,BESS001,1,2,3,2031,-1.9758
KENYA,BESS001,1,2,3,2032,-1.6566
KENYA,BESS001,1,2,3,2033,-1.3834
KENYA,BESS001,1,2,3,2034,-0.4597
KENYA,BESS001,1,2,3,2035,-0.0
KENYA,BESS001,1,2,3,2036,0.0
KENYA,BESS001,1,2,3,2037,-0.0
KENYA,BESS001,1,2,3,2038,0.0
KENYA,BESS001,1,2,3,2039,0.0001
KENYA,BESS001,1,2,3,2041,-0.0
KENYA,BESS001,1,2,3,2042,-0.0002
KENYA,BESS001,1,2,3,2048,-0.1583
KENYA,BESS001,1,2,4,2024,0.2047
KENYA,BESS001,1,2,4,2025,0.3186
KENYA,BESS001,1,2,4,2026,-2.6901
KENYA,BESS001,1,2,4,2027,-0.2655
KENYA,BESS001,1,2,4,2028,-1.1156
KENYA,BESS001,1,2,4,2029,-0.4606
KENYA,BESS001,1,2,4,2030,-0.9665
KENYA,BESS001,1,2,4,2031,0.7214
KENYA,BESS001,1,2,4,2032,0.582
KENYA,BESS001,1,2,4,2033,0.3851
KENYA,BESS001,1,2,4,2034,-2.5174
KENYA,BESS001,1,2,4,2037,0.0
KENYA,BESS001,1,2,4,2038,0.0
KENYA,BESS001,1,2,4,2040,0.0002
KENYA,BESS001,1,2,4,2041,0.0
KENYA,BESS001,1,2,4,2042,0.0
KENYA,BESS001,1,2,4,2044,1.3421
KENYA,BESS001,1,2,4,2045,2.808
KENYA,BESS001,1,2,4,2046,4.8234
KENYA,BESS001,1,2,4,2047,7.2967
KENYA,BESS001,1,2,4,2048,6.9263
KENYA,BESS001,1,2,4,2049,5.8534
KENYA,BESS001,1,2,4,2050,6.7361
KENYA,BESS001,1,2,5,2024,-0.2047
KENYA,BESS001,1,2,5,2025,-2.7221
KENYA,BESS001,1,2,5,2026,-1.473
KENYA,BESS001,1,2,5,2027,-2.7221
KENYA,BESS001,1,2,5,2028,-0.505
KENYA,BESS001,1,2,5,2029,-2.2555
KENYA,BESS001,1,2,5,2030,-0.0802
KENYA,BESS001,1,2,5,2031,-2.7221
KENYA,BESS001,1,2,5,2032,-2.7221
KENYA,BESS001,1,2,5,2033,-2.7221
KENYA,BESS001,1,2,5,2034,-2.5174
KENYA,BESS001,1,2,5,2036,-0.0002
KENYA,BESS001,1,2,5,2037,0.0
KENYA,BESS001,1,2,5,2038,-0.0
KENYA,BESS001,1,2,5,2040,-0.0002
KENYA,BESS001,1,2,5,2041,-0.0
KENYA,BESS001,1,2,5,2042,-0.0
KENYA,BESS001,1,2,5,2044,-1.3421
KENYA,BESS001,1,2,5,2045,-2.808
KENYA,BESS001,1,2,5,2046,-4.8234
KENYA,BESS001,1,2,5,2047,-7.2967
KENYA,BESS001,1,2,5,2048,-9.4502
KENYA,BESS001,1,2,5,2049,-11.6138
KENYA,BESS001,1,2,5,2050,-15.6268
KENYA,BESS001,1,2,6,2024,-0.1385
KENYA,BESS001,1,2,6,2029,0.3628
KENYA,BESS001,1,2,6,2031,1.4793
KENYA,BESS001,1,2,6,2032,1.0854
KENYA,BESS001,1,2,6,2033,2.7221
KENYA,BESS001,1,2,6,2034,2.4049
KENYA,BESS001,1,2,6,2035,0.0002
KENYA,BESS001,1,2,6,2036,0.0001
KENYA,BESS001,1,2,6,2037,-0.0
KENYA,BESS001,1,2,6,2038,0.0
KENYA,BESS001,1,2,6,2041,-0.0
KENYA,BESS001,1,2,6,2042,0.0
KENYA,BESS001,1,2,6,2043,0.0
