r,s,y,DiscountedCapitalInvestmentStorage
KENYA,PHS001,2034,14.5682
KENYA,PHS001,2036,3.8048
KENYA,PHS002,2035,9.1606
KENYA,PHS002,2037,1.9801
KENYA,PHS002,2039,2.5676
