r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2034,3.0385
KENYA,PHS001,2036,0.9653
KENYA,PHS002,2035,2.1085
KENYA,PHS002,2037,0.5531
KENYA,PHS002,2039,0.8668
