r,s,ls,y,StorageLevelSeasonStart
KENYA,PHS001,1,2045,0.0015
KENYA,PHS001,1,2046,0.0015
KENYA,PHS001,1,2047,0.0015
KENYA,PHS001,1,2048,0.0015
KENYA,PHS001,1,2049,0.0015
KENYA,PHS001,1,2050,0.0015
KENYA,PHS001,2,2034,0.0012
KENYA,PHS001,2,2035,0.0012
KENYA,PHS001,2,2036,0.0015
KENYA,PHS001,2,2037,0.0015
KENYA,PHS001,2,2038,0.0015
KENYA,PHS001,2,2039,0.0015
KENYA,PHS001,2,2040,0.0015
KENYA,PHS001,2,2041,0.0015
KENYA,PHS001,2,2042,0.0015
KENYA,PHS001,2,2043,0.0015
KENYA,PHS001,2,2044,0.0015
KENYA,PHS001,2,2045,0.0015
KENYA,PHS001,2,2046,0.0015
KENYA,PHS001,2,2047,0.0015
KENYA,PHS001,2,2048,0.0015
KENYA,PHS001,2,2049,0.0015
KENYA,PHS001,2,2050,0.0015
KENYA,PHS001,3,2034,0.0012
KENYA,PHS001,3,2035,0.0012
KENYA,PHS001,3,2036,0.0015
KENYA,PHS001,3,2037,0.0015
KENYA,PHS001,3,2038,0.0015
KENYA,PHS001,3,2039,0.0015
KENYA,PHS001,3,2040,0.0015
KENYA,PHS001,3,2041,0.0015
KENYA,PHS001,3,2042,0.0015
KENYA,PHS001,3,2043,0.0015
KENYA,PHS001,3,2044,0.0015
KENYA,PHS001,3,2045,0.0015
KENYA,PHS001,3,2046,0.0015
KENYA,PHS001,3,2047,0.0015
KENYA,PHS001,3,2048,0.0015
KENYA,PHS001,3,2049,0.0015
KENYA,PHS001,3,2050,0.0015
KENYA,PHS001,4,2034,0.0012
KENYA,PHS001,4,2035,0.0012
KENYA,PHS001,4,2036,0.0015
KENYA,PHS001,4,2037,0.0015
KENYA,PHS001,4,2038,0.0015
KENYA,PHS001,4,2039,0.0015
KENYA,PHS001,4,2040,0.0015
KENYA,PHS001,4,2041,0.0015
KENYA,PHS001,4,2042,0.0015
KENYA,PHS001,4,2043,0.0015
KENYA,PHS001,4,2044,0.0015
KENYA,PHS001,4,2045,0.0015
KENYA,PHS001,4,2046,0.0015
KENYA,PHS001,4,2047,0.0015
KENYA,PHS001,4,2048,0.0015
KENYA,PHS001,4,2049,0.0015
KENYA,PHS001,4,2050,0.0015
KENYA,PHS002,1,2035,0.0008
KENYA,PHS002,1,2036,0.0008
KENYA,PHS002,1,2037,0.001
KENYA,PHS002,1,2038,0.001
KENYA,PHS002,1,2039,0.0013
KENYA,PHS002,1,2040,0.0013
KENYA,PHS002,1,2041,0.0013
KENYA,PHS002,1,2042,0.0013
KENYA,PHS002,1,2043,0.0013
KENYA,PHS002,1,2044,0.0013
KENYA,PHS002,1,2045,0.0013
KENYA,PHS002,1,2046,0.0013
KENYA,PHS002,1,2047,0.0013
KENYA,PHS002,1,2048,0.0013
KENYA,PHS002,1,2049,0.0013
KENYA,PHS002,1,2050,0.0013
KENYA,PHS002,2,2035,0.0008
KENYA,PHS002,2,2036,0.0008
KENYA,PHS002,2,2037,0.001
KENYA,PHS002,2,2038,0.001
KENYA,PHS002,2,2039,0.0013
KENYA,PHS002,2,2040,0.0013
KENYA,PHS002,2,2041,0.0013
KENYA,PHS002,2,2042,0.0013
KENYA,PHS002,2,2043,0.0013
KENYA,PHS002,2,2044,0.0013
KENYA,PHS002,2,2045,0.0013
KENYA,PHS002,2,2046,0.0013
KENYA,PHS002,2,2047,0.0013
KENYA,PHS002,2,2048,0.0013
KENYA,PHS002,2,2049,0.0013
KENYA,PHS002,2,2050,0.0013
KENYA,PHS002,3,2035,0.0008
KENYA,PHS002,3,2036,0.0008
KENYA,PHS002,3,2037,0.001
KENYA,PHS002,3,2038,0.001
KENYA,PHS002,3,2039,0.0013
KENYA,PHS002,3,2040,0.0013
KENYA,PHS002,3,2041,0.0013
KENYA,PHS002,3,2042,0.0013
KENYA,PHS002,3,2043,0.0013
KENYA,PHS002,3,2044,0.0013
KENYA,PHS002,3,2045,0.0013
KENYA,PHS002,3,2046,0.0013
KENYA,PHS002,3,2047,0.0013
KENYA,PHS002,3,2048,0.0013
KENYA,PHS002,3,2049,0.0013
KENYA,PHS002,3,2050,0.0013
KENYA,PHS002,4,2035,0.0008
KENYA,PHS002,4,2036,0.0008
KENYA,PHS002,4,2037,0.001
KENYA,PHS002,4,2038,0.001
KENYA,PHS002,4,2039,0.0013
KENYA,PHS002,4,2040,0.0013
KENYA,PHS002,4,2041,0.0013
KENYA,PHS002,4,2042,0.0013
KENYA,PHS002,4,2043,0.0013
KENYA,PHS002,4,2044,0.0013
KENYA,PHS002,4,2045,0.0013
KENYA,PHS002,4,2046,0.0013
KENYA,PHS002,4,2047,0.0013
KENYA,PHS002,4,2048,0.0013
KENYA,PHS002,4,2049,0.0013
KENYA,PHS002,4,2050,0.0013
