r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,1,2,1,2035,0.1377
KENYA,BESS001,1,2,1,2036,0.5851
KENYA,BESS001,1,2,1,2037,0.7391
KENYA,BESS001,1,2,1,2038,0.7917
KENYA,BESS001,1,2,1,2039,1.4626
KENYA,BESS001,1,2,1,2040,2.8512
KENYA,BESS001,1,2,1,2041,1.6305
KENYA,BESS001,1,2,1,2042,2.2937
KENYA,BESS001,1,2,1,2044,6.4682
KENYA,BESS001,1,2,1,2045,1.535
KENYA,BESS001,1,2,1,2046,5.7289
KENYA,BESS001,1,2,1,2047,4.6808
KENYA,BESS001,1,2,1,2048,3.6001
KENYA,BESS001,1,2,1,2049,3.2445
KENYA,BESS001,1,2,1,2050,2.5754
KENYA,BESS001,1,2,2,2024,-0.1385
KENYA,BESS001,1,2,2,2025,-0.2653
KENYA,BESS001,1,2,2,2026,0.6031
KENYA,BESS001,1,2,2,2029,-1.1947
KENYA,BESS001,1,2,2,2031,-2.1065
KENYA,BESS001,1,2,2,2032,-2.1625
KENYA,BESS001,1,2,2,2033,-2.2831
KENYA,BESS001,1,2,2,2034,-2.3646
KENYA,BESS001,1,2,2,2035,-0.1377
KENYA,BESS001,1,2,2,2036,-0.8841
KENYA,BESS001,1,2,2,2037,-1.1169
KENYA,BESS001,1,2,2,2038,-1.1963
KENYA,BESS001,1,2,2,2039,-1.4626
KENYA,BESS001,1,2,2,2040,-3.7225
KENYA,BESS001,1,2,2,2041,-4.8386
KENYA,BESS001,1,2,2,2042,-4.8386
KENYA,BESS001,1,2,2,2043,-5.8805
KENYA,BESS001,1,2,2,2044,-6.0244
KENYA,BESS001,1,2,2,2045,-5.431
KENYA,BESS001,1,2,2,2046,-6.103
KENYA,BESS001,1,2,2,2047,-6.064
KENYA,BESS001,1,2,2,2048,-6.8209
KENYA,BESS001,1,2,2,2049,-7.2067
KENYA,BESS001,1,2,2,2050,-7.2584
KENYA,BESS001,1,2,3,2025,-0.2601
KENYA,BESS001,1,2,3,2029,-1.2317
KENYA,BESS001,1,2,3,2031,-1.9758
KENYA,BESS001,1,2,3,2032,-1.6566
KENYA,BESS001,1,2,3,2033,-1.4067
KENYA,BESS001,1,2,3,2034,-1.4603
KENYA,BESS001,1,2,3,2035,-0.1377
KENYA,BESS001,1,2,3,2036,-0.8841
KENYA,BESS001,1,2,3,2037,-1.1169
KENYA,BESS001,1,2,3,2038,-1.1963
KENYA,BESS001,1,2,3,2039,-1.4626
KENYA,BESS001,1,2,3,2040,-2.2491
KENYA,BESS001,1,2,3,2041,-3.2671
KENYA,BESS001,1,2,3,2042,-1.511
KENYA,BESS001,1,2,3,2043,-0.5925
KENYA,BESS001,1,2,3,2044,-0.1207
KENYA,BESS001,1,2,3,2045,1.6804
KENYA,BESS001,1,2,3,2046,1.5804
