r,s,y,CapitalInvestmentStorage
KENYA,PHS001,2034,52.3389
KENYA,PHS001,2036,16.2109
KENYA,PHS002,2035,35.8401
KENYA,PHS002,2037,9.1872
KENYA,PHS002,2039,14.1282
