r,s,y,SalvageValueStorage
KENYA,PHS001,2034,46.5098
KENYA,PHS001,2036,14.7753
KENYA,PHS002,2035,32.2748
KENYA,PHS002,2037,8.4658
KENYA,PHS002,2039,13.2683
