r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,DEMRESELC,1,2038,34.0883
KENYA,DEMRESELC,1,2039,36.0432
KENYA,DEMRESELC,1,2040,38.1152
KENYA,DEMRESELC,1,2041,40.3012
KENYA,DEMRESELC,1,2042,42.5727
KENYA,DEMRESELC,1,2043,44.9933
KENYA,DEMRESELC,1,2044,47.5515
KENYA,DEMRESELC,1,2045,50.2551
KENYA,DEMRESELC,1,2046,53.1125
KENYA,DEMRESELC,1,2047,56.1324
KENYA,DEMRESELC,1,2048,59.3239
KENYA,DEMRESELC,1,2049,62.697
KENYA,DEMRESELC,1,2050,66.2618
KENYA,IMPELC001,1,2022,4.0045
KENYA,IMPELC001,1,2023,3.9796
KENYA,IMPELC001,1,2024,4.9848
KENYA,IMPELC001,1,2025,4.4506
KENYA,IMPELC001,1,2026,3.6673
KENYA,IMPELC001,1,2027,4.2784
KENYA,IMPELC001,1,2028,3.9683
KENYA,IMPELC001,1,2029,2.771
KENYA,IMPELC001,1,2030,3.3202
KENYA,IMPELC001,1,2031,2.8845
KENYA,IMPELC001,1,2032,2.8956
KENYA,IMPELC001,1,2033,2.9067
KENYA,IMPELC001,1,2034,2.8553
KENYA,IMPELC001,1,2035,3.1419
KENYA,IMPELC001,1,2036,3.0462
KENYA,IMPELC001,1,2037,3.0764
KENYA,IMPELC001,1,2038,3.1837
KENYA,IMPELC001,1,2039,3.2546
KENYA,IMPELC001,1,2040,3.0151
KENYA,IMPELC001,1,2041,3.0477
KENYA,IMPELC001,1,2042,3.1452
KENYA,IMPELC001,1,2043,3.1348
KENYA,IMPELC001,1,2044,3.1108
KENYA,IMPELC001,1,2045,3.0929
KENYA,IMPELC001,1,2046,3.1945
KENYA,IMPELC001,1,2047,3.4046
KENYA,IMPELC001,1,2048,3.9037
KENYA,IMPELC001,1,2049,4.1047
KENYA,IMPELC001,1,2050,4.1895
KENYA,IMPHFOMOM,1,2019,13.3439
KENYA,IMPHFOMOM,1,2020,14.896
KENYA,IMPHFOMOM,1,2021,15.1152
KENYA,IMPHFOMOM,1,2022,4.8424
KENYA,IMPHFOMOM,1,2023,5.0852
KENYA,IMPHFOMOM,1,2024,7.7088
KENYA,IMPHFOMOM,1,2025,5.1296
KENYA,IMPHFOMOM,1,2026,0.9435
KENYA,IMPHFOMOM,1,2027,1.563
KENYA,IMPHFOMOM,1,2028,1.8078
KENYA,IMPHFOMOM,1,2029,1.4139
KENYA,IMPHFOMOM,1,2030,1.7352
KENYA,IMPHFONAI,1,2019,1.337
KENYA,IMPHFONAI,1,2020,1.8011
KENYA,IMPHFONAI,1,2021,2.0691
KENYA,IMPHFONAI,1,2022,0.1829
KENYA,IMPHFONAI,1,2023,0.2443
KENYA,IMPHFONAI,1,2024,0.9295
KENYA,IMPHFONAI,1,2025,0.7381
KENYA,IMPHFONAI,1,2027,0.0372
KENYA,IMPHFONAI,1,2028,0.0596
KENYA,IMPHFONAI,1,2029,0.0421
KENYA,IMPHFONAI,1,2030,0.4062
KENYA,IMPHFONAI,1,2031,2.0783
KENYA,IMPHFONAI,1,2032,2.2828
KENYA,IMPHFONAI,1,2033,2.532
KENYA,IMPHFONAI,1,2034,1.9701
KENYA,IMPHFONAI,1,2035,1.1801
KENYA,IMPNGS,1,2031,0.0099
KENYA,IMPNGS,1,2032,0.0361
KENYA,IMPNGS,1,2033,0.0633
KENYA,IMPNGS,1,2034,0.3584
KENYA,IMPNGS,1,2035,1.6479
KENYA,IMPNGS,1,2036,2.8381
KENYA,IMPNGS,1,2037,3.081
KENYA,IMPNGS,1,2038,2.8358
KENYA,IMPNGS,1,2039,3.0048
KENYA,IMPNGS,1,2040,3.1029
KENYA,IMPNGS,1,2041,3.2053
KENYA,IMPNGS,1,2042,3.7824
KENYA,IMPNGS,1,2043,3.7516
KENYA,IMPNGS,1,2044,3.8483
KENYA,IMPNGS,1,2045,4.3064
KENYA,IMPNGS,1,2046,4.6138
KENYA,IMPNGS,1,2047,5.0805
KENYA,IMPNGS,1,2048,5.5999
KENYA,IMPNGS,1,2049,6.2714
KENYA,IMPNGS,1,2050,7.1865
KENYA,MINBIO,1,2019,0.0902
KENYA,MINBIO,1,2020,0.0902
KENYA,MINBIO,1,2021,0.0902
KENYA,MINBIO,1,2022,0.0902
KENYA,MINBIO,1,2023,0.1533
KENYA,MINBIO,1,2024,0.1533
KENYA,MINBIO,1,2025,0.1533
KENYA,MINBIO,1,2026,0.6042
KENYA,MINBIO,1,2027,0.6042
KENYA,MINBIO,1,2028,0.9649
KENYA,MINBIO,1,2029,0.9649
KENYA,MINBIO,1,2030,3.1381
