r,s,y,DiscountedSalvageValueStorage
KENYA,PHS001,2034,4.0297
KENYA,PHS001,2036,0.6155
KENYA,PHS001,2037,0.0918
KENYA,PHS001,2039,0.139
KENYA,PHS001,2041,1.0892
KENYA,PHS001,2045,0.0914
KENYA,PHS001,2049,3.0223
KENYA,PHS002,2034,1.7214
KENYA,PHS002,2035,3.6037
KENYA,PHS002,2036,1.2472
KENYA,PHS002,2037,0.5579
KENYA,PHS002,2049,1.8001
