r,s,y,DiscountedCapitalInvestmentStorage
KENYA,PHS001,2034,19.321
KENYA,PHS001,2036,2.4262
KENYA,PHS001,2037,0.3286
KENYA,PHS001,2039,0.4117
KENYA,PHS001,2041,2.6782
KENYA,PHS001,2045,0.156
KENYA,PHS001,2049,3.6071
KENYA,PHS002,2034,8.2536
KENYA,PHS002,2035,15.6566
KENYA,PHS002,2036,4.9162
KENYA,PHS002,2037,1.9974
KENYA,PHS002,2049,2.1484
