r,t,y,TotalTechnologyAnnualActivity
KENYA,DEMINDELC,2049,98.0324
KENYA,DEMINDELC,2050,103.6063
KENYA,DEMRESELC,2019,13.7907
KENYA,DEMRESELC,2020,14.0318
KENYA,DEMRESELC,2021,14.669
KENYA,DEMRESELC,2022,15.1591
KENYA,DEMRESELC,2023,15.6221
KENYA,DEMRESELC,2024,16.1577
KENYA,DEMRESELC,2025,16.7411
KENYA,DEMRESELC,2026,17.3547
KENYA,DEMRESELC,2027,18.356
KENYA,DEMRESELC,2028,19.419
KENYA,DEMRESELC,2029,20.6321
KENYA,DEMRESELC,2030,21.9351
KENYA,DEMRESELC,2031,23.1587
KENYA,DEMRESELC,2032,24.5144
KENYA,DEMRESELC,2033,25.8913
KENYA,DEMRESELC,2034,27.3607
KENYA,DEMRESELC,2035,28.9057
KENYA,DEMRESELC,2036,30.4786
KENYA,DEMRESELC,2037,32.2451
KENYA,DEMRESELC,2038,34.0883
KENYA,DEMRESELC,2039,36.0432
KENYA,DEMRESELC,2040,38.1152
KENYA,DEMRESELC,2041,40.3012
KENYA,DEMRESELC,2042,42.5727
KENYA,DEMRESELC,2043,44.9933
KENYA,DEMRESELC,2044,47.5515
KENYA,DEMRESELC,2045,50.2551
KENYA,DEMRESELC,2046,53.1125
KENYA,DEMRESELC,2047,56.1324
KENYA,DEMRESELC,2048,59.3239
KENYA,DEMRESELC,2049,62.697
KENYA,DEMRESELC,2050,66.2618
KENYA,IMPELC001,2022,4.0045
KENYA,IMPELC001,2023,3.9796
KENYA,IMPELC001,2024,4.9848
KENYA,IMPELC001,2025,4.4506
KENYA,IMPELC001,2026,3.6673
KENYA,IMPELC001,2027,5.3161
KENYA,IMPELC001,2028,5.0007
KENYA,IMPELC001,2029,3.8702
KENYA,IMPELC001,2030,5.1285
KENYA,IMPELC001,2031,4.3549
KENYA,IMPELC001,2032,6.2422
KENYA,IMPELC001,2033,8.0599
KENYA,IMPELC001,2034,8.8669
KENYA,IMPELC001,2035,9.9697
KENYA,IMPELC001,2036,9.9697
KENYA,IMPELC001,2037,9.9697
KENYA,IMPELC001,2038,9.9697
KENYA,IMPELC001,2039,9.9697
KENYA,IMPELC001,2040,5.8239
KENYA,IMPELC001,2041,8.1772
KENYA,IMPELC001,2042,7.4771
KENYA,IMPELC001,2043,9.9697
KENYA,IMPELC001,2044,9.9697
KENYA,IMPELC001,2045,9.9697
KENYA,IMPELC001,2046,9.9697
KENYA,IMPELC001,2047,9.9697
KENYA,IMPELC001,2048,9.9697
KENYA,IMPELC001,2049,9.9697
KENYA,IMPELC001,2050,9.9697
KENYA,IMPHFOMOM,2019,13.3439
KENYA,IMPHFOMOM,2020,14.896
KENYA,IMPHFOMOM,2021,15.1152
KENYA,IMPHFOMOM,2022,4.8424
KENYA,IMPHFOMOM,2023,5.0852
KENYA,IMPHFOMOM,2024,7.7088
KENYA,IMPHFOMOM,2025,5.1296
KENYA,IMPHFOMOM,2026,0.9435
KENYA,IMPHFOMOM,2027,2.4302
KENYA,IMPHFOMOM,2028,2.6547
KENYA,IMPHFOMOM,2029,2.1242
KENYA,IMPHFOMOM,2030,2.0687
KENYA,IMPHFONAI,2019,1.337
KENYA,IMPHFONAI,2020,1.8011
KENYA,IMPHFONAI,2021,2.0691
KENYA,IMPHFONAI,2022,0.1829
KENYA,IMPHFONAI,2023,0.2443
KENYA,IMPHFONAI,2024,0.9295
KENYA,IMPHFONAI,2025,0.7381
KENYA,IMPHFONAI,2027,0.1055
KENYA,IMPHFONAI,2028,0.1606
KENYA,IMPHFONAI,2029,0.1151
KENYA,IMPHFONAI,2030,1.6896
KENYA,IMPHFONAI,2031,3.3654
KENYA,IMPHFONAI,2032,5.2344
KENYA,IMPHFONAI,2033,5.5857
KENYA,IMPHFONAI,2034,1.7541
KENYA,IMPHFONAI,2035,1.4222
KENYA,IMPNGS,2031,0.1449
KENYA,IMPNGS,2032,0.6242
KENYA,IMPNGS,2033,2.3545
KENYA,IMPNGS,2034,2.0707
KENYA,IMPNGS,2035,6.3062
KENYA,IMPNGS,2036,2.2978
KENYA,IMPNGS,2037,2.4262
KENYA,IMPNGS,2038,4.4755
KENYA,IMPNGS,2039,3.3511
KENYA,IMPNGS,2040,1.271
KENYA,IMPNGS,2041,2.5548
KENYA,IMPNGS,2042,2.8306
KENYA,IMPNGS,2043,7.4897
KENYA,IMPNGS,2044,18.5918
KENYA,IMPNGS,2045,38.2497
KENYA,IMPNGS,2046,50.4137
KENYA,IMPNGS,2047,69.6459
KENYA,IMPNGS,2048,94.5865
KENYA,IMPNGS,2049,113.7848
KENYA,IMPNGS,2050,117.8312
KENYA,IMPURN,2036,5.9694
KENYA,IMPURN,2037,9.752
KENYA,IMPURN,2038,28.4269
KENYA,IMPURN,2039,31.8406
KENYA,IMPURN,2040,31.8406
KENYA,IMPURN,2041,55.88
KENYA,IMPURN,2042,79.8264
KENYA,IMPURN,2043,85.2808
KENYA,IMPURN,2044,85.2808
KENYA,IMPURN,2045,85.2808
KENYA,IMPURN,2046,85.2808
KENYA,IMPURN,2047,85.2808
KENYA,IMPURN,2048,85.2808
KENYA,IMPURN,2049,85.2808
KENYA,IMPURN,2050,85.2808
KENYA,MINBIO,2019,0.0902
KENYA,MINBIO,2020,0.0902
KENYA,MINBIO,2021,0.0902
KENYA,MINBIO,2022,0.0902
KENYA,MINBIO,2023,0.1533
KENYA,MINBIO,2024,0.1533
KENYA,MINBIO,2025,0.1533
KENYA,MINBIO,2026,0.6042
KENYA,MINBIO,2027,0.6042
KENYA,MINBIO,2028,0.9649
KENYA,MINBIO,2029,0.9649
KENYA,MINBIO,2030,3.1381
KENYA,MINBIO,2031,4.0398
KENYA,MINBIO,2032,4.5268
KENYA,MINBIO,2033,4.662
KENYA,MINBIO,2034,4.9326
KENYA,MINBIO,2035,4.9461
KENYA,MINBIO,2036,5.3474
KENYA,MINBIO,2037,5.7487
KENYA,MINBIO,2038,6.1499
KENYA,MINBIO,2039,6.5512
KENYA,MINBIO,2040,6.5512
KENYA,MINBIO,2041,7.3538
KENYA,MINBIO,2042,7.755
KENYA,MINBIO,2043,8.1563
KENYA,MINBIO,2044,8.5576
KENYA,MINBIO,2045,8.9589
KENYA,MINBIO,2046,9.3602
KENYA,MINBIO,2047,9.7614
KENYA,MINBIO,2048,10.1627
KENYA,MINBIO,2049,10.564
KENYA,MINBIO,2050,10.9653
KENYA,MINGEO,2019,70.0437
KENYA,MINGEO,2020,70.0437
KENYA,MINGEO,2021,70.0437
KENYA,MINGEO,2022,77.4191
KENYA,MINGEO,2023,80.5179
KENYA,MINGEO,2024,77.8618
KENYA,MINGEO,2025,88.3094
KENYA,MINGEO,2026,98.5669
KENYA,MINGEO,2027,101.1831
KENYA,MINGEO,2028,108.2663
KENYA,MINGEO,2029,124.1242
KENYA,MINGEO,2030,127.6564
KENYA,MINGEO,2031,138.9452
KENYA,MINGEO,2032,141.6014
KENYA,MINGEO,2033,144.2576
KENYA,MINGEO,2034,159.3094
KENYA,MINGEO,2035,162.851
KENYA,MINGEO,2036,178.7881
KENYA,MINGEO,2037,192.069
KENYA,MINGEO,2038,200.9584
KENYA,MINGEO,2039,223.3058
KENYA,MINGEO,2040,258.279
KENYA,MINGEO,2041,253.9405
KENYA,MINGEO,2042,261.0237
KENYA,MINGEO,2043,262.458
KENYA,MINGEO,2044,270.4266
KENYA,MINGEO,2045,265.2913
KENYA,MINGEO,2046,275.0307
KENYA,MINGEO,2047,278.2801
KENYA,MINGEO,2048,286.6913
KENYA,MINGEO,2049,299.9723
KENYA,MINGEO,2050,309.2689
KENYA,MINHYD,2019,12.0376
KENYA,MINHYD,2020,12.0376
KENYA,MINHYD,2021,12.0376
KENYA,MINHYD,2022,12.0376
KENYA,MINHYD,2023,12.1346
KENYA,MINHYD,2024,12.1678
KENYA,MINHYD,2025,12.1718
KENYA,MINHYD,2026,12.5015
KENYA,MINHYD,2027,12.6478
KENYA,MINHYD,2028,12.689
KENYA,MINHYD,2029,12.7873
KENYA,MINHYD,2030,13.2739
KENYA,MINHYD,2031,13.6474
KENYA,MINHYD,2032,13.8894
KENYA,MINHYD,2033,14.6304
KENYA,MINHYD,2034,14.9641
KENYA,MINHYD,2035,15.3855
KENYA,MINHYD,2036,15.7564
KENYA,MINHYD,2037,15.8042
KENYA,MINHYD,2038,15.8561
KENYA,MINHYD,2039,15.9119
KENYA,MINHYD,2040,15.9744
KENYA,MINHYD,2041,16.0422
KENYA,MINHYD,2042,14.4222
KENYA,MINHYD,2043,15.2642
KENYA,MINHYD,2044,15.4845
KENYA,MINHYD,2045,16.2774
KENYA,MINHYD,2046,17.8883
KENYA,MINHYD,2047,20.2975
KENYA,MINHYD,2048,20.6995
KENYA,MINHYD,2049,20.8378
KENYA,MINHYD,2050,20.9893
KENYA,MINSOL,2019,0.3111
KENYA,MINSOL,2020,0.3111
KENYA,MINSOL,2021,0.8065
KENYA,MINSOL,2022,1.0542
KENYA,MINSOL,2023,1.3112
KENYA,MINSOL,2024,1.5588
KENYA,MINSOL,2025,1.5588
KENYA,MINSOL,2026,1.8065
KENYA,MINSOL,2027,1.8065
KENYA,MINSOL,2028,1.8065
KENYA,MINSOL,2029,1.8065
KENYA,MINSOL,2030,1.8065
KENYA,MINSOL,2031,1.8065
KENYA,MINSOL,2032,1.8065
KENYA,MINSOL,2033,1.8065
KENYA,MINSOL,2034,2.0542
KENYA,MINSOL,2035,2.8127
KENYA,MINSOL,2036,2.8127
KENYA,MINSOL,2037,2.8127
KENYA,MINSOL,2038,2.5016
KENYA,MINSOL,2039,2.5016
KENYA,MINSOL,2040,2.5016
KENYA,MINSOL,2041,2.0062
KENYA,MINSOL,2042,1.7585
KENYA,MINSOL,2043,1.5016
KENYA,MINSOL,2044,1.2539
KENYA,MINSOL,2045,1.2539
KENYA,MINSOL,2046,1.0062
KENYA,MINSOL,2047,1.0062
KENYA,MINSOL,2048,1.0062
KENYA,MINSOL,2049,1.0062
KENYA,MINSOL,2050,1.0062
KENYA,MINWND,2019,5.4829
KENYA,MINWND,2020,5.4829
KENYA,MINWND,2021,6.9304
KENYA,MINWND,2022,6.9304
KENYA,MINWND,2023,6.9304
KENYA,MINWND,2024,6.9304
KENYA,MINWND,2025,7.0512
KENYA,MINWND,2026,7.6819
KENYA,MINWND,2027,7.6819
KENYA,MINWND,2028,8.8876
KENYA,MINWND,2029,8.8876
KENYA,MINWND,2030,8.8876
KENYA,MINWND,2031,9.3234
KENYA,MINWND,2032,9.7205
KENYA,MINWND,2033,9.7818
