y,Capital costs,Fixed costs,Variable costs,Fuel costs
2019,0.875624095470817,2.054186151079136,0.2415445143884892,0.9483044780572074
2020,0.957007555442828,2.01749668581529,0.25984865223155107,1.0633795365166239
2021,1.4679591559716152,2.030521196743842,0.2539613066920393,1.1607468022219365
2022,1.9537630341036782,2.10338792221085,0.1235916069600819,0.4351948825196823
2023,2.256844237952983,2.093219259848786,0.12535216872264227,0.43790809115425566
2024,2.4134879161301663,1.9886245066897683,0.15221676773510448,0.6563285491755609
2025,2.8139700755340256,2.0638027514407886,0.12715281650864474,0.4187599925636735
2026,3.633884945406715,2.1097992979929794,0.084879848798488,0.07110489626358903
2027,4.218163469512922,2.000046872336799,0.09606954150332368,0.1663865689449463
2028,4.759957897563104,2.040988957846377,0.0971080841460466,0.1782287418726969
2029,5.755086628106912,2.127434884957096,0.09524565266914725,0.13585799987960748
2030,6.196405363236641,2.0635348537005167,0.10299698795180723,0.2462742387608259
2031,6.796318215888466,2.1083295864840927,0.10194427413311533,0.2497645955938614
2032,7.020153320024352,2.0508127094612014,0.11351959267852538,0.3751637019850477
2033,7.302468968841709,1.9904484826235926,0.1305078316201664,0.4877804699050842
2034,7.782058473746033,1.9985329960910554,0.10548401931478499,0.25413392184441447
2035,8.053395429908225,1.9256688554838008,0.13945948879361802,0.4553407499820442
2036,8.573784616977488,1.9442168922744352,0.16323228164084616,0.19559764791534068
2037,8.868188781238894,1.9338733524634013,0.2009231068527795,0.21455256552679225
2038,9.483964662137156,1.833354063018242,0.4021941219826792,0.3945741293449656
2039,9.844497949022458,1.8545623203553696,0.411309990418953,0.34310248236292956
2040,10.443416277388062,2.048030140379851,0.386952931461602,0.2385222625936246
2041,10.987849885257209,1.8032879968823075,0.5822077162899455,0.3820977748192339
2042,11.365258747618904,1.9100723674494162,0.7529526657805347,0.4702024406240968
2043,11.562061000597861,1.8379976912582638,0.7853178017980199,0.633761667904058
2044,11.531297628607213,1.7806381992717646,0.8134710360807678,0.9748464515045696
2045,11.649318787113447,1.6671794148969492,0.8820494267994737,1.5494294712829366
2046,11.727395204877284,1.596133562455558,0.8942027139132493,1.8333090424280047
2047,11.939528144041923,1.5112098945479024,0.9125723580884001,2.2846814365072836
2048,11.906997628853743,1.4474158736909257,0.9357567380787836,2.839864542025066
2049,11.572286874129794,1.393053902739073,0.9372212598227511,3.173201935683197
2050,11.7317892559834,1.348284802166973,0.9146604430685884,3.157667451874674
